@timestamp,cell_tower_id,call_dropped,call_attempt,handoff_event,subscriber_id,call_duration_seconds,signal_strength_dbm,network_type
2026-02-14 15:49:13.437902,CT-0019,false,true,NONE,310260620418879,31,-119,LTE
2026-01-09 19:27:27.437902,CT-0002,true,true,INTER-FREQ,310260220855172,7,-113,UMTS
2025-12-12 15:26:41.437902,CT-0065,false,false,INTRA-FREQ,310260206630462,21,-112,5G-NR
2025-12-18 12:44:34.437902,CT-0050,false,true,NONE,310260697257231,164,-57,5G-NR
2026-02-18 15:50:44.437902,CT-0006,true,true,INTRA-FREQ,310260657149483,8,-98,5G-NR
2025-12-21 10:00:29.437902,CT-0007,false,true,NONE,310260377058912,28,-69,LTE
2026-01-01 07:39:24.437902,CT-0008,false,true,NONE,310260281583832,68,-59,5G-NR
2026-02-16 06:11:58.437902,CT-0044,false,true,NONE,310260371778971,40,-110,LTE
2026-01-01 07:32:09.437902,CT-0001,true,true,INTER-FREQ,310260949758337,7,-119,5G-NR
2026-01-09 21:01:15.437902,CT-0002,true,true,INTER-FREQ,310260317478813,13,-110,5G-NR
2026-01-13 09:40:05.437902,CT-0047,false,true,INTRA-FREQ,310260787518446,48,-95,5G-NR
2026-01-29 17:31:06.437902,CT-0011,false,true,NONE,310260899663969,63,-97,LTE
2026-01-09 20:51:17.437902,CT-0028,false,true,INTER-RAT,310260439794554,6,-100,5G-NR
2026-02-01 04:09:16.437902,CT-0050,false,true,NONE,310260406699024,28,-114,LTE
2026-01-01 07:40:38.437902,CT-0040,true,true,INTER-RAT,310260873209303,17,-115,LTE
2026-02-18 15:34:03.437902,CT-0022,false,true,INTER-FREQ,310260692719444,10,-94,LTE
2026-02-18 16:17:43.437902,CT-0024,true,true,INTRA-FREQ,310260552286148,14,-103,UMTS
2026-02-11 20:54:58.437902,CT-0005,true,true,INTER-RAT,310260976321563,10,-100,LTE
2026-01-09 20:22:57.437902,CT-0028,true,true,INTER-FREQ,310260967682259,10,-93,GSM
2026-01-09 20:04:05.437902,CT-0009,true,true,INTER-FREQ,310260528080036,5,-106,5G-NR
2026-02-15 10:56:01.437902,CT-0072,false,true,INTER-FREQ,310260609131872,217,-98,5G-NR
2026-01-01 07:39:34.437902,CT-0040,false,true,INTER-FREQ,310260697396599,9,-92,LTE
2026-01-22 21:09:12.437902,CT-0075,false,true,NONE,310260553643181,145,-107,LTE
2026-01-01 07:48:27.437902,CT-0002,true,true,INTER-FREQ,310260807962307,5,-102,LTE
