@timestamp,session_id,session_status,termination_cause,rat_type,subscriber_id,apn,cell_id,session_duration_seconds,bytes_transferred
2026-01-19 18:08:29.493073,SES-583E369BE062,INTERRUPTED,NORMAL,LTE,310260182508889,wap,CELL-0023,1601,15890
2026-01-19 19:08:29.493073,SES-27A29C827535,COMPLETED,NORMAL,LTE,310260241682342,emergency,CELL-0063,5020,388
2026-01-19 20:08:29.493073,SES-FA3760D12372,FAILED,NETWORK-RELEASE,NR-NSA,310260398175877,enterprise.vpn,CELL-0061,458,191588
2026-01-19 21:08:29.493073,SES-B23AB12484D8,ACTIVE,NORMAL,NR-SA,310260832386598,mms,CELL-0156,1012,226123
2026-01-19 22:08:29.493073,SES-C55512775B61,INTERRUPTED,AUTH-FAILURE,NR-NSA,310260826369819,internet,CELL-0068,1847,16219
2026-01-19 23:08:29.493073,SES-9C4ADDE70389,COMPLETED,NORMAL,LTE,310260817863390,internet,CELL-0052,169,1129
2026-01-20 00:08:29.493073,SES-A756F93DAC82,COMPLETED,NORMAL,LTE,310260495614365,internet,CELL-0053,297,32210
2026-01-20 01:08:29.493073,SES-8A2FC0C24C59,COMPLETED,UE-DETACH,LTE,310260881788003,enterprise.vpn,CELL-0113,2040,15856
2026-01-20 02:08:29.493073,SES-4CBEAA8EF2EA,COMPLETED,NORMAL,5G-NR,310260243141896,emergency,CELL-0022,72,37493
2026-01-20 03:08:29.493073,SES-60A029205F0D,INTERRUPTED,NORMAL,LTE,310260881705046,enterprise.vpn,CELL-0133,235,41914
2026-01-20 04:08:29.493073,SES-30FF01946CC7,COMPLETED,NORMAL,LTE,310260773858514,enterprise.vpn,CELL-0025,423,222
2026-01-20 05:08:29.493073,SES-CECB304907ED,ACTIVE,NORMAL,LTE,310260863338098,wap,CELL-0009,42,1268019
2026-01-20 06:08:29.493073,SES-FDD0247FB3F1,ACTIVE,NORMAL,NR-SA,310260987201245,enterprise.vpn,CELL-0162,47,99642
2026-01-20 07:08:29.493073,SES-24C2F8E29867,COMPLETED,NORMAL,NR-SA,310260737992266,internet,CELL-0015,1918,625942
2026-01-20 08:08:29.493073,SES-BBE348BBF9B7,FAILED,NETWORK-RELEASE,NR-SA,310260347051494,wap,CELL-0002,269,36575
2026-01-20 09:08:29.493073,SES-C24C43BC0420,FAILED,HANDOVER-FAILURE,NR-NSA,310260123778714,internet,CELL-0196,171,382128
2026-01-20 10:08:29.493073,SES-777B1EF9A4C3,ACTIVE,POLICY-REJECT,5G-NR,310260447334058,emergency,CELL-0091,511,1324
2026-01-20 11:08:29.493073,SES-00F82EB94ED5,ACTIVE,NETWORK-RELEASE,5G-NR,310260837828673,mms,CELL-0090,30,5980
2026-01-20 12:08:29.493073,SES-9D1E3EAA193E,COMPLETED,NETWORK-RELEASE,NR-NSA,310260516391883,mms,CELL-0067,427,3687
2026-01-20 13:08:29.493073,SES-09DE9BA32B21,FAILED,UE-DETACH,5G-NR,310260776948342,emergency,CELL-0094,6716,35332
2026-01-20 14:08:29.493073,SES-785B887C002D,ACTIVE,NORMAL,NR-SA,310260284679232,internet,CELL-0133,665,81405
2026-01-20 15:08:29.493073,SES-F267B1C1BF8A,INTERRUPTED,NETWORK-RELEASE,LTE,310260697979086,internet,CELL-0003,61,2730
2026-01-20 16:08:29.493073,SES-B17FE5F11FB0,COMPLETED,NORMAL,5G-NR,310260835011458,ims,CELL-0169,598,92991
2026-01-20 17:08:29.493073,SES-2BD6CA3CFC46,COMPLETED,UE-DETACH,LTE,310260583242936,internet,CELL-0169,1973,6638
2026-01-20 18:08:29.493073,SES-2215A5DF00F8,ACTIVE,UE-DETACH,LTE,310260443934403,mms,CELL-0141,523,2253937
2026-01-20 19:08:29.493073,SES-A20CBD00A11D,COMPLETED,UE-DETACH,LTE,310260235345922,internet,CELL-0105,792,10641
2026-01-20 20:08:29.493073,SES-9BE71D7C54F8,INTERRUPTED,UE-DETACH,LTE,310260250201462,enterprise.vpn,CELL-0184,872,318444
2026-01-20 21:08:29.493073,SES-D8CD255C4197,COMPLETED,HANDOVER-FAILURE,5G-NR,310260873209303,mms,CELL-0112,60,234
2026-01-20 22:08:29.493073,SES-41A0158C08DD,FAILED,HANDOVER-FAILURE,5G-NR,310260242459213,internet,CELL-0157,890,2108
2026-01-20 23:08:29.493073,SES-574D1C0E86BA,INTERRUPTED,NORMAL,5G-NR,310260209902284,ims,CELL-0067,2583,33813
2026-01-21 00:08:29.493073,SES-B934145D00C7,COMPLETED,POLICY-REJECT,LTE,310260454948007,internet,CELL-0120,44,221472
2026-01-21 01:08:29.493073,SES-E8775258BBD8,INTERRUPTED,NORMAL,5G-NR,310260371778971,enterprise.vpn,CELL-0144,814,103347
2026-01-21 02:08:29.493073,SES-5927E328CF2C,COMPLETED,NORMAL,LTE,310260353551573,emergency,CELL-0156,1525,497525
2026-01-21 03:08:29.493073,SES-A0057570CCAD,COMPLETED,NORMAL,LTE,310260605348773,emergency,CELL-0120,703,20150
2026-01-21 04:08:29.493073,SES-806256DE9E58,COMPLETED,AUTH-FAILURE,LTE,310260917236613,wap,CELL-0189,26,107322
2026-01-21 05:08:29.493073,SES-822EC6C81D5F,ACTIVE,NORMAL,5G-NR,310260117555650,emergency,CELL-0086,793,60021
2026-01-21 06:08:29.493073,SES-1C5C54123D60,FAILED,NORMAL,5G-NR,310260367086663,wap,CELL-0072,3706,14839
2026-01-21 07:08:29.493073,SES-D38762A8795A,ACTIVE,UE-DETACH,5G-NR,310260496589463,ims,CELL-0179,111,116123
2026-01-21 08:08:29.493073,SES-D06811B82942,COMPLETED,TIMEOUT,5G-NR,310260843334940,internet,CELL-0054,81,77216
2026-01-21 09:08:29.493073,SES-5B3AE80EEFD2,COMPLETED,NORMAL,5G-NR,310260600210506,mms,CELL-0038,1553,2204
2026-01-21 10:08:29.493073,SES-FCDC51FF7AE0,ACTIVE,HANDOVER-FAILURE,5G-NR,310260881139680,emergency,CELL-0126,2607,2299
2026-01-21 11:08:29.493073,SES-5ED22EAC07C9,FAILED,POLICY-REJECT,5G-NR,310260917236613,mms,CELL-0134,1578,92635
2026-01-21 12:08:29.493073,SES-C257FFB0544F,ACTIVE,HANDOVER-FAILURE,5G-NR,310260515143436,emergency,CELL-0143,694,1850830
2026-01-21 13:08:29.493073,SES-E0F4382307D6,INTERRUPTED,NETWORK-RELEASE,5G-NR,310260304233663,enterprise.vpn,CELL-0099,370,43918
2026-01-21 14:08:29.493073,SES-1CF252C04F96,COMPLETED,NETWORK-RELEASE,LTE,310260958533256,ims,CELL-0073,47,59180
2026-01-21 15:08:29.493073,SES-65F09E463EF2,ACTIVE,NORMAL,5G-NR,310260669919885,ims,CELL-0122,8426,14299
2026-01-21 16:08:29.493073,SES-BE59B42E2869,COMPLETED,NORMAL,NR-NSA,310260776948342,emergency,CELL-0003,437,7542
2026-01-21 17:08:29.493073,SES-C1611AD613CA,COMPLETED,UE-DETACH,LTE,310260347051494,enterprise.vpn,CELL-0185,2573,18960
2026-01-21 18:08:29.493073,SES-49EC9C0AF77F,INTERRUPTED,NETWORK-RELEASE,LTE,310260856704000,enterprise.vpn,CELL-0085,3579,3834
2026-01-21 19:08:29.493073,SES-51E17FD0D123,ACTIVE,UE-DETACH,5G-NR,310260967682259,wap,CELL-0152,3184,9169
2026-01-21 20:08:29.493073,SES-532C56D79B72,ACTIVE,NORMAL,LTE,310260443934403,enterprise.vpn,CELL-0022,992,5035
2026-01-21 21:08:29.493073,SES-F8FB767D0AD1,INTERRUPTED,AUTH-FAILURE,5G-NR,310260164316893,internet,CELL-0135,1253,13513282
2026-01-21 22:08:29.493073,SES-DAA31EA9D7C9,COMPLETED,TIMEOUT,NR-SA,310260609938179,internet,CELL-0021,499,69010
2026-01-21 23:08:29.493073,SES-A8EC5811D791,FAILED,NORMAL,LTE,310260977365298,ims,CELL-0200,38,13028
2026-01-22 00:08:29.493073,SES-9B6EA36A295E,ACTIVE,UE-DETACH,5G-NR,310260649702977,enterprise.vpn,CELL-0099,715,3277
2026-01-22 01:08:29.493073,SES-CC29FD1B8625,ACTIVE,NETWORK-RELEASE,5G-NR,310260221733623,ims,CELL-0153,964,96997
2026-01-22 02:08:29.493073,SES-26A4CC82CF39,COMPLETED,NORMAL,5G-NR,310260630590445,wap,CELL-0020,137,80523
2026-01-22 03:08:29.493073,SES-17374C891021,COMPLETED,NORMAL,LTE,310260979434517,enterprise.vpn,CELL-0057,366,6240
2026-01-22 04:08:29.493073,SES-7856B8DCDEC3,COMPLETED,NORMAL,LTE,310260219240005,internet,CELL-0065,109,145968
2026-01-22 05:08:29.493073,SES-CDE3601EC43E,COMPLETED,AUTH-FAILURE,5G-NR,310260835011458,enterprise.vpn,CELL-0010,267,73904
2026-01-22 06:08:29.493073,SES-345F8C8B0CA5,COMPLETED,NETWORK-RELEASE,5G-NR,310260161112721,wap,CELL-0190,1469,2945
2026-01-22 07:08:29.493073,SES-0CBBE64AE8AD,COMPLETED,RESOURCE-EXHAUSTION,5G-NR,310260830330675,enterprise.vpn,CELL-0167,438,10108
