@timestamp,ran_node_id,cell_id,handover_attempts,handover_failures,handover_type,source_rat,target_rat,ue_count
2026-01-06 16:37:45.412666,RAN-008,CELL-0042,291,204,INTER-RAT-5G-4G,NR,LTE,979
2026-01-06 16:41:54.412666,RAN-006,CELL-0040,212,163,INTER-RAT-5G-4G,LTE,NR,748
2026-02-26 10:57:40.412666,RAN-005,CELL-0167,381,7,INTRA-FREQ,UMTS,LTE,711
2026-01-08 19:05:01.412666,RAN-019,CELL-0174,277,0,INTRA-FREQ,LTE,NR,127
2026-03-10 05:38:12.412666,RAN-046,CELL-0075,106,5,INTER-RAT-5G-4G,NR,LTE,264
2026-02-21 11:33:44.412666,RAN-008,CELL-0015,354,38,INTRA-FREQ,LTE,UMTS,473
2026-01-12 00:55:15.412666,RAN-015,CELL-0031,256,172,INTER-RAT-5G-4G,LTE,NR,788
2026-01-20 05:42:49.412666,RAN-045,CELL-0040,282,25,INTER-FREQ,UMTS,NR,162
2026-03-05 06:35:36.412666,RAN-001,CELL-0172,455,41,INTRA-FREQ,UMTS,NR,291
2025-12-21 01:54:28.412666,RAN-020,CELL-0021,171,122,INTER-FREQ,NR,LTE,753
2026-01-06 17:16:01.412666,RAN-012,CELL-0014,177,151,INTER-RAT-5G-4G,NR,LTE,780
2025-12-21 02:08:12.412666,RAN-008,CELL-0016,205,148,INTER-RAT-5G-4G,LTE,NR,111
2025-12-20 04:17:29.412666,RAN-038,CELL-0047,188,16,INTER-RAT-4G-5G,NR,LTE,272
2026-02-07 11:41:35.412666,RAN-003,CELL-0015,177,129,INTER-FREQ,NR,LTE,649
2026-01-04 11:10:55.412666,RAN-040,CELL-0195,469,20,INTER-RAT-4G-5G,LTE,NR,198
2025-12-25 13:44:26.412666,RAN-015,CELL-0018,347,64,INTRA-FREQ,UMTS,NR,789
2025-12-21 02:44:45.412666,RAN-020,CELL-0002,114,67,INTER-FREQ,LTE,NR,449
2026-03-10 14:32:03.412666,RAN-001,CELL-0043,110,90,INTER-RAT-4G-5G,NR,LTE,172
2026-01-06 16:59:01.412666,RAN-012,CELL-0019,235,165,INTER-FREQ,LTE,NR,766
2026-01-04 18:49:36.412666,RAN-024,CELL-0028,468,3,INTRA-FREQ,LTE,UMTS,575
2026-02-07 20:02:39.412666,RAN-038,CELL-0170,456,20,INTER-FREQ,UMTS,NR,293
2026-02-21 11:18:37.412666,RAN-045,CELL-0010,58,4,INTER-RAT-5G-4G,UMTS,LTE,227
2026-01-06 18:38:29.412666,RAN-006,CELL-0010,159,93,INTER-FREQ,NR,LTE,597
2026-03-10 14:15:06.412666,RAN-028,CELL-0017,92,63,INTER-RAT-4G-5G,LTE,NR,645
2026-01-12 02:43:10.412666,RAN-018,CELL-0019,60,48,INTER-RAT-4G-5G,NR,LTE,921
2026-01-12 02:44:12.412666,RAN-014,CELL-0031,287,100,INTER-RAT-5G-4G,LTE,NR,389
2026-01-12 02:15:54.412666,RAN-015,CELL-0004,136,89,INTER-FREQ,NR,LTE,944
2026-01-06 16:45:05.412666,RAN-008,CELL-0013,243,146,INTER-FREQ,NR,LTE,918
2026-01-12 02:18:49.412666,RAN-014,CELL-0006,248,156,INTER-RAT-4G-5G,LTE,NR,934
