Event ID,Asset ID,Timestamp,Action Type,User ID,Department,Device Type,Duration Seconds,Session ID
AE-11219,BA-1200,2024-01-01T00:27:19.450Z,Comment Added,user-1232,Brand Management,Desktop,,session-9225
AE-11787,BA-1211,2024-01-01T00:51:22.311Z,View,user-1483,Digital,Tablet,239,session-9846
AE-6215,BA-1111,2024-01-01T00:52:05.136Z,Share,user-1399,Digital,Desktop,,session-8895
AE-5566,BA-1100,2024-01-01T01:18:35.041Z,Download,user-1461,Digital,Mobile,,session-8156
AE-12386,BA-1225,2024-01-01T01:18:45.535Z,Share,user-1386,Digital,Desktop,,session-7747
AE-2450,BA-1044,2024-01-01T02:08:29.782Z,Comment Added,user-1092,Marketing,Mobile,,session-9979
AE-8426,BA-1150,2024-01-01T03:23:18.645Z,Edit Request,user-1193,Creative,Mobile,659,session-1759
AE-11873,BA-1214,2024-01-01T05:34:26.809Z,Download,user-1248,Marketing,Mobile,,session-7339
AE-3089,BA-1055,2024-01-01T06:24:30.248Z,View,user-1092,Creative,Tablet,32,session-301
AE-10804,BA-1193,2024-01-01T07:01:52.086Z,Share,user-1201,Creative,Mobile,,session-1062
AE-13134,BA-1236,2024-01-01T07:54:46.467Z,View,user-1052,Product,Tablet,421,session-7821
AE-4055,BA-1073,2024-01-01T08:22:21.071Z,Download,user-1089,Digital,Desktop,,session-6538
AE-13210,BA-1237,2024-01-01T10:15:07.564Z,View,user-1059,Creative,Mobile,537,session-5275
AE-12141,BA-1219,2024-01-01T11:39:09.474Z,Download,user-1411,Regional Marketing,Desktop,,session-6887
AE-7580,BA-1133,2024-01-01T13:50:07.998Z,View,user-1069,Sales,Desktop,249,session-8417
AE-5141,BA-1094,2024-01-01T15:13:06.007Z,Comment Added,user-1383,Sales,Desktop,,session-9234
AE-7951,BA-1140,2024-01-01T15:26:51.083Z,View,user-1080,Brand Management,Mobile,41,session-8369
AE-9184,BA-1165,2024-01-01T17:42:35.666Z,Approval Submitted,user-1309,Digital,Mobile,,session-7203
