Performance ID,Campaign Name,Asset ID,Date,Channel,Region,Audience Segment,Impressions,Clicks,Conversions,Engagement Rate,Conversion Rate,Spend,Revenue
CP-1,Year-End Review 2024,BA-1131,2024-03-06,Video,EMEA,SMB,8674,184,11,2.12,5.98,82.91,943.78
CP-2,Year-End Review 2024,BA-1131,2024-03-06,Social Media,EMEA,Enterprise,40844,1318,94,3.23,7.13,209.24,12494.53
CP-3,Year-End Review 2024,BA-1131,2024-03-06,Web,North America,SMB,27012,308,8,1.14,2.60,195.87,1326.14
CP-4,Year-End Review 2024,BA-1214,2024-03-06,Video,Global,Developer,11116,242,7,2.18,2.89,63.38,1054.61
CP-5,Year-End Review 2024,BA-1214,2024-03-06,Email,EMEA,Developer,23730,887,23,3.74,2.59,149.75,5195.68
CP-6,Year-End Review 2024,BA-1241,2024-03-06,Email,North America,Consumer,27779,609,51,2.19,8.37,182.54,6916.13
CP-7,Year-End Review 2024,BA-1241,2024-03-06,Web,LATAM,Enterprise,41636,741,42,1.78,5.67,351.15,7513.01
CP-8,Year-End Review 2024,BA-1131,2024-03-07,Video,LATAM,Creative Professional,8350,363,21,4.35,5.79,66.96,2671.68
CP-9,Year-End Review 2024,BA-1131,2024-03-07,Print,North America,SMB,8458,203,17,2.40,8.37,29.83,3940.37
CP-10,Year-End Review 2024,BA-1214,2024-03-07,Social Media,EMEA,Creative Professional,34266,1143,75,3.34,6.56,80.20,17739.58
CP-11,Year-End Review 2024,BA-1214,2024-03-07,Email,Global,Consumer,28630,1685,54,5.89,3.20,226.02,11584.50
CP-12,Year-End Review 2024,BA-1241,2024-03-07,Web,Global,Consumer,19233,746,31,3.88,4.16,41.74,4800.14
CP-13,Year-End Review 2024,BA-1241,2024-03-07,Display Ads,LATAM,Creative Professional,92084,4646,199,5.05,4.28,547.04,46411.45
CP-14,Year-End Review 2024,BA-1131,2024-03-08,Web,Global,SMB,40013,1521,85,3.80,5.59,178.53,8329.84
CP-15,Year-End Review 2024,BA-1131,2024-03-08,Display Ads,LATAM,Enterprise,138995,1803,166,1.30,9.21,365.62,15456.23
CP-16,Year-End Review 2024,BA-1214,2024-03-08,Social Media,APAC,Creative Professional,69087,1213,43,1.76,3.54,547.81,6866.40
CP-17,Year-End Review 2024,BA-1241,2024-03-08,Display Ads,EMEA,Creative Professional,127221,5681,537,4.47,9.45,885.43,41428.51
CP-18,Year-End Review 2024,BA-1241,2024-03-08,Email,EMEA,Consumer,29725,1041,89,3.50,8.55,111.14,18978.99
CP-19,Year-End Review 2024,BA-1131,2024-03-09,Social Media,Global,Developer,57139,2183,133,3.82,6.09,252.07,19616.42
CP-20,Year-End Review 2024,BA-1214,2024-03-09,Display Ads,LATAM,Consumer,133327,6580,427,4.94,6.49,535.83,63237.29
CP-21,Year-End Review 2024,BA-1241,2024-03-09,Display Ads,Global,Creative Professional,68422,2798,68,4.09,2.43,403.11,10712.67
CP-22,Year-End Review 2024,BA-1131,2024-03-10,Web,Global,SMB,40404,405,29,1.00,7.16,307.14,6618.16
CP-23,Year-End Review 2024,BA-1131,2024-03-10,Display Ads,LATAM,Consumer,130483,5741,503,4.40,8.76,1250.39,118076.99
CP-24,Year-End Review 2024,BA-1214,2024-03-10,Video,EMEA,Developer,12800,664,49,5.19,7.38,123.48,5375.35
CP-25,Year-End Review 2024,BA-1214,2024-03-10,Web,LATAM,Developer,19969,555,40,2.78,7.21,178.67,2831.22
CP-26,Year-End Review 2024,BA-1241,2024-03-10,Web,APAC,Developer,17006,660,48,3.88,7.27,57.12,10482.38
CP-27,Year-End Review 2024,BA-1241,2024-03-10,Display Ads,LATAM,SMB,119489,2013,153,1.68,7.60,417.98,21511.85
CP-28,Year-End Review 2024,BA-1241,2024-03-10,Email,Global,Developer,12327,170,16,1.38,9.41,74.13,2448.34
CP-29,Year-End Review 2024,BA-1131,2024-03-11,Social Media,LATAM,Creative Professional,39411,1322,111,3.35,8.40,111.01,23896.43
CP-30,Year-End Review 2024,BA-1214,2024-03-11,Print,North America,Creative Professional,22073,235,18,1.06,7.66,134.37,1373.85
CP-31,Year-End Review 2024,BA-1241,2024-03-11,Web,Global,SMB,22847,777,56,3.40,7.21,195.94,12437.70
CP-32,Year-End Review 2024,BA-1241,2024-03-11,Email,APAC,Creative Professional,10128,105,2,1.04,1.90,101.19,115.67
CP-33,Year-End Review 2024,BA-1131,2024-03-12,Social Media,EMEA,SMB,71840,3334,69,4.64,2.07,365.22,3888.85
CP-34,Year-End Review 2024,BA-1131,2024-03-12,Web,LATAM,SMB,23030,260,13,1.13,5.00,113.44,1068.01
CP-35,Year-End Review 2024,BA-1214,2024-03-12,Web,Global,Developer,40105,657,16,1.64,2.44,257.50,2421.29
CP-36,Year-End Review 2024,BA-1214,2024-03-12,Email,APAC,Developer,11165,419,15,3.75,3.58,34.84,2598.74
CP-37,Year-End Review 2024,BA-1214,2024-03-12,Display Ads,North America,Consumer,76479,884,51,1.16,5.77,187.08,11064.31
CP-38,Year-End Review 2024,BA-1241,2024-03-12,Print,Global,Consumer,14785,715,22,4.84,3.08,35.10,3995.68
CP-39,Year-End Review 2024,BA-1241,2024-03-12,Social Media,North America,Consumer,51576,1444,136,2.80,9.42,382.81,29460.32
CP-40,Year-End Review 2024,BA-1131,2024-03-13,Social Media,EMEA,Consumer,41913,1830,146,4.37,7.98,389.81,32161.57
CP-41,Year-End Review 2024,BA-1214,2024-03-13,Video,North America,Consumer,12302,284,24,2.31,8.45,47.11,3286.91
CP-42,Year-End Review 2024,BA-1214,2024-03-13,Print,EMEA,SMB,13079,146,6,1.12,4.11,58.32,1018.93
CP-43,Year-End Review 2024,BA-1241,2024-03-13,Print,North America,SMB,19055,454,24,2.38,5.29,125.29,3062.31
CP-44,Year-End Review 2024,BA-1241,2024-03-13,Display Ads,North America,Consumer,51507,3009,262,5.84,8.71,469.70,46761.55
CP-45,Year-End Review 2024,BA-1241,2024-03-13,Video,EMEA,Enterprise,17864,1036,47,5.80,4.54,62.78,7544.77
CP-46,Year-End Review 2024,BA-1131,2024-03-14,Print,Global,Developer,13846,233,16,1.68,6.87,77.23,2781.96
CP-47,Year-End Review 2024,BA-1214,2024-03-14,Email,LATAM,Enterprise,11124,581,52,5.22,8.95,35.11,7331.77
CP-48,Year-End Review 2024,BA-1214,2024-03-14,Video,Global,Enterprise,9208,521,13,5.66,2.50,33.03,1107.96
CP-49,Year-End Review 2024,BA-1214,2024-03-14,Display Ads,Global,Consumer,120743,1723,142,1.43,8.24,1089.39,17304.29
CP-50,Year-End Review 2024,BA-1241,2024-03-14,Social Media,Global,SMB,56080,1583,47,2.82,2.97,492.58,6355.33
CP-51,Year-End Review 2024,BA-1131,2024-03-15,Social Media,EMEA,SMB,33427,1382,28,4.13,2.03,294.71,5920.72
CP-52,Year-End Review 2024,BA-1131,2024-03-15,Email,APAC,Developer,20054,769,27,3.83,3.51,105.89,4408.24
CP-53,Year-End Review 2024,BA-1214,2024-03-15,Web,APAC,Consumer,35001,1431,124,4.09,8.67,289.63,17418.99
CP-54,Year-End Review 2024,BA-1214,2024-03-15,Print,LATAM,Creative Professional,21724,393,20,1.81,5.09,126.13,1783.89
CP-55,Year-End Review 2024,BA-1241,2024-03-15,Print,LATAM,Consumer,20577,349,15,1.70,4.30,94.74,2282.52
CP-56,Year-End Review 2024,BA-1241,2024-03-15,Display Ads,APAC,Consumer,84855,4232,195,4.99,4.61,476.58,13901.75
CP-57,Year-End Review 2024,BA-1241,2024-03-15,Email,North America,Creative Professional,17761,397,9,2.24,2.27,121.41,842.52
CP-58,Year-End Review 2024,BA-1131,2024-03-16,Email,APAC,Enterprise,28353,1230,76,4.34,6.18,260.66,6151.60
CP-59,Year-End Review 2024,BA-1131,2024-03-16,Web,EMEA,Consumer,33245,779,60,2.34,7.70,198.26,10169.86
CP-60,Year-End Review 2024,BA-1131,2024-03-16,Social Media,LATAM,Consumer,72515,3640,75,5.02,2.06,192.45,6909.71
CP-61,Year-End Review 2024,BA-1214,2024-03-16,Display Ads,LATAM,Consumer,86116,1465,73,1.70,4.98,488.63,13884.23
CP-62,Year-End Review 2024,BA-1214,2024-03-16,Social Media,North America,Creative Professional,43805,905,62,2.07,6.85,277.87,11202.38
CP-63,Year-End Review 2024,BA-1214,2024-03-16,Email,Global,Consumer,15621,925,31,5.92,3.35,147.21,5176.62
CP-64,Year-End Review 2024,BA-1241,2024-03-16,Video,LATAM,Developer,7891,383,10,4.85,2.61,67.53,1892.14
CP-65,Year-End Review 2024,BA-1241,2024-03-16,Social Media,APAC,Enterprise,32012,1009,41,3.15,4.06,318.59,8921.40
CP-66,Year-End Review 2024,BA-1131,2024-03-17,Email,LATAM,Enterprise,19723,471,27,2.39,5.73,157.34,5332.71
CP-67,Year-End Review 2024,BA-1214,2024-03-17,Print,APAC,SMB,20745,513,16,2.47,3.12,71.28,1240.30
CP-68,Year-End Review 2024,BA-1214,2024-03-17,Video,APAC,Consumer,18831,1089,40,5.78,3.67,89.48,3748.43
CP-69,Year-End Review 2024,BA-1241,2024-03-17,Social Media,APAC,Developer,31528,366,15,1.16,4.10,218.13,1977.48
CP-70,Year-End Review 2024,BA-1131,2024-03-18,Web,LATAM,SMB,21779,1131,24,5.19,2.12,46.22,3963.18
CP-71,Year-End Review 2024,BA-1131,2024-03-18,Video,APAC,Consumer,13857,619,13,4.47,2.10,59.28,1970.18
CP-72,Year-End Review 2024,BA-1214,2024-03-18,Email,Global,Consumer,29208,1023,34,3.50,3.32,102.47,8179.07
CP-73,Year-End Review 2024,BA-1214,2024-03-18,Print,EMEA,Consumer,17615,813,76,4.62,9.35,145.99,8050.13
CP-74,Year-End Review 2024,BA-1241,2024-03-18,Display Ads,LATAM,Developer,90045,1067,101,1.18,9.47,226.02,14126.33
CP-75,Year-End Review 2024,BA-1131,2024-03-19,Email,APAC,Consumer,23230,316,17,1.36,5.38,78.61,3724.40
CP-76,Year-End Review 2024,BA-1131,2024-03-19,Video,APAC,Enterprise,15650,435,39,2.78,8.97,66.72,3849.40
CP-77,Year-End Review 2024,BA-1214,2024-03-19,Social Media,EMEA,Enterprise,64821,2514,109,3.88,4.34,627.77,21836.03
CP-78,Year-End Review 2024,BA-1214,2024-03-19,Email,LATAM,Consumer,12466,318,29,2.55,9.12,48.61,4622.24
CP-79,Year-End Review 2024,BA-1214,2024-03-19,Print,LATAM,Creative Professional,16192,387,12,2.39,3.10,67.62,1873.09
CP-80,Year-End Review 2024,BA-1241,2024-03-19,Video,APAC,SMB,17151,436,30,2.54,6.88,164.72,5388.63
CP-81,Year-End Review 2024,BA-1241,2024-03-19,Print,Global,Developer,12714,321,31,2.52,9.66,91.67,3781.30
CP-82,Year-End Review 2024,BA-1241,2024-03-19,Web,APAC,Consumer,16650,389,30,2.34,7.71,155.91,2084.84
CP-83,Year-End Review 2024,BA-1131,2024-03-20,Social Media,North America,Enterprise,35618,1346,49,3.78,3.64,334.74,11533.68
CP-84,Year-End Review 2024,BA-1131,2024-03-20,Video,Global,Developer,7820,251,8,3.21,3.19,76.26,981.50
CP-85,Year-End Review 2024,BA-1131,2024-03-20,Print,EMEA,Creative Professional,14688,281,18,1.91,6.41,126.18,3655.64
CP-86,Year-End Review 2024,BA-1214,2024-03-20,Display Ads,Global,Consumer,104574,1946,181,1.86,9.30,972.68,27049.06
CP-87,Year-End Review 2024,BA-1241,2024-03-20,Display Ads,LATAM,SMB,115504,2511,77,2.17,3.07,711.48,9989.22
CP-88,Year-End Review 2024,BA-1241,2024-03-20,Email,LATAM,Consumer,29296,1047,97,3.57,9.26,98.84,16517.00
CP-89,Year-End Review 2024,BA-1131,2024-03-21,Display Ads,APAC,SMB,108363,1673,99,1.54,5.92,808.61,6237.37
CP-90,Year-End Review 2024,BA-1214,2024-03-21,Social Media,LATAM,SMB,58619,3201,254,5.46,7.94,166.87,15970.27
CP-91,Year-End Review 2024,BA-1241,2024-03-21,Display Ads,EMEA,Enterprise,109556,6014,430,5.49,7.15,513.60,35453.43
CP-92,Year-End Review 2024,BA-1131,2024-03-22,Social Media,Global,Developer,46325,1815,67,3.92,3.69,247.03,14115.29
CP-93,Year-End Review 2024,BA-1214,2024-03-22,Display Ads,Global,Creative Professional,135159,7939,375,5.87,4.72,422.30,82087.41
CP-94,Year-End Review 2024,BA-1214,2024-03-22,Email,North America,Creative Professional,12887,572,19,4.44,3.32,77.52,2200.03
CP-95,Year-End Review 2024,BA-1214,2024-03-22,Print,North America,Creative Professional,17128,415,35,2.42,8.43,162.80,6177.67
CP-96,Year-End Review 2024,BA-1241,2024-03-22,Video,APAC,Creative Professional,14324,645,56,4.50,8.68,54.65,4111.26
CP-97,Year-End Review 2024,BA-1241,2024-03-22,Print,EMEA,Enterprise,9813,502,44,5.12,8.76,55.20,6439.05
CP-98,Year-End Review 2024,BA-1131,2024-03-23,Email,EMEA,SMB,27555,653,27,2.37,4.13,78.41,1666.68
CP-99,Year-End Review 2024,BA-1131,2024-03-23,Social Media,Global,Consumer,73323,3950,270,5.39,6.84,190.49,29852.35
CP-100,Year-End Review 2024,BA-1131,2024-03-23,Display Ads,APAC,SMB,78690,3042,181,3.87,5.95,325.98,40663.90
CP-101,Year-End Review 2024,BA-1214,2024-03-23,Video,LATAM,SMB,8938,117,11,1.31,9.40,53.35,953.93
CP-102,Year-End Review 2024,BA-1214,2024-03-23,Email,APAC,Creative Professional,20740,224,14,1.08,6.25,51.02,2472.60
CP-103,Year-End Review 2024,BA-1241,2024-03-23,Display Ads,North America,Enterprise,145380,2676,186,1.84,6.95,624.23,22799.72
CP-104,Year-End Review 2024,BA-1131,2024-03-24,Display Ads,EMEA,Developer,64444,781,50,1.21,6.40,163.92,6096.51
CP-105,Year-End Review 2024,BA-1214,2024-03-24,Web,APAC,Consumer,32997,355,20,1.08,5.63,141.15,2709.75
CP-106,Year-End Review 2024,BA-1214,2024-03-24,Print,North America,Enterprise,17649,698,65,3.95,9.31,164.15,10225.70
