customer_account_id,company_name,industry,tier,active_users,total_assets,contract_start_date
CUST000001,Retail Giant 1,Manufacturing,Enterprise,1311,11507,2042-03-18 02:05:07.853031
CUST000002,Manufacturing Co 2,Retail,Enterprise,163,132374,2042-02-16 02:05:07.853031
CUST000003,Manufacturing Co 3,Education,Enterprise,315,96870,2042-01-17 02:05:07.853031
CUST000004,Global Brands Inc 4,Healthcare,Professional,4291,34954,2041-12-18 02:05:07.853031
CUST000005,Manufacturing Co 5,Education,Enterprise,4667,111156,2041-11-18 02:05:07.853031
CUST000006,MediaCo 6,Education,Professional,2299,154294,2041-10-19 02:05:07.853031
CUST000007,TechStart 7,Finance,Professional,1534,139165,2041-09-19 02:05:07.853031
CUST000008,Global Brands Inc 8,Manufacturing,Standard,1989,90722,2041-08-20 02:05:07.853031
CUST000009,Fashion House 9,Education,Enterprise,3403,148522,2041-07-21 02:05:07.853031
CUST000010,Fashion House 10,Media,Professional,3890,68556,2041-06-21 02:05:07.853031
CUST000011,TechStart 11,Media,Professional,2402,55127,2041-05-22 02:05:07.853031
CUST000012,Finance Plus 12,Healthcare,Standard,3060,126870,2041-04-22 02:05:07.853031
CUST000013,Manufacturing Co 13,Finance,Professional,1315,31444,2041-03-23 02:05:07.853031
CUST000014,TechStart 14,Finance,Enterprise,3372,122597,2041-02-21 02:05:07.853031
CUST000015,MediaCo 15,Manufacturing,Professional,3481,64189,2041-01-22 02:05:07.853031
CUST000016,Healthcare Systems 16,Finance,Enterprise,748,77341,2040-12-23 02:05:07.853031
CUST000017,Fashion House 17,Media,Standard,105,176429,2040-11-23 02:05:07.853031
CUST000018,Retail Giant 18,Media,Professional,834,109795,2040-10-24 02:05:07.853031
CUST000019,Healthcare Systems 19,Education,Standard,4758,57001,2040-09-24 02:05:07.853031
CUST000020,Global Brands Inc 20,Finance,Professional,316,169648,2040-08-25 02:05:07.853031
CUST000021,Education First 21,Manufacturing,Enterprise,1088,147263,2040-07-26 02:05:07.853031
CUST000022,Finance Plus 22,Technology,Enterprise,4080,39647,2040-06-26 02:05:07.853031
CUST000023,Manufacturing Co 23,Technology,Enterprise,2310,6269,2040-05-27 02:05:07.853031
CUST000024,Fashion House 24,Media,Professional,1829,96524,2040-04-27 02:05:07.853031
CUST000025,TechStart 25,Finance,Professional,4025,93882,2040-03-28 02:05:07.853031
CUST000026,Manufacturing Co 26,Finance,Professional,934,90804,2040-02-27 02:05:07.853031
CUST000027,Healthcare Systems 27,Finance,Enterprise,1460,10918,2040-01-28 02:05:07.853031
CUST000028,MediaCo 28,Media,Professional,664,31196,2039-12-29 02:05:07.853031
CUST000029,TechStart 29,Healthcare,Standard,3401,66677,2039-11-29 02:05:07.853031
CUST000030,TechStart 30,Education,Professional,4729,113679,2039-10-30 02:05:07.853031
CUST000031,Acme Corp 31,Finance,Professional,4057,93864,2039-09-30 02:05:07.853031
CUST000032,Education First 32,Healthcare,Professional,1591,173684,2039-08-31 02:05:07.853031
CUST000033,Finance Plus 33,Retail,Enterprise,4474,55200,2039-08-01 02:05:07.853031
CUST000034,Education First 34,Retail,Professional,3058,68111,2039-07-02 02:05:07.853031
CUST000035,Healthcare Systems 35,Education,Professional,1890,113439,2039-06-02 02:05:07.853031
CUST000036,Healthcare Systems 36,Technology,Standard,4001,81666,2039-05-03 02:05:07.853031
CUST000037,Healthcare Systems 37,Healthcare,Professional,3315,7642,2039-04-03 02:05:07.853031
CUST000038,Healthcare Systems 38,Manufacturing,Professional,2466,89176,2039-03-04 02:05:07.853031
CUST000039,Healthcare Systems 39,Manufacturing,Enterprise,468,94053,2039-02-02 02:05:07.853031
CUST000040,Global Brands Inc 40,Manufacturing,Professional,4037,137678,2039-01-03 02:05:07.853031
CUST000041,Acme Corp 41,Retail,Professional,2158,102713,2038-12-04 02:05:07.853031
CUST000042,Retail Giant 42,Education,Professional,1756,49575,2038-11-04 02:05:07.853031
CUST000043,Healthcare Systems 43,Finance,Professional,2867,121819,2038-10-05 02:05:07.853031
CUST000044,Finance Plus 44,Technology,Professional,945,23581,2038-09-05 02:05:07.853031
CUST000045,Retail Giant 45,Manufacturing,Professional,4074,8098,2038-08-06 02:05:07.853031
CUST000046,Acme Corp 46,Healthcare,Professional,2988,33709,2038-07-07 02:05:07.853031
CUST000047,Global Brands Inc 47,Media,Enterprise,1624,51674,2038-06-07 02:05:07.853031
CUST000048,Finance Plus 48,Finance,Professional,113,130394,2038-05-08 02:05:07.853031
CUST000049,Global Brands Inc 49,Retail,Enterprise,502,67111,2038-04-08 02:05:07.853031
CUST000050,Fashion House 50,Technology,Professional,4788,132958,2038-03-09 02:05:07.853031
CUST000051,Fashion House 51,Retail,Professional,2000,112211,2038-02-07 02:05:07.853031
CUST000052,Fashion House 52,Retail,Enterprise,1213,75144,2038-01-08 02:05:07.853031
CUST000053,Finance Plus 53,Manufacturing,Professional,3606,76368,2037-12-09 02:05:07.853031
CUST000054,Fashion House 54,Healthcare,Professional,4340,80451,2037-11-09 02:05:07.853031
CUST000055,Retail Giant 55,Retail,Professional,2595,190176,2037-10-10 02:05:07.853031
CUST000056,Healthcare Systems 56,Manufacturing,Standard,2731,46588,2037-09-10 02:05:07.853031
CUST000057,Retail Giant 57,Healthcare,Professional,2956,50001,2037-08-11 02:05:07.853031
CUST000058,Healthcare Systems 58,Technology,Standard,4589,106510,2037-07-12 02:05:07.853031
CUST000059,Acme Corp 59,Healthcare,Professional,4844,27132,2037-06-12 02:05:07.853031
CUST000060,Retail Giant 60,Healthcare,Professional,3318,92415,2037-05-13 02:05:07.853031
CUST000061,Global Brands Inc 61,Manufacturing,Enterprise,285,9539,2037-04-13 02:05:07.853031
CUST000062,Acme Corp 62,Finance,Standard,1574,173630,2037-03-14 02:05:07.853031
CUST000063,MediaCo 63,Healthcare,Professional,3658,136603,2037-02-12 02:05:07.853031
CUST000064,Fashion House 64,Media,Standard,501,180017,2037-01-13 02:05:07.853031
CUST000065,Fashion House 65,Finance,Professional,3332,121464,2036-12-14 02:05:07.853031
CUST000066,TechStart 66,Finance,Enterprise,4420,62199,2036-11-14 02:05:07.853031
CUST000067,MediaCo 67,Education,Professional,2333,174499,2036-10-15 02:05:07.853031
CUST000068,MediaCo 68,Healthcare,Professional,3653,181053,2036-09-15 02:05:07.853031
