experiment_id,experiment_name,variant_id,variant_name,feature_name,start_date,target_metric,control_baseline,experiment_hypothesis
EXP-00001,Sharing - Enhancement Test,VAR-A-00001,Control,Metadata Editor,2025-10-04 01:45:03.113161,time_to_complete,0.3522067763998012,Measuring impact of new UI on Bulk Upload workflow efficiency
EXP-00002,Collaboration - Redesign Test,VAR-B-00002,Variant C,Metadata Editor,2025-09-04 01:45:03.113161,conversion_rate,0.5381494211006517,Comparing simplified workflow approach for Asset Search user experience
EXP-00003,Metadata Editor - Simplification Test,VAR-B-00003,Variant A,Sharing,2025-08-24 01:45:03.113161,conversion_rate,0.3438391546911945,Comparing new UI approach for Asset Search user experience
EXP-00004,Analytics Dashboard - Redesign Test,VAR-C-00004,Variant B,Collections,2025-10-18 01:45:03.113161,feature_adoption,0.20522153613677968,Comparing enhanced algorithm approach for Metadata Editor user experience
EXP-00005,Smart Tagging - Optimization Test,VAR-B-00005,Variant C,Sharing,2025-10-05 01:45:03.113161,user_satisfaction,0.1713059761994581,Measuring impact of enhanced algorithm on Export Pipeline workflow efficiency
EXP-00006,Smart Tagging - Optimization Test,VAR-B-00006,Variant A,Metadata Editor,2025-08-17 01:45:03.113161,task_success_rate,0.3601288458445234,Testing new UI for improved Sharing performance
EXP-00007,Collections - Enhancement Test,VAR-A-00007,Variant C,Analytics Dashboard,2025-11-06 01:45:03.113161,user_satisfaction,0.48287612544021963,Testing redesigned interface for improved Smart Tagging performance
EXP-00008,Metadata Editor - Enhancement Test,VAR-C-00008,Variant A,Metadata Editor,2025-09-06 01:45:03.113161,conversion_rate,0.4998542411939946,Measuring impact of simplified workflow on Asset Search workflow efficiency
EXP-00009,Metadata Editor - Redesign Test,VAR-B-00009,Variant A,Sharing,2025-11-02 01:45:03.113161,task_success_rate,0.1909369572088122,Evaluating enhanced algorithm design to increase Collaboration engagement
EXP-00010,Version Control - Simplification Test,VAR-C-00010,Variant B,Collections,2025-09-01 01:45:03.113161,time_to_complete,0.44500331146168554,Comparing redesigned interface approach for Bulk Upload user experience
EXP-00011,Analytics Dashboard - Optimization Test,VAR-A-00011,Control,Analytics Dashboard,2025-09-18 01:45:03.113161,feature_adoption,0.21926652006786737,Testing enhanced algorithm for improved Version Control performance
EXP-00012,Sharing - Enhancement Test,VAR-C-00012,Variant C,Bulk Upload,2025-10-31 01:45:03.113161,task_success_rate,0.583868236845896,Comparing redesigned interface approach for Collaboration user experience
EXP-00013,Version Control - Optimization Test,VAR-C-00013,Variant C,Bulk Upload,2025-10-14 01:45:03.113161,time_to_complete,0.1622337623328978,Evaluating new UI design to increase Analytics Dashboard engagement
EXP-00014,Collaboration - Optimization Test,VAR-C-00014,Control,Metadata Editor,2025-10-20 01:45:03.113161,time_to_complete,0.5702176683706361,Measuring impact of simplified workflow on Smart Tagging workflow efficiency
EXP-00015,Version Control - Optimization Test,VAR-B-00015,Control,Asset Search,2025-09-07 01:45:03.113161,feature_adoption,0.596904999154688,Comparing enhanced algorithm approach for Bulk Upload user experience
EXP-00016,Bulk Upload - Redesign Test,VAR-B-00016,Variant B,Version Control,2025-08-31 01:45:03.113161,conversion_rate,0.4359493760482693,Testing enhanced algorithm for improved Analytics Dashboard performance
EXP-00017,Metadata Editor - Redesign Test,VAR-A-00017,Variant A,Analytics Dashboard,2025-08-31 01:45:03.113161,feature_adoption,0.739783924149844,Evaluating enhanced algorithm design to increase Asset Search engagement
EXP-00018,Bulk Upload - Optimization Test,VAR-C-00018,Control,Version Control,2025-08-21 01:45:03.113161,conversion_rate,0.7383576056052162,Measuring impact of new UI on Export Pipeline workflow efficiency
EXP-00019,Analytics Dashboard - Simplification Test,VAR-A-00019,Variant C,Asset Search,2025-11-05 01:45:03.113161,time_to_complete,0.7408584407553747,Comparing redesigned interface approach for Collections user experience
EXP-00020,Smart Tagging - Enhancement Test,VAR-C-00020,Control,Version Control,2025-09-04 01:45:03.113161,conversion_rate,0.5940851421098612,Comparing redesigned interface approach for Version Control user experience
