request_id,@timestamp,tenant_id,partner_id,endpoint,http_status,response_time_ms,region,error_message,user_id
REQ-00100000,2025-11-11 00:45:33.113161,TNT-01113,PTR-0126,/api/v2/export,200,45.398231139366246,us-west-2,None,USR-054283
REQ-00100001,2025-11-11 00:46:03.113161,TNT-01128,PTR-0127,/api/v2/tags,200,96.15624885571448,eu-west-1,None,USR-047798
REQ-00100002,2025-11-11 00:46:33.113161,TNT-01067,PTR-0130,/api/v2/search,400,203.38845632595027,ap-southeast-1,Invalid query parameters,USR-018190
REQ-00100003,2025-11-11 00:47:03.113161,TNT-01061,PTR-0104,/api/v2/users,400,74.75704483556272,ap-southeast-1,Insufficient permissions,USR-052220
REQ-00100004,2025-11-11 00:47:33.113161,TNT-01011,PTR-0128,/api/v2/assets,200,111.4437599022945,us-east-1,None,USR-123460
REQ-00100005,2025-11-11 00:48:03.113161,TNT-01123,PTR-0102,/api/v2/tags,204,22.124495546376068,us-west-2,None,USR-092557
REQ-00100006,2025-11-11 00:48:33.113161,TNT-01118,PTR-0118,/api/v2/collections,200,140.3791024840518,ap-southeast-1,None,USR-019881
REQ-00100007,2025-11-11 00:49:03.113161,TNT-01125,PTR-0135,/api/v2/versions,204,24.004528305123856,ap-southeast-1,None,USR-086002
REQ-00100008,2025-11-11 00:49:33.113161,TNT-01037,PTR-0138,/api/v2/export,200,220.45956894752808,ap-southeast-1,None,USR-041772
REQ-00100009,2025-11-11 00:50:03.113161,TNT-01118,PTR-0114,/api/v2/search,200,212.3840745358062,ap-southeast-1,None,USR-033901
REQ-00100010,2025-11-11 00:50:33.113161,TNT-01038,PTR-0130,/api/v2/export,200,72.72545493202543,us-west-2,None,USR-080697
REQ-00100011,2025-11-11 00:51:03.113161,TNT-01107,PTR-0137,/api/v2/versions,204,94.70730664502159,us-west-2,None,USR-088537
REQ-00100012,2025-11-11 00:51:33.113161,TNT-01010,PTR-0114,/api/v2/versions,401,131.35245375453107,us-east-1,Request payload too large,USR-113531
REQ-00100013,2025-11-11 00:52:03.113161,TNT-01139,PTR-0123,/api/v2/users,200,38.05855556884874,eu-west-1,None,USR-040552
REQ-00100014,2025-11-11 00:52:33.113161,TNT-01124,PTR-0102,/api/v2/metadata,200,10.396969537914059,us-east-1,None,USR-057875
REQ-00100015,2025-11-11 00:53:03.113161,TNT-01128,PTR-0125,/api/v2/users,200,23.06948414591712,ap-southeast-1,None,USR-105394
REQ-00100016,2025-11-11 00:53:33.113161,TNT-01063,PTR-0128,/api/v2/webhooks,204,74.37643549538451,us-west-2,None,USR-132142
REQ-00100017,2025-11-11 00:54:03.113161,TNT-01009,None,/api/v2/upload,200,48.94084535279004,us-west-2,None,USR-113656
REQ-00100018,2025-11-11 00:54:33.113161,TNT-01141,PTR-0123,/api/v2/share,200,39.92344205983351,eu-west-1,None,USR-095296
REQ-00100019,2025-11-11 00:55:03.113161,TNT-01031,PTR-0132,/api/v2/upload,204,189.0044269370817,us-east-1,None,USR-017532
REQ-00100020,2025-11-11 00:55:33.113161,TNT-01027,None,/api/v2/search,200,88.91141809941816,us-east-1,None,USR-074986
REQ-00100021,2025-11-11 00:56:03.113161,TNT-01005,PTR-0139,/api/v2/assets,200,153.04447861838142,ap-southeast-1,None,USR-024495
REQ-00100022,2025-11-11 00:56:33.113161,TNT-01000,PTR-0115,/api/v2/collections,500,1399.3703220038324,ap-southeast-1,Insufficient permissions,USR-033923
REQ-00100023,2025-11-11 00:57:03.113161,TNT-01098,PTR-0105,/api/v2/versions,404,98.36385394081819,ap-southeast-1,Upstream service unavailable,USR-064316
REQ-00100024,2025-11-11 00:57:33.113161,TNT-01115,PTR-0137,/api/v2/metadata,401,200.06730529421336,ap-southeast-1,Database connection timeout,USR-030966
REQ-00100025,2025-11-11 00:58:03.113161,TNT-01041,PTR-0130,/api/v2/analytics,200,62.89489645603972,eu-west-1,None,USR-118587
REQ-00100026,2025-11-11 00:58:33.113161,TNT-01050,PTR-0122,/api/v2/webhooks,200,29.42646964283473,ap-southeast-1,None,USR-034251
REQ-00100027,2025-11-11 00:59:03.113161,TNT-01051,PTR-0134,/api/v2/upload,500,6299.034761737548,eu-west-1,Upstream service unavailable,USR-041123
REQ-00100028,2025-11-11 00:59:33.113161,TNT-01032,PTR-0139,/api/v2/users,200,60.79801839192333,us-east-1,None,USR-076134
REQ-00100029,2025-11-11 01:00:03.113161,TNT-01031,PTR-0113,/api/v2/assets,204,39.07172012021454,us-west-2,None,USR-093285
REQ-00100030,2025-11-11 01:00:33.113161,TNT-01059,None,/api/v2/users,200,210.9499295786664,eu-west-1,None,USR-027423
REQ-00100031,2025-11-11 01:01:03.113161,TNT-01012,PTR-0129,/api/v2/webhooks,200,41.27510493209115,eu-west-1,None,USR-058571
REQ-00100032,2025-11-11 01:01:33.113161,TNT-01105,PTR-0101,/api/v2/share,200,12.774988035380208,eu-west-1,None,USR-083358
REQ-00100033,2025-11-11 01:02:03.113161,TNT-01049,PTR-0134,/api/v2/assets,200,20.364839557975237,us-east-1,None,USR-063116
REQ-00100034,2025-11-11 01:02:33.113161,TNT-01046,PTR-0124,/api/v2/webhooks,200,62.98280477417553,us-east-1,None,USR-075544
REQ-00100035,2025-11-11 01:03:03.113161,TNT-01115,PTR-0122,/api/v2/versions,404,31.945191523052856,ap-southeast-1,Rate limit exceeded for tenant,USR-072388
REQ-00100036,2025-11-11 01:03:33.113161,TNT-01046,PTR-0108,/api/v2/assets,200,35.676575700442676,ap-southeast-1,None,USR-058924
REQ-00100037,2025-11-11 01:04:03.113161,TNT-01056,PTR-0116,/api/v2/users,200,50.11975668684411,us-east-1,None,USR-118494
REQ-00100038,2025-11-11 01:04:33.113161,TNT-01148,PTR-0133,/api/v2/assets,200,88.15179715643663,eu-west-1,None,USR-072278
REQ-00100039,2025-11-11 01:05:03.113161,TNT-01052,PTR-0120,/api/v2/export,201,15.605704179485562,ap-southeast-1,None,USR-061101
