event_id,@timestamp,user_id,tenant_id,feature_name,feature_category,session_id,experiment_variant,interaction_duration_ms,conversion_event
EVT-00500000,2025-11-10 18:30:48.113161,USR-020533,TNT-01065,Collaboration,Asset Management,SES-0313313,EXP-00011,1670.578495805282,True
EVT-00500001,2025-11-10 18:31:33.113161,USR-061694,TNT-01110,Sharing,Search & Discovery,SES-0554082,EXP-00082,8229.867666930933,False
EVT-00500002,2025-11-10 18:32:18.113161,USR-014557,TNT-01055,Collections,Administration,SES-0161780,EXP-00083,1079.1935294938473,False
EVT-00500003,2025-11-10 18:33:03.113161,USR-046534,TNT-01074,Bulk Upload,Collaboration,SES-0967654,EXP-00143,11690.108562919375,False
EVT-00500004,2025-11-10 18:33:48.113161,USR-127095,TNT-01054,Export Pipeline,Analytics,SES-0561027,EXP-00136,2004.602242256368,False
EVT-00500005,2025-11-10 18:34:33.113161,USR-059242,TNT-01047,Analytics Dashboard,Asset Management,SES-0589872,EXP-00004,6315.956622402175,True
EVT-00500006,2025-11-10 18:35:18.113161,USR-132467,TNT-01085,Sharing,Collaboration,SES-0480094,EXP-00055,7197.732706594234,False
EVT-00500007,2025-11-10 18:36:03.113161,USR-040760,TNT-01043,Version Control,Administration,SES-0477384,EXP-00125,19497.185219827265,False
EVT-00500008,2025-11-10 18:36:48.113161,USR-067468,TNT-01002,Asset Search,Collaboration,SES-0208056,EXP-00009,4608.471833979603,False
EVT-00500009,2025-11-10 18:37:33.113161,USR-067781,TNT-01143,Metadata Editor,Search & Discovery,SES-0663049,EXP-00029,26916.169059597174,False
EVT-00500010,2025-11-10 18:38:18.113161,USR-120301,TNT-01073,Export Pipeline,Collaboration,SES-0545570,None,2188.4803608732755,False
EVT-00500011,2025-11-10 18:39:03.113161,USR-131246,TNT-01107,Smart Tagging,Search & Discovery,SES-0754470,EXP-00067,6592.651649509479,True
EVT-00500012,2025-11-10 18:39:48.113161,USR-065205,TNT-01107,Bulk Upload,Asset Management,SES-0168958,EXP-00129,473.9632360249919,False
EVT-00500013,2025-11-10 18:40:33.113161,USR-071119,TNT-01113,Metadata Editor,Collaboration,SES-0405468,EXP-00033,24202.408163682016,False
EVT-00500014,2025-11-10 18:41:18.113161,USR-100010,TNT-01093,Metadata Editor,Search & Discovery,SES-0344328,EXP-00055,12447.885029745943,False
EVT-00500015,2025-11-10 18:42:03.113161,USR-041663,TNT-01027,Bulk Upload,Analytics,SES-0231934,EXP-00026,7189.41863881207,False
EVT-00500016,2025-11-10 18:42:48.113161,USR-086834,TNT-01051,Analytics Dashboard,Collaboration,SES-0929860,EXP-00021,3449.8149179330308,False
EVT-00500017,2025-11-10 18:43:33.113161,USR-133582,TNT-01068,Asset Search,Asset Management,SES-0354772,EXP-00018,13313.8210726724,False
EVT-00500018,2025-11-10 18:44:18.113161,USR-046833,TNT-01111,Metadata Editor,Search & Discovery,SES-0146298,EXP-00031,863.0958023064352,False
EVT-00500019,2025-11-10 18:45:03.113161,USR-023435,TNT-01102,Bulk Upload,Analytics,SES-0317210,EXP-00136,3595.0584267704025,False
EVT-00500020,2025-11-10 18:45:48.113161,USR-119589,TNT-01089,Analytics Dashboard,Asset Management,SES-0619399,EXP-00062,827.3923790130455,False
