session_id,@timestamp,user_id,tenant_id,session_duration_ms,page_views,lcp_ms,fid_ms,bounce,device_type,browser
SES-0318575,2025-11-10 16:26:03.113161,USR-064003,TNT-01100,46792.85884582299,13,1053.7232429302553,25.445426745602155,False,Tablet,Safari
SES-0688838,2025-11-10 16:27:03.113161,USR-052406,TNT-01037,122848.11651113586,3,3623.0837897441206,4.943175483822248,False,Desktop,Safari
SES-0507585,2025-11-10 16:28:03.113161,USR-068992,TNT-01024,339843.6022109971,10,1315.0960067506753,61.46098374067269,False,Mobile,Safari
SES-0195853,2025-11-10 16:29:03.113161,USR-049787,TNT-01012,386803.9862042243,7,2246.238652361552,17.359850004338153,False,Desktop,Chrome
SES-0942909,2025-11-10 16:30:03.113161,USR-102237,TNT-01011,367134.753988729,10,6874.989194961242,42.86794911776031,False,Mobile,Chrome
SES-0475216,2025-11-10 16:31:03.113161,USR-069095,TNT-01071,2876491.8896954292,4,3884.607111259278,115.33025707345494,False,Desktop,Chrome
SES-0641231,2025-11-10 16:32:03.113161,USR-104348,TNT-01028,423262.724576074,7,2666.0614105330474,20.400026098875284,False,Desktop,Edge
SES-0559067,2025-11-10 16:33:03.113161,USR-038407,TNT-01087,99582.05135960285,13,2045.7831797375413,162.95849760490893,False,Desktop,Safari
SES-0996919,2025-11-10 16:34:03.113161,USR-051235,TNT-01050,2712701.067599027,3,1642.1608621598923,9.359590295314792,False,Desktop,Chrome
SES-0242591,2025-11-10 16:35:03.113161,USR-047467,TNT-01143,303832.33712151035,13,2700.144159538147,53.56707115534831,False,Desktop,Chrome
SES-0174200,2025-11-10 16:36:03.113161,USR-066212,TNT-01121,181275.7063084636,9,2296.5916711748064,72.7183491114903,False,Desktop,Chrome
SES-0432734,2025-11-10 16:37:03.113161,USR-118309,TNT-01143,857578.8952345678,8,3457.97742782928,62.94563874744318,False,Desktop,Chrome
SES-0562978,2025-11-10 16:38:03.113161,USR-105453,TNT-01003,495234.6234373591,16,5267.9132741673775,12.421907954526654,False,Desktop,Chrome
SES-0284891,2025-11-10 16:39:03.113161,USR-032247,TNT-01118,23444.65521196909,12,1658.7225607625674,21.266740823033306,False,Tablet,Edge
SES-0235744,2025-11-10 16:40:03.113161,USR-014537,TNT-01059,1699418.936542443,7,4910.766557584553,10.930258990977743,False,Desktop,Safari
SES-0580895,2025-11-10 16:41:03.113161,USR-020859,TNT-01115,130867.08760588619,9,3597.5039675293456,134.69419100549226,False,Mobile,Chrome
SES-0512825,2025-11-10 16:42:03.113161,USR-119494,TNT-01067,31002.02834718418,5,2333.4222461307136,10.012974854856372,False,Desktop,Firefox
SES-0684807,2025-11-10 16:43:03.113161,USR-089892,TNT-01033,435324.66325777746,11,3423.230781108918,25.854436495049978,False,Desktop,Chrome
SES-0761384,2025-11-10 16:44:03.113161,USR-055820,TNT-01101,67041.53173277945,10,2105.500303145678,41.10762273349803,False,Desktop,Safari
SES-0161780,2025-11-10 16:45:03.113161,USR-023435,TNT-01016,287560.54133009416,11,757.6342945323804,2.8880290894771585,False,Desktop,Chrome
SES-0963183,2025-11-10 16:46:03.113161,USR-054186,TNT-01062,91640.81606677835,5,983.7380787819851,53.26531279720909,True,Desktop,Firefox
SES-0234026,2025-11-10 16:47:03.113161,USR-036578,TNT-01039,700717.3742808873,6,2334.5649870486354,40.91274655078981,False,Mobile,Firefox
SES-0638789,2025-11-10 16:48:03.113161,USR-126306,TNT-01131,909803.5739645481,11,2598.030716133431,23.23166245348327,False,Desktop,Firefox
SES-0365638,2025-11-10 16:49:03.113161,USR-015474,TNT-01133,41640.56347758361,11,1248.4260265352539,30.10640713917033,False,Desktop,Edge
SES-0511903,2025-11-10 16:50:03.113161,USR-017429,TNT-01141,637672.1050929391,12,868.9570408837429,78.25043021414326,False,Desktop,Firefox
SES-0784985,2025-11-10 16:51:03.113161,USR-049203,TNT-01097,64478.17926906908,9,2721.9803923753593,120.51615772627875,False,Mobile,Firefox
SES-0621476,2025-11-10 16:52:03.113161,USR-042714,TNT-01014,58559.05613900219,9,453.95622374072366,52.15697553415304,False,Desktop,Firefox
SES-0347443,2025-11-10 16:53:03.113161,USR-019871,TNT-01050,269550.3714771662,12,3491.477385848365,68.98808251738191,False,Mobile,Safari
SES-0246124,2025-11-10 16:54:03.113161,USR-065139,TNT-01007,151349.84307063057,12,2548.080341285495,5.715157299506507,False,Mobile,Firefox
SES-0644192,2025-11-10 16:55:03.113161,USR-131758,TNT-01047,838828.4030135456,11,781.6884844171209,14.623841004689314,False,Desktop,Chrome
SES-0643811,2025-11-10 16:56:03.113161,USR-102832,TNT-01094,1986886.0591319287,13,3787.509276732813,57.53194646403964,False,Tablet,Chrome
SES-0468713,2025-11-10 16:57:03.113161,USR-100485,TNT-01073,2109185.2506892057,7,2849.7548734762076,57.5231669983128,False,Desktop,Firefox
SES-0137805,2025-11-10 16:58:03.113161,USR-126843,TNT-01009,1503770.5259505203,8,3885.079497220525,43.00422604239569,True,Desktop,Safari
SES-0624402,2025-11-10 16:59:03.113161,USR-052190,TNT-01119,6577511.46691417,10,917.0895138201643,17.851300748992372,False,Desktop,Safari
SES-0704649,2025-11-10 17:00:03.113161,USR-108204,TNT-01144,67175.60773085068,9,3907.6717751675033,12.52198885130258,False,Desktop,Chrome
SES-0457487,2025-11-10 17:01:03.113161,USR-120359,TNT-01088,626219.650398077,11,2640.8663247675245,35.37109760104534,False,Tablet,Chrome
SES-0624273,2025-11-10 17:02:03.113161,USR-050946,TNT-01044,25257.576225528606,11,2823.7474617600305,39.98896301580065,False,Mobile,Chrome
SES-0437863,2025-11-10 17:03:03.113161,USR-100989,TNT-01107,83801.96486866733,11,710.3070551320621,8.062707900953578,True,Desktop,Edge
SES-0822888,2025-11-10 17:04:03.113161,USR-093285,TNT-01009,269693.52073702594,8,3647.862472997836,51.007547158968265,False,Desktop,Chrome
SES-0469684,2025-11-10 17:05:03.113161,USR-100947,TNT-01076,1822377.3859412977,9,1372.7188910961656,35.15002868019908,False,Desktop,Firefox
SES-0638368,2025-11-10 17:06:03.113161,USR-133582,TNT-01108,431148.86705647263,7,2274.0360092129663,12.693288652328809,True,Desktop,Chrome
SES-0298520,2025-11-10 17:07:03.113161,USR-067487,TNT-01015,4290032.482810392,9,4296.726213352143,78.98931491302578,False,Desktop,Chrome
SES-0432249,2025-11-10 17:08:03.113161,USR-127247,TNT-01021,118970.58993873787,8,4109.599221833067,22.787791336457282,False,Desktop,Firefox
SES-0597277,2025-11-10 17:09:03.113161,USR-127247,TNT-01024,294724.54683101265,6,3228.9870121688928,149.73007272651037,True,Desktop,Edge
SES-0152089,2025-11-10 17:10:03.113161,USR-098931,TNT-01144,119571.93495135404,14,3585.1114429239587,209.92187961318547,False,Mobile,Chrome
SES-0793489,2025-11-10 17:11:03.113161,USR-015791,TNT-01121,234378.82303505336,7,9806.533089530343,27.478598604882883,False,Desktop,Chrome
SES-0305273,2025-11-10 17:12:03.113161,USR-048114,TNT-01093,57950.56640494863,8,2326.997459224865,21.171295786026352,False,Mobile,Chrome
SES-0281817,2025-11-10 17:13:03.113161,USR-082183,TNT-01094,285212.5862598105,9,2206.927956137937,50.58443654635149,True,Tablet,Chrome
SES-0809314,2025-11-10 17:14:03.113161,USR-011891,TNT-01126,496027.01086306147,7,2826.709177252118,45.641055612755245,False,Desktop,Firefox
SES-0903417,2025-11-10 17:15:03.113161,USR-089524,TNT-01071,355174.3023150737,11,3704.199935574412,35.13145512670101,True,Desktop,Chrome
SES-0881695,2025-11-10 17:16:03.113161,USR-043149,TNT-01107,441935.8457396439,9,10030.768816406264,19.308810497045574,False,Mobile,Chrome
SES-0539556,2025-11-10 17:17:03.113161,USR-119872,TNT-01035,610955.0746199138,11,4505.693339684499,26.08683435084341,False,Mobile,Chrome
SES-0718064,2025-11-10 17:18:03.113161,USR-018203,TNT-01025,15017.864089475741,14,4827.914613160418,107.79096525754417,False,Desktop,Edge
SES-0756093,2025-11-10 17:19:03.113161,USR-056623,TNT-01131,102973.82259405355,15,4301.955973406105,47.65642097408539,False,Desktop,Edge
SES-0248513,2025-11-10 17:20:03.113161,USR-073388,TNT-01055,516616.2316935356,10,1636.0914032920168,36.467192876490586,False,Mobile,Chrome
SES-0268528,2025-11-10 17:21:03.113161,USR-085094,TNT-01117,410575.5733738146,8,2036.9670370001106,73.6610731061609,False,Desktop,Edge
SES-0413795,2025-11-10 17:22:03.113161,USR-089305,TNT-01034,311856.1319782801,9,2488.1763138950328,63.56693267647426,False,Desktop,Chrome
SES-0403024,2025-11-10 17:23:03.113161,USR-107958,TNT-01094,18505.129431336474,13,10105.760957944698,23.651503833593313,False,Desktop,Firefox
SES-0663344,2025-11-10 17:24:03.113161,USR-055328,TNT-01095,41163.66710917098,7,3764.311117759242,33.74057101247358,False,Desktop,Firefox
