delivery_id,@timestamp,partner_id,tenant_id,event_type,http_status,retry_count,delivery_latency_ms,success
WBH-00200000,2025-11-10 21:59:13.113161,PTR-0108,TNT-01054,asset.deleted,502,1,421.65986320191735,False
WBH-00200001,2025-11-10 22:00:03.113161,PTR-0112,TNT-01056,user.invited,200,0,945.0510642834834,True
WBH-00200002,2025-11-10 22:00:53.113161,PTR-0128,TNT-01051,user.invited,200,0,417.7114248877464,True
WBH-00200003,2025-11-10 22:01:43.113161,PTR-0113,TNT-01111,metadata.changed,400,0,197.75033330086973,False
WBH-00200004,2025-11-10 22:02:33.113161,PTR-0125,TNT-01103,tag.applied,200,0,427.34819809262893,True
WBH-00200005,2025-11-10 22:03:23.113161,PTR-0133,TNT-01075,asset.created,200,0,386.42171941450863,True
WBH-00200006,2025-11-10 22:04:13.113161,PTR-0131,TNT-01061,asset.created,200,0,294.46172333214014,True
WBH-00200007,2025-11-10 22:05:03.113161,PTR-0138,TNT-01097,asset.deleted,504,0,240.6869645293134,False
WBH-00200008,2025-11-10 22:05:53.113161,PTR-0138,TNT-01065,asset.created,201,0,325.614807237562,True
WBH-00200009,2025-11-10 22:06:43.113161,PTR-0113,TNT-01136,tag.applied,200,0,205.29222473675088,True
WBH-00200010,2025-11-10 22:07:33.113161,PTR-0118,TNT-01026,asset.updated,200,0,688.6201573781633,True
WBH-00200011,2025-11-10 22:08:23.113161,PTR-0120,TNT-01113,tag.applied,200,0,1453.2017924447866,True
WBH-00200012,2025-11-10 22:09:13.113161,PTR-0125,TNT-01073,tag.applied,500,2,4655.051165535112,False
WBH-00200013,2025-11-10 22:10:03.113161,PTR-0109,TNT-01071,asset.deleted,200,0,154.26673038633717,True
WBH-00200014,2025-11-10 22:10:53.113161,PTR-0104,TNT-01129,tag.applied,201,0,329.75401106157386,True
WBH-00200015,2025-11-10 22:11:43.113161,PTR-0112,TNT-01124,tag.applied,200,0,158.93711627583656,True
WBH-00200016,2025-11-10 22:12:33.113161,PTR-0109,TNT-01014,asset.created,200,0,577.2549509569634,True
WBH-00200017,2025-11-10 22:13:23.113161,PTR-0123,TNT-01020,metadata.changed,200,0,906.6149440833594,True
WBH-00200018,2025-11-10 22:14:13.113161,PTR-0135,TNT-01086,asset.created,400,1,144.24543771081068,False
WBH-00200019,2025-11-10 22:15:03.113161,PTR-0131,TNT-01088,tag.applied,404,0,270.1607311477715,False
WBH-00200020,2025-11-10 22:15:53.113161,PTR-0133,TNT-01138,metadata.changed,200,0,794.2624125078393,True
WBH-00200021,2025-11-10 22:16:43.113161,PTR-0104,TNT-01085,asset.created,201,0,368.1230872307359,True
WBH-00200022,2025-11-10 22:17:33.113161,PTR-0130,TNT-01038,export.completed,200,0,382.0483467580853,True
WBH-00200023,2025-11-10 22:18:23.113161,PTR-0136,TNT-01076,tag.applied,200,0,227.6890277121193,True
WBH-00200024,2025-11-10 22:19:13.113161,PTR-0134,TNT-01078,metadata.changed,200,0,458.01380018703475,True
WBH-00200025,2025-11-10 22:20:03.113161,PTR-0124,TNT-01098,asset.updated,200,0,241.28649116848686,True
WBH-00200026,2025-11-10 22:20:53.113161,PTR-0112,TNT-01019,user.invited,200,0,863.7008629710396,True
WBH-00200027,2025-11-10 22:21:43.113161,PTR-0107,TNT-01073,collection.shared,200,0,189.59277920228993,True
WBH-00200028,2025-11-10 22:22:33.113161,PTR-0109,TNT-01079,user.invited,200,0,47.72712036936967,True
WBH-00200029,2025-11-10 22:23:23.113161,PTR-0132,TNT-01138,collection.shared,200,0,234.41208748183587,True
WBH-00200030,2025-11-10 22:24:13.113161,PTR-0108,TNT-01072,metadata.changed,200,0,1259.2842913240033,True
WBH-00200031,2025-11-10 22:25:03.113161,PTR-0139,TNT-01019,asset.deleted,201,0,723.8669909169782,True
WBH-00200032,2025-11-10 22:25:53.113161,PTR-0107,TNT-01026,asset.created,200,0,246.64816370186927,True
WBH-00200033,2025-11-10 22:26:43.113161,PTR-0107,TNT-01148,asset.created,200,0,135.62244973919385,True
WBH-00200034,2025-11-10 22:27:33.113161,PTR-0132,TNT-01109,user.invited,200,0,88.21707003192856,True
WBH-00200035,2025-11-10 22:28:23.113161,PTR-0100,TNT-01042,collection.shared,200,0,266.94043851254787,True
WBH-00200036,2025-11-10 22:29:13.113161,PTR-0103,TNT-01004,collection.shared,200,0,1257.7265148828913,True
WBH-00200037,2025-11-10 22:30:03.113161,PTR-0106,TNT-01122,asset.created,200,0,132.85077468874786,True
WBH-00200038,2025-11-10 22:30:53.113161,PTR-0137,TNT-01102,export.completed,200,0,148.29022696619865,True
WBH-00200039,2025-11-10 22:31:43.113161,PTR-0128,TNT-01025,asset.deleted,201,0,427.3750607465291,True
WBH-00200040,2025-11-10 22:32:33.113161,PTR-0128,TNT-01044,export.completed,200,0,95.47555003697701,True
WBH-00200041,2025-11-10 22:33:23.113161,PTR-0138,TNT-01096,tag.applied,200,0,250.75003286891467,True
WBH-00200042,2025-11-10 22:34:13.113161,PTR-0134,TNT-01085,tag.applied,200,0,243.48560550290662,True
WBH-00200043,2025-11-10 22:35:03.113161,PTR-0122,TNT-01036,export.completed,200,0,112.72105581473677,True
WBH-00200044,2025-11-10 22:35:53.113161,PTR-0112,TNT-01038,metadata.changed,200,0,358.26926708654776,True
WBH-00200045,2025-11-10 22:36:43.113161,PTR-0127,TNT-01108,asset.deleted,200,0,516.2294166313785,True
WBH-00200046,2025-11-10 22:37:33.113161,PTR-0119,TNT-01077,asset.updated,201,0,315.5084376526162,True
WBH-00200047,2025-11-10 22:38:23.113161,PTR-0107,TNT-01137,tag.applied,201,0,580.9032028060415,True
WBH-00200048,2025-11-10 22:39:13.113161,PTR-0131,TNT-01119,tag.applied,200,0,370.4628101128942,True
WBH-00200049,2025-11-10 22:40:03.113161,PTR-0120,TNT-01021,user.invited,201,0,584.8991419429777,True
WBH-00200050,2025-11-10 22:40:53.113161,PTR-0109,TNT-01107,asset.updated,200,0,224.38606935170105,True
WBH-00200051,2025-11-10 22:41:43.113161,PTR-0137,TNT-01108,asset.created,200,0,988.0064295005353,True
WBH-00200052,2025-11-10 22:42:33.113161,PTR-0110,TNT-01066,asset.updated,200,0,261.308314327723,True
WBH-00200053,2025-11-10 22:43:23.113161,PTR-0107,TNT-01022,tag.applied,200,0,183.73587623644946,True
WBH-00200054,2025-11-10 22:44:13.113161,PTR-0129,TNT-01099,asset.deleted,200,0,519.4224899096098,True
WBH-00200055,2025-11-10 22:45:03.113161,PTR-0105,TNT-01010,asset.updated,200,0,452.4049787289189,True
WBH-00200056,2025-11-10 22:45:53.113161,PTR-0112,TNT-01062,asset.created,200,0,109.57870188164132,True
WBH-00200057,2025-11-10 22:46:43.113161,PTR-0130,TNT-01068,asset.updated,201,0,1463.3295482287697,True
WBH-00200058,2025-11-10 22:47:33.113161,PTR-0122,TNT-01053,asset.updated,200,0,437.52253225943434,True
WBH-00200059,2025-11-10 22:48:23.113161,PTR-0126,TNT-01137,asset.created,200,0,417.7527250861507,True
WBH-00200060,2025-11-10 22:49:13.113161,PTR-0120,TNT-01063,collection.shared,401,0,656.2146145052182,False
WBH-00200061,2025-11-10 22:50:03.113161,PTR-0124,TNT-01113,asset.deleted,200,0,1322.3103980172757,True
WBH-00200062,2025-11-10 22:50:53.113161,PTR-0130,TNT-01015,tag.applied,201,0,238.899992665471,True
WBH-00200063,2025-11-10 22:51:43.113161,PTR-0102,TNT-01103,tag.applied,200,0,1068.5505294242867,True
WBH-00200064,2025-11-10 22:52:33.113161,PTR-0102,TNT-01130,tag.applied,201,0,502.39026071034937,True
WBH-00200065,2025-11-10 22:53:23.113161,PTR-0103,TNT-01095,user.invited,201,0,506.266638163422,True
WBH-00200066,2025-11-10 22:54:13.113161,PTR-0106,TNT-01045,metadata.changed,200,0,336.5285659610831,True
WBH-00200067,2025-11-10 22:55:03.113161,PTR-0124,TNT-01023,user.invited,200,0,347.7973341452491,True
WBH-00200068,2025-11-10 22:55:53.113161,PTR-0133,TNT-01101,export.completed,200,0,264.4399428508288,True
WBH-00200069,2025-11-10 22:56:43.113161,PTR-0139,TNT-01063,collection.shared,201,0,758.8747364442809,True
WBH-00200070,2025-11-10 22:57:33.113161,PTR-0108,TNT-01029,metadata.changed,502,0,1015.8486118902539,False
WBH-00200071,2025-11-10 22:58:23.113161,PTR-0116,TNT-01061,collection.shared,200,0,222.50771539975378,True
WBH-00200072,2025-11-10 22:59:13.113161,PTR-0134,TNT-01109,collection.shared,200,0,142.39811244037935,True
WBH-00200073,2025-11-10 23:00:03.113161,PTR-0113,TNT-01017,tag.applied,200,0,248.04368010011686,True
WBH-00200074,2025-11-10 23:00:53.113161,PTR-0118,TNT-01086,asset.updated,200,0,386.3292639829114,True
WBH-00200075,2025-11-10 23:01:43.113161,PTR-0108,TNT-01071,user.invited,200,0,904.1846223715007,True
WBH-00200076,2025-11-10 23:02:33.113161,PTR-0121,TNT-01115,user.invited,200,0,98.28570447146757,True
WBH-00200077,2025-11-10 23:03:23.113161,PTR-0107,TNT-01052,asset.deleted,401,0,274.3318982484792,False
WBH-00200078,2025-11-10 23:04:13.113161,PTR-0102,TNT-01117,metadata.changed,200,0,120.07516590269536,True
WBH-00200079,2025-11-10 23:05:03.113161,PTR-0139,TNT-01093,asset.created,200,0,367.3988480247677,True
WBH-00200080,2025-11-10 23:05:53.113161,PTR-0108,TNT-01123,asset.updated,200,0,235.58692276844667,True
WBH-00200081,2025-11-10 23:06:43.113161,PTR-0137,TNT-01078,asset.deleted,200,0,1436.0716776169713,True
WBH-00200082,2025-11-10 23:07:33.113161,PTR-0102,TNT-01063,tag.applied,200,0,415.7315219644482,True
