@timestamp,session_id,trace_id,span_id,user_id,page_url,page_name,transaction_name,application_id,device_type,browser,region,connection_type,lcp_ms,fid_ms,inp_ms,cls_score,fcp_ms,ttfb_ms,tbt_ms,dns_time_ms,tcp_time_ms,request_time_ms,response_time_ms,dom_processing_ms,load_event_ms,total_page_load_ms,error_count,long_task_count,failed_resource_count,navigation_type
2025-10-27 06:56:00.233203,sess_00002335,trace_000000001697,span_page_000000000000,user_001173,/login,bills_list,Bill Payment,app_0007,mobile,Safari,Porto Alegre,4g,1641,200,83,0.05552825502056821,2612,520,476,20,49,30,79,408,243,3115,0,0,0,navigate
2025-10-27 07:01:00.233203,sess_00000465,trace_000000002847,span_page_000000000001,user_010148,/investments/portfolio,cards_list,Statement Download,app_0144,desktop,Chrome,Rio de Janeiro,5g,1485,33,153,0.11437621971052528,1541,667,469,8,41,25,114,1389,235,1837,0,1,0,navigate
2025-10-27 07:06:00.233203,sess_00000223,trace_000000002342,span_page_000000000002,user_010395,/account/documents,bills_list,Account Opening,app_0005,mobile,Safari,Recife,4g,858,53,54,0.030966611993142348,682,321,467,28,68,11,63,884,239,2202,0,1,0,navigate
2025-10-27 07:11:00.233203,sess_00001869,trace_000000001644,span_page_000000000003,user_011421,/bills/pay,investments_buy,PIX Transfer,app_0070,desktop,Firefox,Salvador,3g,4642,98,107,0.31448098444372086,614,789,46,33,38,52,134,581,136,2719,1,2,0,navigate
2025-10-27 07:16:00.233203,sess_00000101,trace_000000004833,span_page_000000000004,user_004286,/account/documents,investments_buy,PIX Transfer,app_0138,desktop,Chrome,Brasília,5g,1446,13,301,0.07485933355638091,1247,398,685,15,45,41,52,432,172,4554,0,0,0,navigate
2025-10-27 07:21:00.233203,sess_00000313,trace_000000001715,span_page_000000000005,user_006276,/pix/confirm,login,PIX Transfer,app_0069,desktop,Edge,São Paulo,5g,2462,16,82,0.26550159099386433,1045,1002,485,32,59,11,525,1088,272,1050,1,5,0,reload
2025-10-27 07:26:00.233203,sess_00001524,trace_000000003021,span_page_000000000006,user_003860,/profile/edit,loans_apply,Account Opening,app_0140,tablet,Samsung Internet,Curitiba,wifi,3383,11,56,0.393914847893107,3747,342,743,20,58,25,117,614,172,4780,0,1,1,navigate
2025-10-27 07:31:00.233203,sess_00001721,trace_000000002529,span_page_000000000007,user_004254,/cards/list,bills_pay,Card Activation,app_0093,desktop,Safari,Fortaleza,4g,2358,86,50,0.08905482003549196,917,154,127,12,30,27,68,210,180,1861,0,4,1,navigate
2025-10-27 07:36:00.233203,sess_00001493,trace_000000000712,span_page_000000000008,user_013757,/dashboard,investments_portfolio,Profile Update,app_0109,tablet,Safari,São Paulo,4g,1451,42,66,0.4024767673626556,650,287,256,33,101,33,72,704,242,2625,0,0,0,reload
2025-10-27 07:41:00.233203,sess_00000833,trace_000000002465,span_page_000000000009,user_003075,/pix/confirm,cards_list,Statement Download,app_0073,mobile,Safari,Brasília,5g,4778,13,237,0.4423681002232715,921,388,195,28,34,114,95,243,457,4465,0,0,0,navigate
2025-10-27 07:46:00.233203,sess_00002175,trace_000000004269,span_page_000000000010,user_000079,/pix/transfer,account_open,Card Activation,app_0149,mobile,Firefox,São Paulo,5g,799,71,89,0.043138986065591946,936,518,225,42,128,20,194,644,90,2359,1,4,0,navigate
2025-10-27 07:51:00.233203,sess_00001443,trace_000000000924,span_page_000000000011,user_005104,/pix/transfer,loans_apply,Account Opening,app_0024,desktop,Edge,São Paulo,wifi,1733,48,93,0.11431441374497325,1715,578,259,23,30,21,494,513,422,2910,0,0,1,navigate
2025-10-27 07:56:00.233203,sess_00001194,trace_000000002072,span_page_000000000012,user_006322,/bills/list,dashboard,Loan Application,app_0092,mobile,Firefox,Salvador,4g,758,161,264,0.05675394142222715,1389,143,1201,22,51,47,206,1368,390,1748,0,1,0,back_forward
2025-10-27 08:01:00.233203,sess_00000852,trace_000000003190,span_page_000000000013,user_004149,/cards/list,loans_apply,Statement Download,app_0000,tablet,Firefox,Curitiba,4g,2858,139,356,0.148385054914921,989,790,202,12,63,11,376,1098,170,1921,1,2,0,navigate
2025-10-27 08:06:00.233203,sess_00000453,trace_000000002491,span_page_000000000014,user_009053,/login,loans_status,Loan Application,app_0034,mobile,Chrome,Recife,wifi,2495,99,256,0.9168069296312857,1340,609,405,30,45,19,50,561,280,843,0,0,0,back_forward
2025-10-27 08:11:00.233203,sess_00002433,trace_000000003664,span_page_000000000015,user_008484,/bills/list,loans_status,Profile Update,app_0032,desktop,Chrome,Recife,5g,2817,38,125,0.1485108797301076,764,446,314,30,39,22,69,601,108,1914,0,3,1,navigate
2025-10-27 08:16:00.233203,sess_00000081,trace_000000004372,span_page_000000000016,user_008238,/dashboard,account_open,Card Activation,app_0125,mobile,Chrome,Rio de Janeiro,4g,1370,43,483,0.04061374937188993,786,164,168,22,37,79,106,526,208,800,0,0,0,navigate
2025-10-27 08:21:00.233203,sess_00000440,trace_000000000638,span_page_000000000017,user_010224,/investments/buy,profile_edit,Support Request,app_0141,mobile,Edge,Brasília,5g,1457,58,105,0.17449644081459312,2451,282,600,8,86,13,87,206,165,1772,0,0,0,back_forward
2025-10-27 08:26:00.233203,sess_00000648,trace_000000002903,span_page_000000000018,user_002803,/bills/list,profile_edit,Login Flow,app_0015,desktop,Chrome,Porto Alegre,4g,718,78,68,0.1508645834612973,702,229,69,13,34,29,235,575,87,4194,0,2,0,navigate
2025-10-27 08:31:00.233203,sess_00001164,trace_000000001709,span_page_000000000019,user_000884,/loans/apply,investments_portfolio,Card Activation,app_0041,mobile,Safari,São Paulo,5g,2151,21,212,0.2939897825186469,1178,499,557,11,51,12,171,235,62,1469,0,1,1,reload
2025-10-27 08:36:00.233203,sess_00002319,trace_000000002933,span_page_000000000020,user_009026,/account/open,cards_list,PIX Transfer,app_0076,tablet,Chrome,Recife,5g,1585,54,406,0.5407299868369232,1532,503,124,14,88,117,98,232,263,1660,1,1,0,reload
2025-10-27 08:41:00.233203,sess_00000299,trace_000000003487,span_page_000000000021,user_007410,/investments/portfolio,cards_activate,Account Opening,app_0050,mobile,Chrome,Fortaleza,wifi,886,132,298,0.08829431496087016,1549,161,323,56,45,17,293,427,206,1546,1,1,1,reload
2025-10-27 08:46:00.233203,sess_00000101,trace_000000003502,span_page_000000000022,user_002992,/pix/confirm,bills_list,Statement Download,app_0064,mobile,Safari,São Paulo,wifi,4311,132,366,0.09925396333253063,823,242,359,15,18,30,182,299,164,2505,0,1,1,reload
2025-10-27 08:51:00.233203,sess_00002312,trace_000000004450,span_page_000000000023,user_009684,/pix/confirm,loans_apply,Support Request,app_0001,mobile,Edge,Belo Horizonte,wifi,2297,110,101,0.04966089741671631,2181,613,116,18,50,30,81,415,158,2164,0,4,1,navigate
2025-10-27 08:56:00.233203,sess_00002120,trace_000000002394,span_page_000000000024,user_002699,/dashboard,investments_buy,Card Activation,app_0072,desktop,Chrome,Rio de Janeiro,4g,2285,20,50,0.32667783998742417,843,495,396,22,80,8,110,464,75,5323,1,2,1,reload
2025-10-27 09:01:00.233203,sess_00000372,trace_000000002502,span_page_000000000025,user_003263,/loans/apply,pix_transfer,Card Activation,app_0103,mobile,Chrome,Rio de Janeiro,4g,1597,44,56,0.20845563646486534,717,326,168,25,28,87,93,257,118,1531,0,2,0,prerender
2025-10-27 09:06:00.233203,sess_00001840,trace_000000004640,span_page_000000000026,user_011375,/loans/status,cards_activate,Bill Payment,app_0083,desktop,Chrome,Salvador,5g,3157,183,92,0.027553184471780016,2507,221,618,24,32,32,422,275,233,5006,0,1,0,reload
2025-10-27 09:11:00.233203,sess_00002327,trace_000000000764,span_page_000000000027,user_005064,/bills/list,bills_pay,Statement Download,app_0090,tablet,Chrome,Porto Alegre,5g,851,49,50,0.0611707877496398,938,1110,259,14,22,53,261,100,123,7079,0,1,0,navigate
2025-10-27 09:16:00.233203,sess_00001437,trace_000000002078,span_page_000000000028,user_009656,/pix/confirm,account_documents,PIX Transfer,app_0036,desktop,Chrome,São Paulo,wifi,2421,58,185,0.07667466279677004,1362,200,162,7,132,12,50,545,113,1870,0,6,0,reload
2025-10-27 09:21:00.233203,sess_00002214,trace_000000004607,span_page_000000000029,user_010942,/dashboard,bills_pay,Loan Application,app_0112,mobile,Chrome,Brasília,3g,1240,78,275,0.2615686664486734,420,570,492,37,53,67,286,359,82,966,0,0,0,navigate
2025-10-27 09:26:00.233203,sess_00001508,trace_000000003643,span_page_000000000030,user_011331,/account/open,profile_edit,Card Activation,app_0143,desktop,Firefox,Porto Alegre,3g,3871,66,50,0.27252086285107097,1201,124,1017,13,81,34,105,782,154,1527,0,1,1,navigate
2025-10-27 09:31:00.233203,sess_00000093,trace_000000004481,span_page_000000000031,user_006483,/pix/confirm,bills_pay,Account Opening,app_0025,desktop,Safari,Curitiba,5g,3414,36,110,0.02203693196999351,2384,324,1350,7,27,8,694,451,132,2634,0,2,0,navigate
2025-10-27 09:36:00.233203,sess_00002044,trace_000000000566,span_page_000000000032,user_006561,/investments/buy,pix_confirm,Support Request,app_0049,tablet,Safari,Fortaleza,4g,931,13,50,0.04323269965208053,1014,319,400,17,49,67,725,331,104,3121,0,2,0,navigate
2025-10-27 09:41:00.233203,sess_00001222,trace_000000000807,span_page_000000000033,user_001290,/profile/edit,account_documents,Account Opening,app_0054,tablet,Chrome,São Paulo,5g,7527,36,332,0.08466523830661163,859,268,366,34,49,42,246,213,193,2873,0,1,0,navigate
2025-10-27 09:46:00.233203,sess_00001287,trace_000000000101,span_page_000000000034,user_011641,/investments/portfolio,account_open,Statement Download,app_0005,desktop,Chrome,Porto Alegre,3g,1388,35,249,0.5908390239602903,2244,410,254,39,67,14,77,615,112,943,1,0,1,back_forward
2025-10-27 09:51:00.233203,sess_00000495,trace_000000001454,span_page_000000000035,user_005886,/account/open,investments_buy,Bill Payment,app_0124,mobile,Chrome,Brasília,wifi,1493,119,87,0.14284490228759622,411,595,172,21,45,13,145,1379,104,4543,0,1,0,navigate
2025-10-27 09:56:00.233203,sess_00002076,trace_000000004482,span_page_000000000036,user_008806,/investments/buy,investments_buy,Statement Download,app_0034,tablet,Firefox,Fortaleza,5g,1706,334,74,0.026719894575747843,628,521,305,11,47,14,112,438,149,3266,0,1,0,back_forward
2025-10-27 10:01:00.233203,sess_00000973,trace_000000003908,span_page_000000000037,user_006602,/bills/list,bills_list,Account Opening,app_0013,mobile,Chrome,Fortaleza,wifi,2290,128,441,0.14937948786756128,798,100,362,9,51,53,313,180,119,2220,0,1,0,reload
