session_id,user_id,session_start,session_end,session_duration_minutes,page_view_count,interaction_count,error_count,workflow_completed,workflow_name,final_page_url,device_type,browser,region,customer_segment,conversion_occurred
sess_00000000,user_008440,2025-10-11 16:06:00.160420,2025-10-11 16:14:00.380037,8.003660275547091,12,10,0,False,Bill Payment,/cards/activate,mobile,Chrome,Manaus,youth,True
sess_00000001,user_003408,2025-10-11 16:21:00.160420,2025-10-11 16:23:55.740880,2.926341000064562,4,9,0,True,Profile Update,/pix/confirm,desktop,Edge,Manaus,corporate,True
sess_00000002,user_006540,2025-10-11 16:36:00.160420,2025-10-11 16:37:50.608205,1.840796410029425,1,12,0,True,Account Opening,/profile/edit,mobile,Chrome,Curitiba,premium,True
sess_00000003,user_012145,2025-10-11 16:51:00.160420,2025-10-11 16:55:42.638207,4.707963118327086,6,16,1,True,Profile Update,/bills/list,mobile,Samsung Internet,Manaus,corporate,False
sess_00000004,user_001587,2025-10-11 17:06:00.160420,2025-10-11 17:16:05.375066,10.086910770341413,2,13,0,True,Investment Purchase,/cards/activate,desktop,Chrome,Porto Alegre,retail,True
sess_00000005,user_009939,2025-10-11 17:21:00.160420,2025-10-11 17:25:08.039678,4.1313209630831755,6,14,0,True,Investment Purchase,/investments/buy,mobile,Safari,Salvador,corporate,False
sess_00000006,user_006628,2025-10-11 17:36:00.160420,2025-10-11 17:36:39.521921,0.6560250224993245,10,8,0,False,PIX Transfer,/bills/pay,tablet,Safari,Brasília,premium,False
sess_00000007,user_010007,2025-10-11 17:51:00.160420,2025-10-11 17:52:58.607449,1.9741171454689679,5,16,0,True,Login Flow,/account/documents,mobile,Chrome,São Paulo,premium,True
sess_00000008,user_011818,2025-10-11 18:06:00.160420,2025-10-11 18:20:35.643560,14.59138567280219,7,9,0,True,Investment Purchase,/profile/edit,mobile,Safari,São Paulo,retail,True
sess_00000009,user_012393,2025-10-11 18:21:00.160420,2025-10-11 18:32:28.659381,11.474982686006491,8,14,1,False,Investment Purchase,/loans/status,mobile,Safari,Fortaleza,retail,False
sess_00000010,user_007919,2025-10-11 18:36:00.160420,2025-10-11 18:36:55.424470,0.9210675011721372,7,10,0,False,Profile Update,/profile/edit,mobile,Chrome,São Paulo,senior,True
sess_00000011,user_005014,2025-10-11 18:51:00.160420,2025-10-11 18:57:29.301974,6.485692572984003,5,10,0,False,Login Flow,/pix/transfer,desktop,Safari,Salvador,retail,True
sess_00000012,user_000716,2025-10-11 19:06:00.160420,2025-10-11 19:17:28.304715,11.469071591233364,3,17,0,False,Loan Application,/bills/pay,mobile,Safari,Salvador,retail,True
