metric_id,@timestamp,host_id,application_id,benchmark_id,system.cpu.total.pct,system.memory.used.pct,system.diskio.read.bytes,system.diskio.write.bytes,system.diskio.io.time,system.network.in.bytes,system.network.out.bytes,transaction.duration.us,event.outcome,transactions_per_second,cost_per_hour_usd,power_consumption_watts,workload_type,test_phase,anomaly_notes
metric-0000000,2025-10-28 03:14:12.390374,host-00024,app-0007,bench-019,73.53,77.45,428524257,24837042,5254,57956051,33730001,7545,success,1820.74,0.972,128.53,Batch,Baseline,Elevated transaction latency correlates with disk I/O contention
metric-0000001,2025-10-28 03:19:12.390374,host-00096,app-0087,bench-074,59.35,81.07,780587072,84019136,3778,41302813,68314037,7715,success,4298.43,1.331,106.75,API,Soak-Test,None
metric-0000002,2025-10-28 03:24:12.390374,host-00169,app-0083,bench-013,62.01,44.39,823383566,881082418,614,64707960,51820637,68564,success,2901.39,1.018,141.07,OLAP,Migration-Validation,Memory pressure observed - 44.39% utilization exceeds threshold
metric-0000003,2025-10-28 03:29:12.390374,host-00073,app-0113,bench-015,78.96,77.45,268010882,123715523,1092,11515634,98188576,95451,success,2909.06,1.387,189.37,OLTP,Load-Test,None
metric-0000004,2025-10-28 03:34:12.390374,host-00048,app-0023,bench-067,87.18,61.68,65774345,921554119,7466,32248738,85365256,74867,success,2493.96,0.693,274.58,Streaming,Migration-Validation,None
metric-0000005,2025-10-28 03:39:12.390374,host-00182,app-0041,bench-007,47.86,43.54,182001738,897572157,9822,57596065,80578041,48384,success,1991.59,0.818,91.69,Batch,Soak-Test,Memory pressure observed - 43.54% utilization exceeds threshold
metric-0000006,2025-10-28 03:44:12.390374,host-00147,app-0138,bench-076,40.9,74.29,755645987,690362811,8148,54974800,43330393,367500,failure,35.09,1.202,100.38,Batch,Stress-Test,Network throughput degradation during peak load testing
metric-0000007,2025-10-28 03:49:12.390374,host-00066,app-0011,bench-040,69.31,59.83,616591627,528549100,656,33497358,94597477,30659,success,4361.97,0.563,150.87,Streaming,Stress-Test,None
metric-0000008,2025-10-28 03:54:12.390374,host-00067,app-0122,bench-026,49.61,76.81,19005384,260778377,8653,50671623,95971860,6661,success,1334.19,1.306,129.53,Batch,Baseline,None
metric-0000009,2025-10-28 03:59:12.390374,host-00022,app-0150,bench-057,72.78,74.66,513866655,850332280,7159,8889336,92484253,18326,success,4729.35,1.069,118.71,OLAP,Migration-Validation,None
metric-0000010,2025-10-28 04:04:12.390374,host-00011,app-0126,bench-022,82.5,49.2,47881321,905727688,1746,75573692,90749296,11914,success,4260.25,0.788,249.7,OLTP,Production,None
metric-0000011,2025-10-28 04:09:12.390374,host-00019,app-0149,bench-010,47.35,79.12,669481302,291156089,1216,75438767,98292407,67859,success,3761.72,1.202,79.65,OLTP,Production,CPU spike detected on host-00019 during Production phase
