kafka_metric_id,@timestamp,host_id,topic_name,consumer_group,consumer_lag,message_throughput_per_sec,topic_size_bytes,partition_count,broker_cpu_pct,broker_network_in_mb,broker_network_out_mb
kafka-0000000,2025-10-28 03:19:12.390374,host-00138,market-data,trading-app,83356,24732.72,247100948363,64,58.11,734.48,528.49
kafka-0000001,2025-10-28 03:29:12.390374,host-00126,payments,reporting,40807,12876.8,904393991210,16,26.23,982.19,882.97
kafka-0000002,2025-10-28 03:39:12.390374,host-00172,market-data,analytics,96238,39475.89,958959291853,64,22.5,667.58,829.29
kafka-0000003,2025-10-28 03:49:12.390374,host-00099,trades,risk-engine,84060,6492.89,533996389987,16,23.77,98.3,946.88
kafka-0000004,2025-10-28 03:59:12.390374,host-00073,market-data,risk-engine,19757,8985.11,655806766212,64,44.15,489.99,887.97
kafka-0000005,2025-10-28 04:09:12.390374,host-00078,risk-events,analytics,13876,34071.65,407568933776,8,38.87,359.72,34.0
kafka-0000006,2025-10-28 04:19:12.390374,host-00199,audit-logs,reporting,21488,13656.87,677756022242,16,44.07,288.86,677.41
kafka-0000007,2025-10-28 04:29:12.390374,host-00190,payments,analytics,8777,45222.59,912305043243,64,76.83,206.63,846.92
kafka-0000008,2025-10-28 04:39:12.390374,host-00085,payments,risk-engine,75537,32464.17,89601126595,64,64.79,163.77,205.57
kafka-0000009,2025-10-28 04:49:12.390374,host-00041,payments,analytics,70222,29879.67,906500613366,32,60.14,888.99,892.9
kafka-0000010,2025-10-28 04:59:12.390374,host-00083,payments,audit-processor,54140,38096.2,298895913400,32,26.75,489.66,961.9
kafka-0000011,2025-10-28 05:09:12.390374,host-00103,payments,trading-app,25715,41504.93,389265006385,8,45.01,615.74,192.09
kafka-0000012,2025-10-28 05:19:12.390374,host-00187,market-data,trading-app,88576,10038.22,689039965646,8,75.18,168.51,860.42
kafka-0000013,2025-10-28 05:29:12.390374,host-00080,customer-events,analytics,37474,47304.96,742774150024,8,72.42,836.58,61.24
kafka-0000014,2025-10-28 05:39:12.390374,host-00103,market-data,audit-processor,67278,43041.11,550186504826,32,56.81,90.29,665.1
kafka-0000015,2025-10-28 05:49:12.390374,host-00046,risk-events,risk-engine,87098,29754.0,166777795116,16,54.54,105.17,446.87
kafka-0000016,2025-10-28 05:59:12.390374,host-00028,risk-events,analytics,12851,24612.56,470450698914,64,62.52,277.98,711.97
kafka-0000017,2025-10-28 06:09:12.390374,host-00061,payments,reporting,78811,40227.63,595235636997,32,71.78,844.31,974.66
kafka-0000018,2025-10-28 06:19:12.390374,host-00062,audit-logs,reporting,20959,13203.94,985154254232,64,40.39,724.48,609.13
kafka-0000019,2025-10-28 06:29:12.390374,host-00096,payments,analytics,22549,35546.28,149904282423,64,21.51,650.65,861.79
kafka-0000020,2025-10-28 06:39:12.390374,host-00034,payments,trading-app,98079,19235.74,20071885689,64,35.63,704.4,306.29
kafka-0000021,2025-10-28 06:49:12.390374,host-00023,customer-events,reporting,16982,46396.16,226909469133,64,30.28,787.72,603.76
kafka-0000022,2025-10-28 06:59:12.390374,host-00088,market-data,trading-app,10847,45161.41,749226309289,64,43.87,841.29,720.76
kafka-0000023,2025-10-28 07:09:12.390374,host-00033,trades,analytics,68602,6208.67,538182070138,8,76.78,728.15,396.4
kafka-0000024,2025-10-28 07:19:12.390374,host-00001,audit-logs,trading-app,48903,33746.82,213498042103,32,49.18,409.53,275.29
kafka-0000025,2025-10-28 07:29:12.390374,host-00195,market-data,reporting,64449,47102.71,328514513518,32,24.93,787.24,983.35
kafka-0000026,2025-10-28 07:39:12.390374,host-00155,payments,reporting,41242,22379.04,538850431706,32,65.52,578.95,658.37
kafka-0000027,2025-10-28 07:49:12.390374,host-00135,trades,audit-processor,52696,23304.81,247893291983,8,74.22,510.61,111.33
kafka-0000028,2025-10-28 07:59:12.390374,host-00058,risk-events,reporting,34656,39817.43,831653866048,64,45.6,57.63,775.16
kafka-0000029,2025-10-28 08:09:12.390374,host-00123,trades,audit-processor,78417,18600.83,607926938439,8,39.19,28.52,863.21
kafka-0000030,2025-10-28 08:19:12.390374,host-00027,trades,analytics,74583,28700.56,406892286858,64,68.93,641.69,386.41
kafka-0000031,2025-10-28 08:29:12.390374,host-00141,audit-logs,trading-app,8464,15315.45,345660326765,64,20.35,532.33,450.32
kafka-0000032,2025-10-28 08:39:12.390374,host-00114,market-data,analytics,62272,7822.61,238591465763,64,41.39,337.5,900.82
kafka-0000033,2025-10-28 08:49:12.390374,host-00174,risk-events,trading-app,44743,15178.62,419695912518,32,21.23,111.49,470.26
kafka-0000034,2025-10-28 08:59:12.390374,host-00012,market-data,reporting,23779,49713.29,391059537733,16,57.69,823.68,129.07
kafka-0000035,2025-10-28 09:09:12.390374,host-00062,payments,audit-processor,14787,28334.06,631327432243,16,48.1,969.75,740.69
kafka-0000036,2025-10-28 09:19:12.390374,host-00140,trades,analytics,33200,43065.56,996700327239,16,71.76,894.82,860.73
kafka-0000037,2025-10-28 09:29:12.390374,host-00152,audit-logs,reporting,89222,4664.68,633253372558,16,48.9,387.71,30.09
kafka-0000038,2025-10-28 09:39:12.390374,host-00037,market-data,audit-processor,329,14101.86,244858799017,16,66.89,218.55,58.16
kafka-0000039,2025-10-28 09:49:12.390374,host-00033,payments,risk-engine,84516,9184.72,877744123544,64,32.31,57.8,386.48
kafka-0000040,2025-10-28 09:59:12.390374,host-00155,trades,trading-app,23846,2521.86,8203933983,32,47.49,208.53,743.19
kafka-0000041,2025-10-28 10:09:12.390374,host-00086,audit-logs,risk-engine,43215,23438.87,930278487717,16,32.79,475.15,676.76
kafka-0000042,2025-10-28 10:19:12.390374,host-00157,audit-logs,reporting,31003,49065.8,87274787583,16,36.42,38.21,835.97
kafka-0000043,2025-10-28 10:29:12.390374,host-00136,payments,trading-app,69097,5640.68,788119932373,16,24.02,647.77,506.77
kafka-0000044,2025-10-28 10:39:12.390374,host-00187,payments,trading-app,21553,23757.04,638989351750,64,75.56,365.71,920.47
kafka-0000045,2025-10-28 10:49:12.390374,host-00014,customer-events,risk-engine,38112,3002.41,351321357666,64,27.69,554.39,282.32
kafka-0000046,2025-10-28 10:59:12.390374,host-00078,audit-logs,audit-processor,38509,14559.84,95036404125,16,65.3,495.37,537.16
kafka-0000047,2025-10-28 11:09:12.390374,host-00046,risk-events,reporting,63117,44015.98,943715488859,8,54.99,634.77,441.24
kafka-0000048,2025-10-28 11:19:12.390374,host-00155,trades,audit-processor,11923,40885.75,879286227865,32,34.05,890.81,439.49
