imsi,subscriber_id,plan_type,device_model,device_capability,subscriber_segment,lifetime_value,avg_monthly_usage_gb,activation_date,churn_risk_score,subscriber_behavior_profile
310260000000001,SUB-00000001,Essentials,Galaxy A54,LTE Cat 4,Value,6006.229871782799,79.82639254974666,2034-01-13 16:03:01.328249,0.6067545094595167,"Value subscriber with Galaxy A54 on Essentials plan, average 79.8GB monthly usage, social media focused"
310260000000002,SUB-00000002,Magenta Max,Pixel 8,5G Sub-6,Premium,14230.361820828672,19.131383555643392,2033-12-29 16:03:01.328249,0.7835511393694354,"Magenta Max customer using Pixel 8, Premium tier with high churn risk, typical usage 19.1GB/month"
310260000000003,SUB-00000003,Magenta Max,iPhone 15 Pro,LTE Advanced,Premium,12972.366987837067,125.52695263464464,2033-12-14 16:03:01.328249,0.07562031005754344,"Long-term Premium subscriber on Magenta Max, iPhone 15 Pro user with balanced usage pattern, 125.5GB average consumption"
310260000000004,SUB-00000004,Prepaid,iPhone 13,LTE Cat 4,MVNO,12617.766812044707,34.96495699259446,2033-11-29 16:03:01.328249,0.5168408629350267,"iPhone 13 user in MVNO segment, Prepaid plan with medium retention risk, 35.0GB monthly data"
310260000000005,SUB-00000005,Prepaid,OnePlus 11,LTE Advanced,Enterprise,10864.50663084864,110.50540990059883,2033-11-14 16:03:01.328249,0.6348140954541496,"Enterprise tier customer with OnePlus 11, Prepaid subscription, social media focused, averaging 110.5GB per month"
310260000000006,SUB-00000006,Magenta Max,Galaxy A54,5G mmWave,MVNO,12432.365492420984,93.12879629514276,2033-10-30 16:03:01.328249,0.5049398579060831,"MVNO subscriber with Galaxy A54 on Magenta Max plan, average 93.1GB monthly usage, social media focused"
310260000000007,SUB-00000007,Essentials,iPhone 14,LTE Cat 4,Standard,1376.5552535733993,37.445481618710296,2033-10-15 16:03:01.328249,0.13519379928673728,"Essentials customer using iPhone 14, Standard tier with low churn risk, typical usage 37.4GB/month"
310260000000008,SUB-00000008,Essentials,Galaxy A54,LTE Advanced,Premium,2051.6355652587977,125.25443193991593,2033-09-30 16:03:01.328249,0.1045885012772156,"Long-term Premium subscriber on Essentials, Galaxy A54 user with business data usage, 125.3GB average consumption"
310260000000009,SUB-00000009,Business Unlimited,iPhone 13,5G Sub-6,Value,12035.953412649631,81.1751253362578,2033-09-15 16:03:01.328249,0.08000990510810553,"iPhone 13 user in Value segment, Business Unlimited plan with low retention risk, 81.2GB monthly data"
310260000000010,SUB-00000010,Prepaid,iPhone 12,5G mmWave,Enterprise,916.1674130590078,141.09492746291045,2033-08-31 16:03:01.328249,0.31737949020969825,"Enterprise tier customer with iPhone 12, Prepaid subscription, balanced usage pattern, averaging 141.1GB per month"
310260000000011,SUB-00000011,Essentials,Pixel 8,5G Sub-6,MVNO,5546.936056066227,21.22973201920641,2033-08-16 16:03:01.328249,0.241009060952726,"MVNO subscriber with Pixel 8 on Essentials plan, average 21.2GB monthly usage, peak hour heavy user"
310260000000012,SUB-00000012,Unlimited Elite,Motorola Edge,5G mmWave,Standard,10685.738006641934,118.47820435293715,2033-08-01 16:03:01.328249,0.6292299217682955,"Unlimited Elite customer using Motorola Edge, Standard tier with high churn risk, typical usage 118.5GB/month"
310260000000013,SUB-00000013,Unlimited Elite,Motorola Edge,5G mmWave,Premium,6946.644988736741,136.35301289426798,2033-07-17 16:03:01.328249,0.3684722247369736,"Long-term Premium subscriber on Unlimited Elite, Motorola Edge user with social media focused, 136.4GB average consumption"
310260000000014,SUB-00000014,Magenta Max,Galaxy S23,5G Sub-6,Premium,11313.457918169248,65.72454695950051,2033-07-02 16:03:01.328249,0.584887175885905,"Galaxy S23 user in Premium segment, Magenta Max plan with medium retention risk, 65.7GB monthly data"
310260000000015,SUB-00000015,Essentials,Pixel 8,5G mmWave,Standard,12508.22524270465,107.42715654203018,2033-06-17 16:03:01.328249,0.7355048445776282,"Standard tier customer with Pixel 8, Essentials subscription, heavy video streaming, averaging 107.4GB per month"
310260000000016,SUB-00000016,Business Unlimited,Pixel 8,5G Sub-6,Premium,8894.361509681641,27.715372790991545,2033-06-02 16:03:01.328249,0.42736475178206657,"Premium subscriber with Pixel 8 on Business Unlimited plan, average 27.7GB monthly usage, balanced usage pattern"
310260000000017,SUB-00000017,Essentials,Samsung Galaxy S24,5G mmWave,MVNO,4848.610883532691,15.899094255616747,2033-05-18 16:03:01.328249,0.6661631042588793,"Essentials customer using Samsung Galaxy S24, MVNO tier with high churn risk, typical usage 15.9GB/month"
310260000000018,SUB-00000018,Essentials,Galaxy S23,5G Sub-6,Enterprise,4011.9211439973774,116.96481597074335,2033-05-03 16:03:01.328249,0.604227883701884,"Long-term Enterprise subscriber on Essentials, Galaxy S23 user with balanced usage pattern, 117.0GB average consumption"
310260000000019,SUB-00000019,Unlimited Elite,Pixel 8,5G Sub-6,Enterprise,14980.151190974262,42.98842066950444,2033-04-18 16:03:01.328249,0.8288549497598301,"Pixel 8 user in Enterprise segment, Unlimited Elite plan with high retention risk, 43.0GB monthly data"
310260000000020,SUB-00000020,Unlimited Elite,Pixel 8,5G mmWave,Value,13921.858834694169,138.80507565215282,2033-04-03 16:03:01.328249,0.5915238916255987,"Value tier customer with Pixel 8, Unlimited Elite subscription, peak hour heavy user, averaging 138.8GB per month"
310260000000021,SUB-00000021,Prepaid,iPhone 15 Pro,5G Sub-6,Standard,12547.715927308205,70.86521233398079,2033-03-19 16:03:01.328249,0.36513854943057245,"Standard subscriber with iPhone 15 Pro on Prepaid plan, average 70.9GB monthly usage, balanced usage pattern"
310260000000022,SUB-00000022,Magenta Max,Galaxy A54,LTE Cat 4,MVNO,560.8151593640318,57.334789528304505,2033-03-04 16:03:01.328249,0.5796852980078319,"Magenta Max customer using Galaxy A54, MVNO tier with medium churn risk, typical usage 57.3GB/month"
310260000000023,SUB-00000023,Prepaid,Galaxy A54,5G Sub-6,Value,9082.787665622858,93.26973889635107,2033-02-17 16:03:01.328249,0.7109666585887113,"Long-term Value subscriber on Prepaid, Galaxy A54 user with social media focused, 93.3GB average consumption"
310260000000024,SUB-00000024,Magenta Max,iPhone 12,5G Sub-6,Standard,3565.9786302295233,123.35963639265734,2033-02-02 16:03:01.328249,0.40027466961435115,"iPhone 12 user in Standard segment, Magenta Max plan with medium retention risk, 123.4GB monthly data"
310260000000025,SUB-00000025,Unlimited Elite,iPhone 14,5G Sub-6,Standard,2065.6575774760786,111.62027343367856,2033-01-18 16:03:01.328249,0.6516307838364099,"Standard tier customer with iPhone 14, Unlimited Elite subscription, business data usage, averaging 111.6GB per month"
310260000000026,SUB-00000026,Business Unlimited,Pixel 8,5G Sub-6,Standard,14528.866627119738,88.16829410274529,2033-01-03 16:03:01.328249,0.7357139767082888,"Standard subscriber with Pixel 8 on Business Unlimited plan, average 88.2GB monthly usage, balanced usage pattern"
