vendor,equipment_model,technology,software_version,baseline_prb_utilization,baseline_connection_success_rate,known_issues,optimization_recommendations
Ericsson,Ericsson-LTE-1,LTE,v10.6.10,51.60218404793257,99.08759096058381,Software version compatibility issues with legacy core network elements for Ericsson LTE,Configure dynamic spectrum sharing parameters for LTE efficiency on Ericsson equipment
Ericsson,Ericsson-LTE-2,LTE,v5.8.12,60.063317167151126,97.29249926097148,Software version compatibility issues with legacy core network elements for Ericsson LTE,Implement carrier aggregation tuning for Ericsson LTE to optimize throughput
Ericsson,Ericsson-LTE-3,LTE,v11.8.13,46.83412585523709,98.60830026905695,Ericsson LTE RAN showing elevated signaling load during mass attach events,Configure dynamic spectrum sharing parameters for LTE efficiency on Ericsson equipment
Ericsson,Ericsson-5G-1,5G NR,v7.5.1,51.22942291907227,97.88873223209656,Ericsson 5G NR equipment experiencing intermittent handover failures in high-mobility scenarios,Adjust PRB allocation algorithm parameters for better load balancing on Ericsson 5G NR cells
Ericsson,Ericsson-5G-2,5G NR,v6.0.9,55.65006607198002,97.21076738105708,Ericsson 5G NR equipment experiencing intermittent handover failures in high-mobility scenarios,Configure dynamic spectrum sharing parameters for 5G NR efficiency on Ericsson equipment
Ericsson,Ericsson-5G-3,5G NR,v7.6.6,48.3136486462569,97.16204200052809,Ericsson 5G NR RAN showing elevated signaling load during mass attach events,Implement carrier aggregation tuning for Ericsson 5G NR to optimize throughput
Ericsson,Ericsson-LTE-A-1,LTE,v11.5.12,43.09441603738493,99.24249057578454,LTE carrier aggregation instability during peak traffic periods on Ericsson equipment,Upgrade Ericsson LTE software to latest patch release for improved handover performance
Ericsson,Ericsson-LTE-A-2,LTE,v6.0.1,63.39038008231112,97.12257453586814,Ericsson LTE equipment experiencing intermittent handover failures in high-mobility scenarios,Upgrade Ericsson LTE software to latest patch release for improved handover performance
Ericsson,Ericsson-LTE-A-3,LTE,v8.8.14,55.541466347528186,98.78466266906217,Ericsson LTE equipment experiencing intermittent handover failures in high-mobility scenarios,Upgrade Ericsson LTE software to latest patch release for improved handover performance
Nokia,Nokia-LTE-1,LTE,v6.0.4,54.00010558136715,97.752715414618,Software version compatibility issues with legacy core network elements for Nokia LTE,Enable advanced interference mitigation features for LTE deployments in dense areas
