metric_id,@timestamp,network.cell.id,network.cell.prb_utilization_dl_pct,network.cell.prb_utilization_ul_pct,kpi.call_drop_rate,kpi.call_success_rate,network.procedure.success_rate,network.handover.success_rate,network.rrc.connection_success_rate,network.cell.active_subscribers,network.transport.latency_ms,network.transport.packet_loss_pct,capacity.busy_hour.prb_utilization_p95,network.cell.availability_pct
MET-0000000001,2025-11-05 02:04:00.424718,CELL-00143,65.3,73.16,3.341,95.33,95.2,97.49,95.15,116,17.93,1.648,85.74,99.274
MET-0000000002,2025-11-05 02:09:00.424718,CELL-00114,51.33,43.92,1.36,96.18,96.83,96.54,95.41,363,34.84,1.151,63.67,99.311
MET-0000000003,2025-11-05 02:14:00.424718,CELL-00011,52.75,31.77,2.001,98.94,97.64,92.06,98.2,272,40.19,0.834,88.24,99.274
MET-0000000004,2025-11-05 02:19:00.424718,CELL-00022,94.04,15.86,1.671,98.23,94.08,94.16,98.71,652,18.79,1.759,85.63,99.16
MET-0000000005,2025-11-05 02:24:00.424718,CELL-00067,36.73,58.37,2.086,97.75,96.2,94.59,99.56,493,13.25,1.505,61.81,99.78
MET-0000000006,2025-11-05 02:29:00.424718,CELL-00133,52.8,28.57,1.779,99.5,94.36,98.58,95.53,455,36.14,0.863,92.6,99.562
MET-0000000007,2025-11-05 02:34:00.424718,CELL-00124,39.47,36.75,1.517,98.53,99.48,97.86,98.48,95,17.92,1.735,60.98,99.046
MET-0000000008,2025-11-05 02:39:00.424718,CELL-00075,32.86,76.99,1.797,99.73,95.39,96.99,98.38,171,47.96,1.872,97.39,99.437
MET-0000000009,2025-11-05 02:44:00.424718,CELL-00066,85.15,32.46,2.317,96.78,97.82,98.38,95.76,273,20.97,1.369,87.41,99.949
MET-0000000010,2025-11-05 02:49:00.424718,CELL-00107,89.15,57.48,1.825,98.34,97.87,98.93,95.88,451,15.69,1.81,77.69,99.388
MET-0000000011,2025-11-05 02:54:00.424718,CELL-00014,87.11,70.15,2.052,95.77,97.82,93.64,97.27,383,22.66,0.908,68.53,99.492
MET-0000000012,2025-11-05 02:59:00.424718,CELL-00089,23.91,30.74,0.42,96.7,94.8,93.47,98.64,102,40.69,0.025,79.87,99.123
MET-0000000013,2025-11-05 03:04:00.424718,CELL-00021,80.98,53.53,2.976,97.07,98.92,98.94,96.66,415,39.28,0.775,62.5,99.303
