incident.id,@timestamp,incident.detection_time,incident.resolution_time,incident.mttr_minutes,incident.mttd_minutes,incident.severity,incident.type,network.cell.id,network.region.id,incident.root_cause,incident.affected_subscribers,incident.description,incident.resolution_notes
INC-000001,2025-12-08 08:39:00.425816,2025-12-08 08:39:00.425816,2025-12-08 11:30:00.425816,189.9,13.6,Medium,Cell Outage,CELL-00076,REGION-12,Power Issue,1339,"Incident Cell Outage detected at cell CELL-00076, Medium level, 1339 subscribers affected, cause: Power Issue",Issue resolved: capacity expansion. Cause identified as Power Issue. Total resolution time 189.9 minutes
INC-000002,2025-12-08 00:39:00.425816,2025-12-08 00:39:00.425816,2025-12-08 02:11:00.425816,81.6,20.9,Critical,Core Network,CELL-00076,REGION-06,Backhaul Congestion,201,"Core Network incident on cell CELL-00076, severity Critical, affecting 201 subscribers, root cause: Backhaul Congestion","Backhaul Congestion addressed through configuration rollback. Detection time: 20.9min, resolution time: 81.6min"
INC-000003,2025-12-07 16:39:00.425816,2025-12-07 16:39:00.425816,2025-12-07 18:31:00.425816,214.6,3.2,Medium,Handover Failure,CELL-00107,REGION-05,Transport Degradation,964,"Incident Handover Failure detected at cell CELL-00107, Medium level, 964 subscribers affected, cause: Transport Degradation","Resolved by transport rerouting. MTTR: 214.6min, MTTD: 3.2min. Root cause: Transport Degradation"
INC-000004,2025-12-07 08:39:00.425816,2025-12-07 08:39:00.425816,2025-12-07 08:55:00.425816,153.0,19.1,High,Core Network,CELL-00023,REGION-03,Hardware Failure,1241,"High severity Core Network at CELL-00023, 1241 users impacted, identified cause: Hardware Failure",Issue resolved: hardware replacement. Cause identified as Hardware Failure. Total resolution time 153.0 minutes
INC-000005,2025-12-07 00:39:00.425816,2025-12-07 00:39:00.425816,2025-12-07 04:01:00.425816,98.8,12.5,High,Capacity Congestion,CELL-00038,REGION-15,Transport Degradation,251,"High severity Capacity Congestion at CELL-00038, 251 users impacted, identified cause: Transport Degradation","Resolved by configuration rollback. MTTR: 98.8min, MTTD: 12.5min. Root cause: Transport Degradation"
INC-000006,2025-12-06 16:39:00.425816,2025-12-06 16:39:00.425816,2025-12-06 18:48:00.425816,174.2,31.6,High,Handover Failure,CELL-00053,REGION-01,Capacity Limit,1358,"High severity Handover Failure at CELL-00053, 1358 users impacted, identified cause: Capacity Limit",Issue resolved: configuration rollback. Cause identified as Capacity Limit. Total resolution time 174.2 minutes
INC-000007,2025-12-06 08:39:00.425816,2025-12-06 08:39:00.425816,2025-12-06 11:25:00.425816,77.1,12.0,Medium,Cell Outage,CELL-00098,REGION-09,Configuration Error,879,"Incident Cell Outage detected at cell CELL-00098, Medium level, 879 subscribers affected, cause: Configuration Error","Resolved by configuration rollback. MTTR: 77.1min, MTTD: 12.0min. Root cause: Configuration Error"
INC-000008,2025-12-06 00:39:00.425816,2025-12-06 00:39:00.425816,2025-12-06 03:45:00.425816,60.1,23.4,Critical,Degraded Performance,CELL-00016,REGION-08,Capacity Limit,474,"Degraded Performance incident on cell CELL-00016, severity Critical, affecting 474 subscribers, root cause: Capacity Limit","Resolved by hardware replacement. MTTR: 60.1min, MTTD: 23.4min. Root cause: Capacity Limit"
INC-000009,2025-12-05 16:39:00.425816,2025-12-05 16:39:00.425816,2025-12-05 20:23:00.425816,17.5,32.8,Critical,Transport Issue,CELL-00120,REGION-10,Power Issue,956,"Critical severity Transport Issue at CELL-00120, 956 users impacted, identified cause: Power Issue","Power Issue addressed through software patch. Detection time: 32.8min, resolution time: 17.5min"
INC-000010,2025-12-05 08:39:00.425816,2025-12-05 08:39:00.425816,2025-12-05 10:20:00.425816,165.9,44.1,Medium,Core Network,CELL-00123,REGION-14,Transport Degradation,175,"Core Network incident on cell CELL-00123, severity Medium, affecting 175 subscribers, root cause: Transport Degradation","Resolved by equipment restart. MTTR: 165.9min, MTTD: 44.1min. Root cause: Transport Degradation"
