event_id,@timestamp,network.cell.id,network.procedure.type,network.procedure.result_code,network.procedure.success,network.procedure.duration_ms,subscriber.imsi,network.radio.rsrp_dbm,network.radio.rsrq_db,network.radio.sinr_db,network.handover.source_cell,network.handover.target_cell,network.handover.success,network.rrc.connection_result,network.vendor.name,network.technology,network.region.id,event.description
EVT-0000000001,2025-11-10 23:39:30.370058,CELL-00132,BEARER_MODIFY,SUCCESS,True,494.7,310260488661282,-86.7,-8.7,-3.0,None,None,None,SUCCESS,Ericsson,LTE-A,REGION-03,"BEARER_MODIFY SUCCESS on LTE-A cell CELL-00132, took 494.7ms, signal strength -86.7dBm"
EVT-0000000002,2025-11-10 23:40:00.370058,CELL-00009,DETACH,SUCCESS,True,332.8,310260803049058,-115.5,-10.4,0.9,None,None,True,ESTABLISHED,Samsung,LTE-A,REGION-13,"DETACH SUCCESS on LTE-A cell CELL-00009, took 332.8ms, signal strength -115.5dBm"
EVT-0000000003,2025-11-10 23:40:30.370058,CELL-00128,PAGING_RESPONSE,SUCCESS,False,335.2,310260734771047,-113.8,-13.8,0.3,None,CELL-00043,None,ESTABLISHED,Nokia,LTE-A,REGION-01,"Signaling event: PAGING_RESPONSE SUCCESS at CELL-00128, 335.2ms, radio quality RSRP=-113.8 SINR=0.3"
EVT-0000000004,2025-11-10 23:41:00.370058,CELL-00040,DETACH,SUCCESS,True,430.3,310260396870396,-116.0,-9.0,3.4,CELL-00107,CELL-00092,None,SUCCESS,Samsung,LTE-A,REGION-14,"DETACH procedure on cell CELL-00040, result SUCCESS, duration 430.3ms, RSRP -116.0dBm"
EVT-0000000005,2025-11-10 23:41:30.370058,CELL-00006,SERVICE_REQUEST,SUCCESS,False,149.5,310260531515367,-116.4,-18.3,24.0,None,CELL-00052,None,TIMEOUT,Nokia,5G NR,REGION-04,"Signaling event: SERVICE_REQUEST SUCCESS at CELL-00006, 149.5ms, radio quality RSRP=-116.4 SINR=24.0"
EVT-0000000006,2025-11-10 23:42:00.370058,CELL-00145,SERVICE_REQUEST,SUCCESS,True,182.5,310260172672274,-98.2,-17.9,20.6,None,None,True,ESTABLISHED,Nokia,LTE-A,REGION-02,"SERVICE_REQUEST procedure on cell CELL-00145, result SUCCESS, duration 182.5ms, RSRP -98.2dBm"
EVT-0000000007,2025-11-10 23:42:30.370058,CELL-00045,BEARER_MODIFY,SUCCESS,True,262.5,310260706438048,-99.9,-7.4,7.8,None,None,None,ESTABLISHED,Ericsson,LTE-A,REGION-04,"BEARER_MODIFY procedure on cell CELL-00045, result SUCCESS, duration 262.5ms, RSRP -99.9dBm"
EVT-0000000008,2025-11-10 23:43:00.370058,CELL-00134,BEARER_MODIFY,SUCCESS,True,886.4,310260396870396,-104.4,-12.6,18.1,None,None,False,ESTABLISHED,Ericsson,5G NR,REGION-11,"BEARER_MODIFY SUCCESS on 5G NR cell CELL-00134, took 886.4ms, signal strength -104.4dBm"
EVT-0000000009,2025-11-10 23:43:30.370058,CELL-00145,PAGING_RESPONSE,TIMEOUT,True,239.0,310260415083697,-98.1,-14.8,17.8,None,None,None,ESTABLISHED,Samsung,5G NR,REGION-05,"Signaling event: PAGING_RESPONSE TIMEOUT at CELL-00145, 239.0ms, radio quality RSRP=-98.1 SINR=17.8"
EVT-0000000010,2025-11-10 23:44:00.370058,CELL-00069,ATTACH,TIMEOUT,True,270.3,310260858842557,-96.2,-16.0,3.1,None,None,True,ESTABLISHED,Nokia,5G NR,REGION-04,"ATTACH procedure on cell CELL-00069, result TIMEOUT, duration 270.3ms, RSRP -96.2dBm"
