cell_id,enb_id,cell_name,site_id,latitude,longitude,region,market,technology,frequency_band,capacity_rating,neighbor_cells,tower_status
CELL_00001,eNB_0011,Site_8949_Sector_1,SITE_0047,45.805647590195974,-99.67220372952569,Southwest,Suburban,LTE,n71 (600MHz),High,"CELL_01027,CELL_00072,CELL_00686,CELL_01349,CELL_01222,CELL_00079,CELL_00683,CELL_00563",Active
CELL_00002,eNB_0186,Site_1339_Sector_2,SITE_0509,35.99679021462622,-113.6742660252344,Southeast,Highway,5G NSA,n41 (2.5GHz),Medium,"CELL_01015,CELL_00191,CELL_00435,CELL_01473,CELL_00803,CELL_01138",Active
CELL_00003,eNB_0086,Site_8207_Sector_3,SITE_0537,47.343117873590735,-108.1533129671963,Pacific,Dense Urban,5G SA,n41 (2.5GHz),Very High,"CELL_00012,CELL_00589,CELL_00025,CELL_01168,CELL_00583,CELL_00934,CELL_00594",Active
CELL_00004,eNB_0147,Site_7898_Sector_1,SITE_0293,42.76972746080157,-73.2498799450056,Pacific,Highway,5G NSA,n71 (600MHz),High,"CELL_01034,CELL_00273,CELL_00370,CELL_00919,CELL_00495,CELL_01489,CELL_00731,CELL_01379",Active
CELL_00005,eNB_0140,Site_4892_Sector_3,SITE_0341,43.45262615242565,-104.21998668846071,Northeast,Rural,LTE,n41 (2.5GHz),High,"CELL_01476,CELL_01154,CELL_01308,CELL_01300,CELL_00225,CELL_00321",Active
CELL_00006,eNB_0150,Site_6191_Sector_3,SITE_0530,38.56018252816812,-110.75396594412005,Southeast,Dense Urban,LTE,Band 71 (600MHz),Very High,"CELL_00534,CELL_00482,CELL_00388",Active
CELL_00007,eNB_0185,Site_9335_Sector_1,SITE_0483,29.813174645104382,-121.5694388676643,Northeast,Urban,5G SA,Band 4 (AWS),Very High,"CELL_01127,CELL_00031,CELL_01106,CELL_00359,CELL_00443,CELL_00203,CELL_01495",Active
CELL_00008,eNB_0053,Site_5188_Sector_3,SITE_0401,40.1977981348311,-94.69520555615921,Northeast,Urban,LTE,n41 (2.5GHz),Medium,"CELL_00796,CELL_00116,CELL_00440",Active
CELL_00009,eNB_0182,Site_9759_Sector_3,SITE_0528,47.02992265785341,-78.47367462901916,Northeast,Urban,LTE,Band 2 (1900MHz),High,"CELL_00146,CELL_00109,CELL_00505,CELL_00910",Active
CELL_00010,eNB_0102,Site_9371_Sector_3,SITE_0018,35.14063234385903,-83.76792061384216,Pacific,Rural,LTE,n71 (600MHz),Medium,"CELL_00935,CELL_00576,CELL_00487,CELL_00660,CELL_01087,CELL_01123,CELL_00882",Active
CELL_00011,eNB_0200,Site_2158_Sector_1,SITE_0431,39.13989225610121,-87.74518026355342,Pacific,Rural,LTE,Band 4 (AWS),High,"CELL_00416,CELL_00930,CELL_00821,CELL_01428,CELL_00960,CELL_00585",Active
CELL_00012,eNB_0015,Site_2859_Sector_1,SITE_0204,28.155173459544926,-100.19453642835026,Southeast,Suburban,5G NSA,Band 2 (1900MHz),Medium,"CELL_00508,CELL_00880,CELL_01009,CELL_01288",Active
