cell_id,cell_name,tower_location,region,equipment_type,capacity,installation_date,maintenance_status,neighbor_cells,tower_description
CELL-0001,Tower CELL-0001,"46.176076,-93.287873",Midwest,Huawei BTS3900,5000,2017-03-25 16:47:55.590696,Active,"CELL-0048,CELL-0037,CELL-0056,CELL-0016,CELL-0034",Enterprise campus cell site with dedicated capacity allocation
CELL-0002,Tower CELL-0002,"35.421259,-90.592645",Northwest,Samsung 5G RAN,2000,2019-06-12 16:47:55.590731,Optimal,"CELL-0063,CELL-0093,CELL-0023,CELL-0027,CELL-0037",Small cell deployment in shopping mall with indoor DAS integration
CELL-0003,Tower CELL-0003,"44.192228,-97.61544",Midwest,Nokia AirScale,3000,2022-12-07 16:47:55.590759,Active,"CELL-0045,CELL-0071,CELL-0091",Rural tower providing extended range coverage for interstate corridor
CELL-0004,Tower CELL-0004,"27.463224,-71.353562",West,Ericsson RBS,5000,2019-09-11 16:47:55.590777,Degraded,"CELL-0042,CELL-0008,CELL-0032,CELL-0081",Coastal tower with marine coverage and tourist area support
CELL-0005,Tower CELL-0005,"43.488473,-72.207661",Northwest,Nokia AirScale,3000,2022-02-15 16:47:55.590793,Optimal,"CELL-0048,CELL-0098,CELL-0057,CELL-0069,CELL-0080",Coastal tower with marine coverage and tourist area support
CELL-0006,Tower CELL-0006,"40.156394,-107.433507",Midwest,Samsung 5G RAN,5000,2017-05-18 16:47:55.590811,Active,"CELL-0093,CELL-0039,CELL-0038,CELL-0056,CELL-0063",Enterprise campus cell site with dedicated capacity allocation
CELL-0007,Tower CELL-0007,"33.54157,-107.481399",West,Nokia AirScale,2000,2021-03-17 16:47:55.590827,Degraded,"CELL-0040,CELL-0043,CELL-0080",Coastal tower with marine coverage and tourist area support
CELL-0008,Tower CELL-0008,"33.456801,-109.486925",Southeast,Samsung 5G RAN,500,2018-02-07 16:47:55.590841,Active,"CELL-0019,CELL-0054,CELL-0005",Coastal tower with marine coverage and tourist area support
CELL-0009,Tower CELL-0009,"46.360098,-118.814197",Southwest,Ericsson RBS,5000,2022-12-07 16:47:55.590857,Maintenance,"CELL-0033,CELL-0086,CELL-0062,CELL-0021,CELL-0020",Enterprise campus cell site with dedicated capacity allocation
CELL-0010,Tower CELL-0010,"38.058476,-117.052122",Northeast,Huawei BTS3900,5000,2019-08-22 16:47:55.590873,Degraded,"CELL-0042,CELL-0004,CELL-0022,CELL-0066,CELL-0046",Suburban cell site with residential coverage and highway access
CELL-0011,Tower CELL-0011,"36.027084,-93.527918",West,Samsung 5G RAN,5000,2018-04-21 16:47:55.590888,Degraded,"CELL-0098,CELL-0031,CELL-0016,CELL-0004,CELL-0092",Rural tower providing extended range coverage for interstate corridor
CELL-0012,Tower CELL-0012,"43.170832,-107.956244",Southwest,Ericsson RBS,3000,2017-03-21 16:47:55.590904,Active,"CELL-0095,CELL-0091,CELL-0090,CELL-0068,CELL-0099",Small cell deployment in shopping mall with indoor DAS integration
CELL-0013,Tower CELL-0013,"38.018294,-123.14398",West,Nokia AirScale,2000,2021-03-21 16:47:55.590918,Optimal,"CELL-0080,CELL-0031,CELL-0036,CELL-0059",Rural tower providing extended range coverage for interstate corridor
CELL-0014,Tower CELL-0014,"48.563611,-103.333505",Midwest,Samsung 5G RAN,3000,2024-12-01 16:47:55.590933,Active,"CELL-0033,CELL-0012,CELL-0080,CELL-0092,CELL-0006",Urban macro cell tower serving high-density commercial district
CELL-0015,Tower CELL-0015,"46.436182,-120.689579",Midwest,Samsung 5G RAN,1000,2022-06-08 16:47:55.590949,Degraded,"CELL-0069,CELL-0035,CELL-0044,CELL-0028,CELL-0098",Rural tower providing extended range coverage for interstate corridor
CELL-0016,Tower CELL-0016,"30.278137,-77.439377",Southeast,Samsung 5G RAN,3000,2020-11-01 16:47:55.590964,Active,"CELL-0098,CELL-0003,CELL-0059,CELL-0011,CELL-0037",Enterprise campus cell site with dedicated capacity allocation
CELL-0017,Tower CELL-0017,"28.772459,-88.553505",West,Samsung 5G RAN,1000,2019-01-17 16:47:55.590980,Active,"CELL-0086,CELL-0002,CELL-0034,CELL-0061,CELL-0074",Small cell deployment in shopping mall with indoor DAS integration
CELL-0018,Tower CELL-0018,"25.862215,-103.543874",Southeast,Nokia AirScale,3000,2022-01-13 16:47:55.590995,Active,"CELL-0084,CELL-0069,CELL-0030,CELL-0012,CELL-0081",Suburban cell site with residential coverage and highway access
CELL-0019,Tower CELL-0019,"37.699715,-68.593069",Southwest,Ericsson RBS,5000,2017-02-22 16:47:55.591009,Optimal,"CELL-0040,CELL-0098,CELL-0046",Suburban cell site with residential coverage and highway access
CELL-0020,Tower CELL-0020,"39.753709,-108.316509",Northwest,Samsung 5G RAN,5000,2023-10-09 16:47:55.591022,Optimal,"CELL-0067,CELL-0001,CELL-0024",Small cell deployment in shopping mall with indoor DAS integration
CELL-0021,Tower CELL-0021,"31.548749,-113.51594",West,Ericsson RBS,2000,2017-08-07 16:47:55.591037,Active,"CELL-0044,CELL-0098,CELL-0063,CELL-0016",Suburban cell site with residential coverage and highway access
CELL-0022,Tower CELL-0022,"33.905454,-97.533236",Southeast,Huawei BTS3900,500,2022-10-14 16:47:55.591052,Optimal,"CELL-0006,CELL-0046,CELL-0018,CELL-0043,CELL-0091",Enterprise campus cell site with dedicated capacity allocation
CELL-0023,Tower CELL-0023,"36.296184,-109.57054",West,Huawei BTS3900,3000,2021-03-14 16:47:55.591068,Degraded,"CELL-0058,CELL-0005,CELL-0067,CELL-0049,CELL-0036",Rural tower providing extended range coverage for interstate corridor
CELL-0024,Tower CELL-0024,"30.169969,-103.151046",Southeast,Nokia AirScale,500,2022-05-31 16:47:55.591083,Maintenance,"CELL-0096,CELL-0081,CELL-0091,CELL-0036,CELL-0029",Urban macro cell tower serving high-density commercial district
CELL-0025,Tower CELL-0025,"29.81452,-81.156271",Midwest,Samsung 5G RAN,500,2024-05-08 16:47:55.591097,Active,"CELL-0041,CELL-0001,CELL-0020,CELL-0049",Urban macro cell tower serving high-density commercial district
CELL-0026,Tower CELL-0026,"28.491372,-74.538531",West,Samsung 5G RAN,500,2025-02-15 16:47:55.591109,Active,"CELL-0057,CELL-0014,CELL-0008",Urban macro cell tower serving high-density commercial district
CELL-0027,Tower CELL-0027,"48.379379,-85.211817",Midwest,Nokia AirScale,5000,2024-06-24 16:47:55.591124,Maintenance,"CELL-0001,CELL-0043,CELL-0099,CELL-0073,CELL-0082",Urban macro cell tower serving high-density commercial district
CELL-0028,Tower CELL-0028,"33.234379,-92.711712",West,Huawei BTS3900,3000,2021-04-18 16:47:55.591137,Active,"CELL-0084,CELL-0048,CELL-0065",Suburban cell site with residential coverage and highway access
CELL-0029,Tower CELL-0029,"44.404934,-99.741237",Midwest,Ericsson RBS,2000,2017-03-23 16:47:55.591150,Optimal,"CELL-0050,CELL-0057,CELL-0023",Rural tower providing extended range coverage for interstate corridor
CELL-0030,Tower CELL-0030,"25.549724,-118.416156",Northeast,Huawei BTS3900,2000,2017-06-18 16:47:55.591163,Maintenance,"CELL-0068,CELL-0047,CELL-0013,CELL-0005",Coastal tower with marine coverage and tourist area support
CELL-0031,Tower CELL-0031,"34.267642,-123.370515",West,Nokia AirScale,3000,2016-04-16 16:47:55.591176,Degraded,"CELL-0058,CELL-0013,CELL-0040",Urban macro cell tower serving high-density commercial district
CELL-0032,Tower CELL-0032,"45.841894,-81.401078",Midwest,Huawei BTS3900,1000,2022-11-24 16:47:55.591192,Maintenance,"CELL-0036,CELL-0034,CELL-0007,CELL-0086,CELL-0099",Enterprise campus cell site with dedicated capacity allocation
CELL-0033,Tower CELL-0033,"35.574016,-112.250077",Midwest,Huawei BTS3900,2000,2017-12-21 16:47:55.591206,Degraded,"CELL-0007,CELL-0060,CELL-0032,CELL-0038,CELL-0026",Rural tower providing extended range coverage for interstate corridor
CELL-0034,Tower CELL-0034,"35.666398,-102.946081",Northwest,Nokia AirScale,5000,2023-07-06 16:47:55.591221,Degraded,"CELL-0069,CELL-0036,CELL-0080,CELL-0039,CELL-0026",Rural tower providing extended range coverage for interstate corridor
CELL-0035,Tower CELL-0035,"26.306859,-116.51742",Midwest,Samsung 5G RAN,3000,2017-01-06 16:47:55.591235,Maintenance,"CELL-0044,CELL-0012,CELL-0015,CELL-0055,CELL-0047",Rural tower providing extended range coverage for interstate corridor
CELL-0036,Tower CELL-0036,"32.921183,-101.371881",Southwest,Samsung 5G RAN,1000,2017-12-08 16:47:55.591250,Maintenance,"CELL-0012,CELL-0027,CELL-0019,CELL-0067,CELL-0091",Urban macro cell tower serving high-density commercial district
CELL-0037,Tower CELL-0037,"33.63093,-89.379654",Southeast,Ericsson RBS,2000,2021-03-23 16:47:55.591265,Optimal,"CELL-0031,CELL-0088,CELL-0060,CELL-0027,CELL-0095",Rural tower providing extended range coverage for interstate corridor
