event_id,@timestamp,imsi,auth_result,hss_response_code,mme_host,cell_id,authentication_type,roaming_partner,response_time_ms,retry_count
AUTH-00000001,2025-08-14 17:06:28.592994,310260996728700,SUCCESS,SUCCESS,MME-03,CELL-0076,5G_AKA,AT&T,162,0
AUTH-00000002,2025-08-14 17:18:53.592994,310160466527528,SUCCESS,SUCCESS,MME-05,CELL-0025,EAP_AKA,China Mobile,141,0
AUTH-00000003,2025-08-14 18:14:58.592994,310260446013772,FAILURE,HSS_TIMEOUT,MME-04,CELL-0013,5G_AKA,China Mobile,240,4
AUTH-00000004,2025-08-14 19:16:47.592994,311480596001732,REJECTED,ROAMING_NOT_ALLOWED,MME-04,CELL-0033,5G_AKA,Verizon,486,2
AUTH-00000005,2025-08-14 19:40:34.592994,310260879735804,FAILURE,ROAMING_NOT_ALLOWED,MME-03,CELL-0090,EAP_AKA,None,675,2
AUTH-00000006,2025-08-14 20:16:19.592994,311480324342835,TIMEOUT,SUBSCRIBER_UNKNOWN,MME-03,CELL-0004,EAP_AKA,Telstra,293,2
AUTH-00000007,2025-08-14 20:49:35.592994,310260380877471,FAILURE,SUBSCRIBER_UNKNOWN,MME-02,CELL-0100,UMTS_AKA,AT&T,326,1
AUTH-00000008,2025-08-14 21:11:31.592994,312530471815374,FAILURE,AUTH_VECTOR_MISMATCH,MME-05,CELL-0001,5G_AKA,Vodafone,577,1
AUTH-00000009,2025-08-15 01:56:36.592994,312530100970549,SUCCESS,SUCCESS,MME-05,CELL-0035,EPS_AKA,Telstra,465,0
AUTH-00000010,2025-08-15 02:45:34.592994,310260264004658,SUCCESS,SUCCESS,MME-04,CELL-0009,UMTS_AKA,Vodafone,128,0
AUTH-00000011,2025-08-15 03:18:33.592994,311480795065946,SUCCESS,SUCCESS,MME-02,CELL-0054,5G_AKA,Orange,198,0
AUTH-00000012,2025-08-15 04:57:08.592994,310260596618469,FAILURE,DATABASE_ERROR,MME-03,CELL-0016,EAP_AKA,China Mobile,878,5
AUTH-00000013,2025-08-15 05:37:51.592994,312530225740527,SUCCESS,SUCCESS,MME-04,CELL-0041,EAP_AKA,Orange,181,0
AUTH-00000014,2025-08-15 06:05:52.592994,311480425135522,SUCCESS,SUCCESS,MME-04,CELL-0096,EPS_AKA,None,144,0
AUTH-00000015,2025-08-15 06:17:09.592994,311480539557697,SUCCESS,SUCCESS,MME-03,CELL-0032,EPS_AKA,Vodafone,77,0
AUTH-00000016,2025-08-15 06:31:45.592994,312530384503291,SUCCESS,SUCCESS,MME-02,CELL-0031,UMTS_AKA,Orange,91,0
AUTH-00000017,2025-08-15 06:33:11.592994,310260572702816,SUCCESS,SUCCESS,MME-01,CELL-0022,UMTS_AKA,None,136,0
AUTH-00000018,2025-08-15 06:51:50.592994,312530286030899,FAILURE,HSS_TIMEOUT,MME-02,CELL-0045,5G_AKA,Vodafone,1022,4
AUTH-00000019,2025-08-15 07:50:25.592994,310260446214131,TIMEOUT,SYNC_FAILURE,MME-01,CELL-0086,5G_AKA,AT&T,677,2
AUTH-00000020,2025-08-15 08:03:41.592994,310160111413072,SUCCESS,SUCCESS,MME-05,CELL-0093,EAP_AKA,Vodafone,82,0
AUTH-00000021,2025-08-15 09:22:54.592994,311480276173724,SUCCESS,SUCCESS,MME-01,CELL-0063,EAP_AKA,China Mobile,236,0
AUTH-00000022,2025-08-15 09:30:46.592994,311480443809023,SUCCESS,SUCCESS,MME-01,CELL-0077,UMTS_AKA,None,470,0
AUTH-00000023,2025-08-15 09:46:24.592994,311480970856186,SUCCESS,SUCCESS,MME-03,CELL-0039,5G_AKA,Vodafone,182,0
AUTH-00000024,2025-08-15 09:46:34.592994,312530831602421,SUCCESS,SUCCESS,MME-03,CELL-0066,EAP_AKA,Telstra,101,0
AUTH-00000025,2025-08-15 10:12:08.592994,312530538746513,SUCCESS,SUCCESS,MME-01,CELL-0089,5G_AKA,Orange,575,0
AUTH-00000026,2025-08-15 10:12:26.592994,310260527903234,SUCCESS,SUCCESS,MME-05,CELL-0022,UMTS_AKA,China Mobile,237,0
AUTH-00000027,2025-08-15 10:58:25.592994,312530173922004,SUCCESS,SUCCESS,MME-04,CELL-0063,5G_AKA,None,117,0
AUTH-00000028,2025-08-15 11:12:25.592994,310260669332686,SUCCESS,SUCCESS,MME-01,CELL-0066,EPS_AKA,Verizon,168,0
AUTH-00000029,2025-08-15 11:19:48.592994,310260493696886,REJECTED,DATABASE_ERROR,MME-01,CELL-0053,EPS_AKA,Telstra,476,1
AUTH-00000030,2025-08-15 13:24:44.592994,310260796679507,SUCCESS,SUCCESS,MME-01,CELL-0064,EAP_AKA,Vodafone,59,0
AUTH-00000031,2025-08-15 13:31:02.592994,312530892357818,SUCCESS,SUCCESS,MME-03,CELL-0075,EPS_AKA,None,210,0
AUTH-00000032,2025-08-15 14:37:45.592994,310260368714617,SUCCESS,SUCCESS,MME-01,CELL-0085,5G_AKA,Orange,114,0
AUTH-00000033,2025-08-15 14:47:40.592994,311480863767026,FAILURE,SYNC_FAILURE,MME-02,CELL-0040,5G_AKA,Telstra,1269,2
AUTH-00000034,2025-08-15 15:44:22.592994,311480480249160,FAILURE,HSS_TIMEOUT,MME-01,CELL-0038,EPS_AKA,None,2110,2
AUTH-00000035,2025-08-15 16:16:13.592994,310160246698704,FAILURE,SYNC_FAILURE,MME-02,CELL-0039,EPS_AKA,Orange,459,4
AUTH-00000036,2025-08-15 16:44:37.592994,310160242463477,SUCCESS,SUCCESS,MME-04,CELL-0070,UMTS_AKA,Vodafone,93,0
AUTH-00000037,2025-08-15 17:03:46.592994,310260971760865,SUCCESS,SUCCESS,MME-03,CELL-0049,EPS_AKA,None,170,0
AUTH-00000038,2025-08-15 17:21:12.592994,312530495233319,SUCCESS,SUCCESS,MME-01,CELL-0068,EPS_AKA,Vodafone,96,0
AUTH-00000039,2025-08-15 17:38:52.592994,310260239102410,SUCCESS,SUCCESS,MME-04,CELL-0055,UMTS_AKA,Orange,155,0
AUTH-00000040,2025-08-15 17:57:09.592994,310160631463083,TIMEOUT,SYNC_FAILURE,MME-02,CELL-0060,5G_AKA,AT&T,2374,3
AUTH-00000041,2025-08-15 18:13:20.592994,312530998099200,SUCCESS,SUCCESS,MME-01,CELL-0081,5G_AKA,China Mobile,135,0
AUTH-00000042,2025-08-15 18:14:34.592994,312530196965904,SUCCESS,SUCCESS,MME-01,CELL-0033,5G_AKA,AT&T,168,0
AUTH-00000043,2025-08-15 18:34:14.592994,310160212619386,SUCCESS,SUCCESS,MME-02,CELL-0045,EPS_AKA,AT&T,265,0
AUTH-00000044,2025-08-15 18:41:53.592994,311480741111350,SUCCESS,SUCCESS,MME-01,CELL-0062,UMTS_AKA,Verizon,348,0
AUTH-00000045,2025-08-15 18:48:58.592994,310160254160451,SUCCESS,SUCCESS,MME-05,CELL-0042,EAP_AKA,None,112,0
AUTH-00000046,2025-08-15 18:53:25.592994,310260308115694,TIMEOUT,SYNC_FAILURE,MME-04,CELL-0077,UMTS_AKA,Vodafone,475,4
AUTH-00000047,2025-08-15 19:41:36.592994,312530683700569,SUCCESS,SUCCESS,MME-02,CELL-0032,EPS_AKA,None,79,0
AUTH-00000048,2025-08-15 19:59:22.592994,312530638202464,SUCCESS,SUCCESS,MME-02,CELL-0083,EPS_AKA,Telstra,295,0
AUTH-00000049,2025-08-15 20:08:54.592994,311480653211671,SUCCESS,SUCCESS,MME-04,CELL-0065,5G_AKA,Vodafone,70,0
