event_id,@timestamp,hss_node,sync_status,affected_imsi_count,database_partition,error_code,replication_lag_ms
HSS-00000001,2025-09-08 23:39:40.973878,hss-primary-2,Timeout,896,partition-02,HSS-DB-201,11943
HSS-00000002,2025-09-09 01:32:16.973878,hss-primary-2,Complete Failure,4027,partition-07,HSS-SYNC-003,18598
HSS-00000003,2025-09-09 05:07:49.973878,hss-primary-2,Partial Failure,118,partition-11,HSS-REP-102,1268
HSS-00000004,2025-09-08 23:55:04.973878,hss-primary-2,Complete Failure,4582,partition-07,HSS-DB-202,7280
HSS-00000005,2025-09-09 01:08:31.973878,hss-primary-2,Complete Failure,1811,partition-07,HSS-SYNC-003,19471
HSS-00000006,2025-09-09 03:43:07.973878,hss-primary-2,Partial Failure,328,partition-11,HSS-DB-201,762
HSS-00000007,2025-09-09 05:13:49.973878,hss-primary-2,Complete Failure,4792,partition-07,HSS-REP-102,11511
HSS-00000008,2025-09-09 01:00:06.973878,hss-primary-2,Partial Failure,80,partition-11,HSS-REP-102,1167
HSS-00000009,2025-09-09 02:08:41.973878,hss-primary-2,Partial Failure,307,partition-04,HSS-SYNC-002,1593
HSS-00000010,2025-09-09 05:49:39.973878,hss-primary-2,Complete Failure,2535,partition-02,HSS-SYNC-003,19351
HSS-00000011,2025-09-09 01:48:10.973878,hss-primary-2,Complete Failure,4908,partition-02,HSS-SYNC-001,12353
HSS-00000012,2025-09-09 02:56:57.973878,hss-primary-2,Partial Failure,283,partition-11,HSS-DB-202,1680
HSS-00000013,2025-09-09 02:49:16.973878,hss-primary-2,Complete Failure,1416,partition-07,HSS-SYNC-003,9567
HSS-00000014,2025-09-08 23:48:45.973878,hss-primary-2,Complete Failure,2534,partition-11,HSS-REP-101,6276
HSS-00000015,2025-09-09 04:07:20.973878,hss-primary-2,Partial Failure,324,partition-07,HSS-DB-201,952
HSS-00000016,2025-09-09 02:35:21.973878,hss-primary-2,Success,6,partition-11,HSS-SYNC-000,117
HSS-00000017,2025-09-08 23:42:41.973878,hss-primary-2,Complete Failure,1947,partition-02,HSS-DB-202,18216
HSS-00000018,2025-09-09 00:03:00.973878,hss-primary-2,Lag Warning,43,partition-04,HSS-SYNC-001,4064
HSS-00000019,2025-09-09 02:23:04.973878,hss-primary-2,Success,1,partition-11,HSS-SYNC-000,141
