event_id,@timestamp,imsi,mme_host,cell_id,procedure_type,failure_code,serving_plmn,tracking_area_code,failure_description,signaling_message_type,attach_attempt,handover_attempt,authentication_attempt,source_cell_id,target_cell_id
EVT-00000001,2025-09-25 08:17:17.973878,3102601000000517,mme-05.tmobile.net,CELL-0023,Handover,S1AP-202,310-260,TAC-5343,HSS unreachable during Handover - database sync issue,Attach Accept,False,True,False,CELL-0059,CELL-0023
EVT-00000002,2025-09-25 07:56:20.973878,3102601000000671,mme-05.tmobile.net,CELL-0065,Handover,S1AP-202,310-260,TAC-4791,PDN connectivity failure - insufficient resources,Path Switch Request,False,True,False,CELL-0002,CELL-0066
EVT-00000003,2025-09-25 08:02:07.973878,3102601000000372,mme-05.tmobile.net,CELL-0023,Handover,S1AP-201,310-260,TAC-9116,Resource exhaustion on mme-05.tmobile.net - network congestion,Initial UE Message,False,True,False,CELL-0078,CELL-0059
EVT-00000004,2025-09-25 08:09:06.973878,3102601000000095,mme-05.tmobile.net,CELL-0065,Handover,S1AP-201,310-260,TAC-2475,Signaling storm detected - database corruption,Handover Required,False,True,False,CELL-0066,CELL-0034
EVT-00000005,2025-09-25 09:12:31.973878,3102601000000541,mme-05.tmobile.net,CELL-0068,Handover,S1AP-201,310-490,TAC-4303,TAU rejected - cell overload,Uplink NAS Transport,False,True,False,CELL-0059,CELL-0063
EVT-00000006,2025-09-25 09:43:25.973878,3102601000000289,mme-05.tmobile.net,CELL-0066,Handover,S1AP-202,310-260,TAC-4713,Resource exhaustion on mme-05.tmobile.net - hardware failure,Handover Required,False,True,False,CELL-0035,CELL-0002
EVT-00000007,2025-09-25 09:01:07.973878,3102601000000373,mme-05.tmobile.net,CELL-0065,Handover,S1AP-202,310-260,TAC-4404,HSS unreachable during Handover - database sync issue,Handover Required,False,True,False,CELL-0028,CELL-0043
EVT-00000008,2025-09-25 07:49:09.973878,3102601000000239,mme-05.tmobile.net,CELL-0043,Handover,S1AP-202,310-260,TAC-4370,Signaling storm detected - software bug,Handover Required,False,True,False,CELL-0073,CELL-0028
EVT-00000009,2025-09-25 08:39:16.973878,3102601000000762,mme-05.tmobile.net,CELL-0059,Handover,S1AP-202,310-260,TAC-7318,Signaling storm detected - software bug,Attach Accept,False,True,False,CELL-0068,CELL-0066
EVT-00000010,2025-09-25 09:54:47.973878,3102601000000705,mme-05.tmobile.net,CELL-0078,Handover,S1AP-202,310-490,TAC-8969,HSS unreachable during Handover - database sync issue,Path Switch Request,False,True,False,CELL-0068,CELL-0065
EVT-00000011,2025-09-25 10:40:23.973878,3102601000000377,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-800,TAC-8954,HSS unreachable during Handover - database sync issue,Initial UE Message,False,True,False,CELL-0011,CELL-0035
EVT-00000012,2025-09-25 09:16:36.973878,3102601000000239,mme-05.tmobile.net,CELL-0066,Handover,S1AP-202,310-260,TAC-3691,Attach rejected due to invalid subscriber data on MME mme-05.tmobile.net,Handover Required,False,True,False,CELL-0011,CELL-0078
EVT-00000013,2025-09-25 07:13:33.973878,3102601000000207,mme-05.tmobile.net,CELL-0043,Handover,S1AP-201,310-260,TAC-6826,Signaling storm detected - network congestion,Handover Required,False,True,False,CELL-0011,CELL-0065
EVT-00000014,2025-09-25 08:51:17.973878,3102601000000662,mme-05.tmobile.net,CELL-0068,Handover,S1AP-201,310-490,TAC-5145,PDN connectivity failure - network congestion,Downlink NAS Transport,False,True,False,CELL-0035,CELL-0034
EVT-00000015,2025-09-25 11:00:07.973878,3102601000000317,mme-05.tmobile.net,CELL-0028,Handover,S1AP-201,310-260,TAC-3540,Bearer modification rejected - authentication timeout,Attach Accept,False,True,False,CELL-0005,CELL-0028
EVT-00000016,2025-09-25 09:16:28.973878,3102601000000133,mme-05.tmobile.net,CELL-0011,Handover,S1AP-201,310-260,TAC-1274,Resource exhaustion on mme-05.tmobile.net - hardware failure,Initial UE Message,False,True,False,CELL-0005,CELL-0073
EVT-00000017,2025-09-25 08:13:10.973878,3102601000000347,mme-05.tmobile.net,CELL-0043,Handover,S1AP-202,310-260,TAC-2129,HSS unreachable during Handover - database sync issue,Attach Accept,False,True,False,CELL-0034,CELL-0068
EVT-00000018,2025-09-25 09:55:53.973878,3102601000000671,mme-05.tmobile.net,CELL-0035,Handover,S1AP-202,310-260,TAC-1862,Handover failure from CELL-0011 to CELL-0065 - HSS sync failure,Path Switch Request,False,True,False,CELL-0011,CELL-0065
EVT-00000019,2025-09-25 08:04:26.973878,3102601000000157,mme-05.tmobile.net,CELL-0063,Handover,S1AP-202,310-260,TAC-6576,TAU rejected - invalid subscriber data,Path Switch Request,False,True,False,CELL-0011,CELL-0002
EVT-00000020,2025-09-25 08:07:04.973878,3102601000000099,mme-05.tmobile.net,CELL-0005,Handover,S1AP-201,310-260,TAC-8486,Attach rejected due to security check failed on MME mme-05.tmobile.net,Handover Required,False,True,False,CELL-0066,CELL-0043
EVT-00000021,2025-09-25 07:20:07.973878,3102601000000184,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-9772,Resource exhaustion on mme-05.tmobile.net - hardware failure,Handover Required,False,True,False,CELL-0068,CELL-0011
EVT-00000022,2025-09-25 08:54:51.973878,3102601000000791,mme-05.tmobile.net,CELL-0005,Handover,S1AP-202,310-800,TAC-2141,Resource exhaustion on mme-05.tmobile.net - roaming restriction,Downlink NAS Transport,False,True,False,CELL-0043,CELL-0059
EVT-00000023,2025-09-25 10:00:16.973878,3102601000000072,mme-05.tmobile.net,CELL-0023,Handover,S1AP-201,310-260,TAC-3480,Authentication failure for subscriber - insufficient resources,Downlink NAS Transport,False,True,False,CELL-0073,CELL-0034
EVT-00000024,2025-09-25 09:39:33.973878,3102601000000219,mme-05.tmobile.net,CELL-0066,Handover,S1AP-202,310-260,TAC-5579,HSS unreachable during Handover - database sync issue,TAU Accept,False,True,False,CELL-0028,CELL-0002
EVT-00000025,2025-09-25 08:41:18.973878,3102601000000776,mme-05.tmobile.net,CELL-0065,Handover,S1AP-202,310-260,TAC-1789,Signaling storm detected - software bug,Uplink NAS Transport,False,True,False,CELL-0063,CELL-0073
EVT-00000026,2025-09-25 08:02:03.973878,3102601000000372,mme-05.tmobile.net,CELL-0035,Handover,S1AP-202,310-260,TAC-6240,Authentication failure for subscriber - hardware failure,Handover Required,False,True,False,CELL-0068,CELL-0011
EVT-00000027,2025-09-25 09:40:05.973878,3102601000000681,mme-05.tmobile.net,CELL-0011,Handover,S1AP-202,310-490,TAC-9735,HSS unreachable during Handover - database sync issue,TAU Accept,False,True,False,CELL-0011,CELL-0035
