cell_id,cell_name,technology,region,latitude,longitude,max_prb_capacity,vendor,deployment_date,neighbor_cell_list
cell-00001,Tower SOUTHEAST-0001,5G-NSA,northeast,28.606770689976244,-101.37902433300532,200,Nokia,2023-07-04 10:39:16.867975,"cell-00419,cell-00456,cell-00003,cell-00097"
cell-00002,Tower CENTRAL-0002,4G-LTE,central,35.16385674480274,-119.6467981195208,50,Samsung,2023-07-05 10:39:16.867975,"cell-00037,cell-00208,cell-00305,cell-00402"
cell-00003,Tower CENTRAL-0003,4G-LTE,southwest,31.378747137902415,-122.3031561832255,200,Nokia,2023-07-06 10:39:16.867975,"cell-00330,cell-00387,cell-00298,cell-00023,cell-00284,cell-00090"
cell-00004,Tower NORTHWEST-0004,5G-NSA,central,42.27980175882679,-93.75604361554103,150,Ericsson,2023-07-07 10:39:16.867975,"cell-00317,cell-00073,cell-00193,cell-00253"
cell-00005,Tower NORTHWEST-0005,4G-LTE,southwest,35.82742387982948,-85.60276887232608,200,Samsung,2023-07-08 10:39:16.867975,"cell-00266,cell-00142,cell-00133,cell-00240"
cell-00006,Tower CENTRAL-0006,5G-NSA,central,36.301144565488244,-86.83843530047821,50,Nokia,2023-07-09 10:39:16.867975,"cell-00055,cell-00045,cell-00166,cell-00075,cell-00096,cell-00351,cell-00356"
cell-00007,Tower SOUTHWEST-0007,5G-SA,northeast,47.0373324507266,-115.55193411332273,100,Nokia,2023-07-10 10:39:16.867975,"cell-00009,cell-00355,cell-00420,cell-00344,cell-00229,cell-00137,cell-00336"
cell-00008,Tower SOUTHWEST-0008,4G-LTE,southeast,35.52325678049851,-73.50943558317911,50,Nokia,2023-07-11 10:39:16.867975,"cell-00256,cell-00457,cell-00128,cell-00294,cell-00292,cell-00102,cell-00010"
cell-00009,Tower SOUTHWEST-0009,4G-LTE,southeast,28.163564530222356,-99.09054159040673,200,Samsung,2023-07-12 10:39:16.867975,"cell-00315,cell-00248,cell-00043,cell-00366,cell-00489,cell-00089"
cell-00010,Tower SOUTHEAST-0010,5G-NSA,northeast,25.361295639216472,-95.60260235240995,150,Ericsson,2023-07-13 10:39:16.867975,"cell-00023,cell-00355,cell-00408,cell-00276,cell-00294"
cell-00011,Tower CENTRAL-0011,4G-LTE,southwest,44.15849196552926,-122.83113053298896,50,Ericsson,2023-07-14 10:39:16.867975,"cell-00251,cell-00008,cell-00093,cell-00454"
cell-00012,Tower SOUTHEAST-0012,5G-NSA,southeast,35.57257404734626,-72.89241263438159,50,Ericsson,2023-07-15 10:39:16.867975,"cell-00079,cell-00012,cell-00160,cell-00143,cell-00288,cell-00155,cell-00255"
cell-00013,Tower CENTRAL-0013,4G-LTE,southwest,47.61082623760062,-102.75979216637649,50,Samsung,2023-07-16 10:39:16.867975,"cell-00284,cell-00469,cell-00070,cell-00428,cell-00497"
cell-00014,Tower CENTRAL-0014,5G-SA,northeast,42.28969460337258,-120.80357608624271,200,Samsung,2023-07-17 10:39:16.867975,"cell-00219,cell-00386,cell-00091,cell-00385,cell-00063"
cell-00015,Tower SOUTHEAST-0015,5G-NSA,southwest,48.60779169088031,-86.59168578702128,100,Samsung,2023-07-18 10:39:16.867975,"cell-00018,cell-00395,cell-00059,cell-00444,cell-00027,cell-00139,cell-00023"
cell-00016,Tower SOUTHEAST-0016,5G-SA,northwest,46.151316462096794,-65.18851375459447,100,Samsung,2023-07-19 10:39:16.867975,"cell-00153,cell-00210,cell-00007,cell-00484"
cell-00017,Tower CENTRAL-0017,4G-LTE,southeast,38.31735120695737,-81.40418786565598,100,Samsung,2023-07-20 10:39:16.867975,"cell-00336,cell-00369,cell-00119,cell-00420,cell-00275,cell-00143"
cell-00018,Tower SOUTHEAST-0018,4G-LTE,southwest,32.65439218980643,-102.59530343709588,100,Samsung,2023-07-21 10:39:16.867975,"cell-00181,cell-00389,cell-00087,cell-00349,cell-00393"
cell-00019,Tower NORTHEAST-0019,4G-LTE,northwest,45.272604456088104,-70.11092601529693,50,Nokia,2023-07-22 10:39:16.867975,"cell-00243,cell-00096,cell-00068,cell-00213,cell-00194"
cell-00020,Tower NORTHWEST-0020,4G-LTE,central,42.37301973101916,-108.51328956934572,50,Ericsson,2023-07-23 10:39:16.867975,"cell-00117,cell-00432,cell-00076,cell-00263,cell-00227,cell-00431"
cell-00021,Tower NORTHEAST-0021,4G-LTE,central,35.1738812725156,-65.92038747604123,50,Nokia,2023-07-24 10:39:16.867975,"cell-00366,cell-00364,cell-00061,cell-00422"
cell-00022,Tower NORTHEAST-0022,4G-LTE,northwest,33.80713182549973,-66.0876364341664,150,Samsung,2023-07-25 10:39:16.867975,"cell-00272,cell-00126,cell-00002,cell-00038"
cell-00023,Tower SOUTHEAST-0023,4G-LTE,southwest,33.478646055348975,-119.24298083434097,50,Samsung,2023-07-26 10:39:16.867975,"cell-00250,cell-00287,cell-00357,cell-00349,cell-00376,cell-00039"
cell-00024,Tower NORTHWEST-0024,4G-LTE,southeast,29.38471734019592,-100.47962334970097,100,Samsung,2023-07-27 10:39:16.867975,"cell-00185,cell-00460,cell-00149,cell-00370,cell-00497"
cell-00025,Tower CENTRAL-0025,5G-SA,northeast,42.72077338716481,-93.8621950656604,50,Ericsson,2023-07-28 10:39:16.867975,"cell-00112,cell-00466,cell-00235,cell-00051,cell-00457,cell-00039,cell-00305"
cell-00026,Tower NORTHEAST-0026,4G-LTE,central,25.819878078084894,-66.65094244718027,100,Samsung,2023-07-29 10:39:16.867975,"cell-00382,cell-00321,cell-00119,cell-00171,cell-00201,cell-00353"
cell-00027,Tower CENTRAL-0027,5G-SA,northwest,38.19748477729641,-120.50818374900645,150,Samsung,2023-07-30 10:39:16.867975,"cell-00177,cell-00402,cell-00472,cell-00311"
cell-00028,Tower NORTHEAST-0028,4G-LTE,northwest,33.80071745585488,-95.41429529848573,200,Nokia,2023-07-31 10:39:16.867975,"cell-00434,cell-00092,cell-00424,cell-00491"
cell-00029,Tower SOUTHWEST-0029,5G-SA,southeast,42.72884683755441,-88.33470323335634,100,Nokia,2023-08-01 10:39:16.867975,"cell-00304,cell-00319,cell-00321,cell-00207,cell-00420"
cell-00030,Tower CENTRAL-0030,4G-LTE,central,37.648573906940115,-72.70660495829138,50,Samsung,2023-08-02 10:39:16.867975,"cell-00379,cell-00113,cell-00488,cell-00197,cell-00437,cell-00102,cell-00077"
cell-00031,Tower SOUTHEAST-0031,4G-LTE,northwest,32.73478766857154,-73.93597908738268,100,Ericsson,2023-08-03 10:39:16.867975,"cell-00358,cell-00325,cell-00017,cell-00349,cell-00250"
cell-00032,Tower SOUTHEAST-0032,5G-SA,southwest,46.13387375319746,-94.7485767386685,100,Ericsson,2023-08-04 10:39:16.867975,"cell-00482,cell-00078,cell-00426,cell-00067,cell-00016,cell-00109,cell-00411"
cell-00033,Tower NORTHWEST-0033,5G-NSA,northeast,34.36145592819439,-89.80099643563238,50,Nokia,2023-08-05 10:39:16.867975,"cell-00001,cell-00348,cell-00379,cell-00278,cell-00132"
cell-00034,Tower NORTHWEST-0034,5G-SA,southeast,26.41670109284076,-87.20331996769094,200,Ericsson,2023-08-06 10:39:16.867975,"cell-00249,cell-00042,cell-00321,cell-00382"
cell-00035,Tower SOUTHWEST-0035,4G-LTE,southwest,36.274622583846025,-76.69474621461767,150,Nokia,2023-08-07 10:39:16.867975,"cell-00171,cell-00121,cell-00244,cell-00442"
cell-00036,Tower NORTHEAST-0036,5G-SA,southwest,45.43057978458361,-100.76930198273223,100,Ericsson,2023-08-08 10:39:16.867975,"cell-00350,cell-00121,cell-00072,cell-00092,cell-00043"
cell-00037,Tower CENTRAL-0037,4G-LTE,central,37.6853885365724,-77.30657603164913,50,Nokia,2023-08-09 10:39:16.867975,"cell-00049,cell-00001,cell-00050,cell-00396,cell-00408,cell-00259,cell-00411"
cell-00038,Tower NORTHWEST-0038,5G-SA,southwest,29.211437276025332,-120.10487357290498,150,Ericsson,2023-08-10 10:39:16.867975,"cell-00174,cell-00334,cell-00450,cell-00206"
cell-00039,Tower NORTHEAST-0039,4G-LTE,southeast,43.341717023340586,-120.18830479092328,200,Nokia,2023-08-11 10:39:16.867975,"cell-00283,cell-00097,cell-00172,cell-00163,cell-00443,cell-00328,cell-00065"
cell-00040,Tower CENTRAL-0040,4G-LTE,central,44.52338803039347,-92.83262281578233,150,Samsung,2023-08-12 10:39:16.867975,"cell-00118,cell-00423,cell-00203,cell-00041,cell-00481"
cell-00041,Tower NORTHEAST-0041,4G-LTE,southeast,28.9694705010276,-104.19431116021914,200,Ericsson,2023-08-13 10:39:16.867975,"cell-00173,cell-00491,cell-00208,cell-00433,cell-00275,cell-00353"
cell-00042,Tower NORTHWEST-0042,4G-LTE,northwest,47.20268567828923,-78.46725272194337,150,Samsung,2023-08-14 10:39:16.867975,"cell-00021,cell-00273,cell-00245,cell-00076,cell-00405,cell-00436"
cell-00043,Tower SOUTHEAST-0043,4G-LTE,southeast,44.23759481933157,-120.00552883742974,100,Samsung,2023-08-15 10:39:16.867975,"cell-00172,cell-00387,cell-00211,cell-00227,cell-00338"
cell-00044,Tower SOUTHWEST-0044,5G-SA,central,46.56762957058575,-65.19659586483745,100,Samsung,2023-08-16 10:39:16.867975,"cell-00148,cell-00228,cell-00047,cell-00331"
cell-00045,Tower SOUTHEAST-0045,4G-LTE,southeast,39.772960405662566,-113.59653144136804,100,Nokia,2023-08-17 10:39:16.867975,"cell-00372,cell-00492,cell-00461,cell-00146"
cell-00046,Tower SOUTHEAST-0046,5G-NSA,northeast,29.062832168407645,-116.25903942548557,150,Samsung,2023-08-18 10:39:16.867975,"cell-00099,cell-00040,cell-00227,cell-00243,cell-00269,cell-00276"
cell-00047,Tower SOUTHWEST-0047,5G-NSA,northeast,32.81029618656584,-105.43316822740447,50,Nokia,2023-08-19 10:39:16.867975,"cell-00283,cell-00176,cell-00283,cell-00378"
cell-00048,Tower SOUTHEAST-0048,4G-LTE,southwest,25.212303038706604,-102.30296503377023,150,Nokia,2023-08-20 10:39:16.867975,"cell-00153,cell-00287,cell-00119,cell-00397,cell-00078,cell-00094,cell-00217"
cell-00049,Tower NORTHEAST-0049,4G-LTE,southeast,41.24311345793519,-101.050485412709,50,Nokia,2023-08-21 10:39:16.867975,"cell-00404,cell-00186,cell-00169,cell-00402,cell-00066,cell-00352"
cell-00050,Tower SOUTHWEST-0050,5G-SA,central,29.95806573793514,-118.19861080532075,50,Samsung,2023-08-22 10:39:16.867975,"cell-00300,cell-00427,cell-00236,cell-00411,cell-00120,cell-00498"
cell-00051,Tower NORTHWEST-0051,4G-LTE,southeast,29.5905603276672,-92.85722697901112,50,Nokia,2023-08-23 10:39:16.867975,"cell-00499,cell-00331,cell-00456,cell-00166,cell-00476,cell-00093"
cell-00052,Tower NORTHWEST-0052,5G-NSA,central,32.18754975140244,-111.26255674291892,150,Nokia,2023-08-24 10:39:16.867975,"cell-00169,cell-00214,cell-00102,cell-00315,cell-00001,cell-00306"
cell-00053,Tower SOUTHWEST-0053,4G-LTE,central,39.39582657707196,-69.60107809172055,50,Nokia,2023-08-25 10:39:16.867975,"cell-00344,cell-00179,cell-00244,cell-00399,cell-00118,cell-00435"
cell-00054,Tower SOUTHWEST-0054,5G-NSA,southeast,32.677586736487605,-108.67001249124975,100,Nokia,2023-08-26 10:39:16.867975,"cell-00439,cell-00177,cell-00186,cell-00132,cell-00313"
cell-00055,Tower SOUTHEAST-0055,4G-LTE,southeast,35.864715889713274,-83.50751238981827,100,Ericsson,2023-08-27 10:39:16.867975,"cell-00493,cell-00486,cell-00292,cell-00171,cell-00088,cell-00420,cell-00113"
cell-00056,Tower SOUTHEAST-0056,4G-LTE,northeast,33.75853445073998,-69.54605828337102,200,Ericsson,2023-08-28 10:39:16.867975,"cell-00430,cell-00387,cell-00408"
cell-00057,Tower NORTHEAST-0057,4G-LTE,northeast,41.22602393974197,-106.48831806436462,100,Ericsson,2023-08-29 10:39:16.867975,"cell-00472,cell-00124,cell-00015,cell-00079,cell-00468,cell-00412"
cell-00058,Tower SOUTHWEST-0058,5G-NSA,northwest,31.53893485150307,-121.44954326829674,50,Ericsson,2023-08-30 10:39:16.867975,"cell-00376,cell-00197,cell-00333,cell-00326,cell-00011,cell-00130,cell-00140"
cell-00059,Tower CENTRAL-0059,5G-SA,northwest,37.93730225209374,-94.86200014137725,50,Ericsson,2023-08-31 10:39:16.867975,"cell-00353,cell-00180,cell-00290,cell-00005,cell-00432,cell-00354"
cell-00060,Tower NORTHWEST-0060,4G-LTE,southwest,47.2401259768444,-112.09153208162209,100,Nokia,2023-09-01 10:39:16.867975,"cell-00082,cell-00190,cell-00324"
cell-00061,Tower NORTHEAST-0061,4G-LTE,northwest,37.003194043126044,-74.01223319051803,50,Nokia,2023-09-02 10:39:16.867975,"cell-00299,cell-00206,cell-00059,cell-00431"
cell-00062,Tower NORTHWEST-0062,5G-NSA,southeast,34.7358204655576,-101.71075037086489,50,Nokia,2023-09-03 10:39:16.867975,"cell-00231,cell-00152,cell-00095"
cell-00063,Tower SOUTHEAST-0063,5G-SA,southeast,32.43205268008213,-112.57660028842777,200,Nokia,2023-09-04 10:39:16.867975,"cell-00286,cell-00474,cell-00459"
