@timestamp,transaction_id,command_code,application_id,result_code,origin_host,destination_host,response_time_ms,imsi_hash,hss_node,mme_host,transaction_success
2025-11-10 23:19:41.901367,txn-0000000001,Cancel-Location,16777216,2001,mme-ce-19,hss-dc-11,49,imsi-865323,hss-dc-06,mme-ce-26,True
2025-11-10 23:20:06.901367,txn-0000000002,Insert-Subscriber-Data,16777238,2001,mme-so-35,hss-dc-07,30,imsi-895479,hss-dc-19,mme-no-47,True
2025-11-10 23:20:31.901367,txn-0000000003,Authentication-Information,16777238,2001,mme-ce-19,hss-dc-01,8,imsi-232045,hss-dc-19,mme-so-18,True
2025-11-10 23:20:56.901367,txn-0000000004,Insert-Subscriber-Data,16777251,2001,mme-no-45,hss-dc-12,10,imsi-607427,hss-dc-16,mme-so-28,True
2025-11-10 23:21:21.901367,txn-0000000005,Insert-Subscriber-Data,16777238,2001,mme-no-39,hss-dc-16,49,imsi-807345,hss-dc-02,mme-no-29,False
2025-11-10 23:21:46.901367,txn-0000000006,Update-Location,16777216,2001,mme-ce-20,hss-dc-17,41,imsi-116428,hss-dc-15,mme-no-39,True
2025-11-10 23:22:11.901367,txn-0000000007,Authentication-Information,16777251,2001,mme-no-25,hss-dc-09,24,imsi-904425,hss-dc-11,mme-so-35,True
2025-11-10 23:22:36.901367,txn-0000000008,Insert-Subscriber-Data,16777238,2001,mme-no-33,hss-dc-01,14,imsi-532912,hss-dc-05,mme-so-11,True
2025-11-10 23:23:01.901367,txn-0000000009,Authentication-Information,16777216,2001,mme-no-15,hss-dc-13,23,imsi-864161,hss-dc-06,mme-no-47,True
2025-11-10 23:23:26.901367,txn-0000000010,Update-Location,16777216,2001,mme-ce-41,hss-dc-06,14,imsi-428275,hss-dc-01,mme-no-13,True
2025-11-10 23:23:51.901367,txn-0000000011,Authentication-Information,16777238,2001,mme-no-27,hss-dc-09,75,imsi-538353,hss-dc-13,mme-so-42,True
2025-11-10 23:24:16.901367,txn-0000000012,Authentication-Information,16777251,2001,mme-no-06,hss-dc-07,44,imsi-471851,hss-dc-08,mme-so-05,True
2025-11-10 23:24:41.901367,txn-0000000013,Authentication-Information,16777238,2001,mme-no-04,hss-dc-04,29,imsi-915452,hss-dc-04,mme-so-23,True
2025-11-10 23:25:06.901367,txn-0000000014,Authentication-Information,16777216,2001,mme-so-32,hss-dc-10,11,imsi-490409,hss-dc-15,mme-so-28,True
2025-11-10 23:25:31.901367,txn-0000000015,Authentication-Information,16777216,2001,mme-no-45,hss-dc-19,15,imsi-738976,hss-dc-12,mme-no-22,True
2025-11-10 23:25:56.901367,txn-0000000016,Insert-Subscriber-Data,16777216,2001,mme-so-36,hss-dc-03,28,imsi-244418,hss-dc-12,mme-no-16,True
2025-11-10 23:26:21.901367,txn-0000000017,Cancel-Location,16777216,2001,mme-so-18,hss-dc-10,57,imsi-967371,hss-dc-15,mme-so-05,True
2025-11-10 23:26:46.901367,txn-0000000018,Cancel-Location,16777238,2001,mme-no-15,hss-dc-08,60,imsi-451068,hss-dc-20,mme-ce-46,True
2025-11-10 23:27:11.901367,txn-0000000019,Authentication-Information,16777238,2001,mme-no-39,hss-dc-15,65,imsi-431731,hss-dc-15,mme-so-28,True
