@timestamp,handoff_id,handoff_type,source_cell_id,target_cell_id,handoff_result,failure_reason,handoff_latency_ms,imsi_hash,mme_host,ue_signal_strength_dbm
2025-11-10 17:46:36.924484,ho-00000001,X2,cell-00353,cell-00273,success,none,53,imsi-609157,mme-no-04,-113
2025-11-10 17:47:16.924484,ho-00000002,X2,cell-00018,cell-00199,failure,none,110,imsi-552929,mme-no-49,-113
2025-11-10 17:47:56.924484,ho-00000003,X2,cell-00445,cell-00025,success,handoff_timeout,27,imsi-632305,mme-no-07,-95
2025-11-10 17:48:36.924484,ho-00000004,X2,cell-00302,cell-00148,success,none,131,imsi-367496,mme-no-39,-94
2025-11-10 17:49:16.924484,ho-00000005,S1,cell-00413,cell-00427,success,none,87,imsi-754054,mme-no-29,-112
2025-11-10 17:49:56.924484,ho-00000006,intra-cell,cell-00233,cell-00241,success,none,67,imsi-321368,mme-so-28,-120
2025-11-10 17:50:36.924484,ho-00000007,intra-cell,cell-00093,cell-00411,success,none,26,imsi-239765,mme-no-31,-85
2025-11-10 17:51:16.924484,ho-00000008,intra-cell,cell-00230,cell-00130,success,none,66,imsi-126823,mme-no-06,-89
2025-11-10 17:51:56.924484,ho-00000009,S1,cell-00052,cell-00089,success,none,178,imsi-488179,mme-no-04,-73
2025-11-10 17:52:36.924484,ho-00000010,X2,cell-00007,cell-00461,success,target_cell_congestion,128,imsi-985035,mme-no-39,-94
2025-11-10 17:53:16.924484,ho-00000011,S1,cell-00153,cell-00067,success,none,56,imsi-962277,mme-so-02,-77
2025-11-10 17:53:56.924484,ho-00000012,X2,cell-00437,cell-00165,success,none,17,imsi-553405,mme-ce-19,-111
2025-11-10 17:54:36.924484,ho-00000013,S1,cell-00142,cell-00420,success,none,20,imsi-956236,mme-so-14,-89
2025-11-10 17:55:16.924484,ho-00000014,X2,cell-00277,cell-00044,success,none,81,imsi-673607,mme-so-28,-80
2025-11-10 17:55:56.924484,ho-00000015,X2,cell-00226,cell-00375,success,none,25,imsi-175473,mme-so-42,-86
2025-11-10 17:56:36.924484,ho-00000016,X2,cell-00413,cell-00326,success,none,31,imsi-684882,mme-no-13,-64
2025-11-10 17:57:16.924484,ho-00000017,intra-cell,cell-00058,cell-00319,success,none,67,imsi-371836,mme-no-39,-107
2025-11-10 17:57:56.924484,ho-00000018,X2,cell-00424,cell-00288,success,weak_signal,85,imsi-305242,mme-ce-41,-108
2025-11-10 17:58:36.924484,ho-00000019,X2,cell-00330,cell-00101,success,none,20,imsi-546195,mme-no-39,-62
2025-11-10 17:59:16.924484,ho-00000020,X2,cell-00396,cell-00349,success,handoff_timeout,51,imsi-463098,mme-so-42,-110
2025-11-10 17:59:56.924484,ho-00000021,S1,cell-00483,cell-00063,success,handoff_timeout,38,imsi-389093,mme-no-01,-115
2025-11-10 18:00:36.924484,ho-00000022,S1,cell-00224,cell-00319,success,none,177,imsi-997694,mme-ce-46,-119
2025-11-10 18:01:16.924484,ho-00000023,S1,cell-00287,cell-00350,success,none,43,imsi-643477,mme-no-16,-77
2025-11-10 18:01:56.924484,ho-00000024,intra-cell,cell-00462,cell-00056,success,handoff_timeout,19,imsi-675640,mme-so-43,-70
2025-11-10 18:02:36.924484,ho-00000025,X2,cell-00109,cell-00351,failure,none,31,imsi-727197,mme-so-50,-80
2025-11-10 18:03:16.924484,ho-00000026,X2,cell-00398,cell-00428,failure,none,120,imsi-628553,mme-no-07,-68
2025-11-10 18:03:56.924484,ho-00000027,intra-cell,cell-00407,cell-00063,success,target_cell_congestion,126,imsi-210346,mme-so-43,-64
2025-11-10 18:04:36.924484,ho-00000028,S1,cell-00457,cell-00202,failure,none,36,imsi-607949,mme-ce-21,-106
2025-11-10 18:05:16.924484,ho-00000029,intra-cell,cell-00298,cell-00073,timeout,none,150,imsi-901976,mme-no-34,-99
2025-11-10 18:05:56.924484,ho-00000030,X2,cell-00419,cell-00186,success,none,51,imsi-722056,mme-no-47,-110
2025-11-10 18:06:36.924484,ho-00000031,X2,cell-00473,cell-00004,success,none,45,imsi-121909,mme-so-43,-90
2025-11-10 18:07:16.924484,ho-00000032,S1,cell-00378,cell-00024,success,target_cell_congestion,38,imsi-342797,mme-no-40,-67
2025-11-10 18:07:56.924484,ho-00000033,intra-cell,cell-00286,cell-00075,success,resource_unavailable,16,imsi-618303,mme-ce-20,-110
2025-11-10 18:08:36.924484,ho-00000034,X2,cell-00457,cell-00402,success,none,11,imsi-890935,mme-no-17,-85
2025-11-10 18:09:16.924484,ho-00000035,intra-cell,cell-00016,cell-00123,success,none,37,imsi-308211,mme-so-11,-84
2025-11-10 18:09:56.924484,ho-00000036,S1,cell-00171,cell-00291,success,none,74,imsi-665367,mme-so-03,-101
2025-11-10 18:10:36.924484,ho-00000037,S1,cell-00260,cell-00388,failure,none,90,imsi-404187,mme-no-15,-75
2025-11-10 18:11:16.924484,ho-00000038,S1,cell-00341,cell-00374,success,none,74,imsi-162157,mme-no-49,-113
2025-11-10 18:11:56.924484,ho-00000039,S1,cell-00171,cell-00099,success,none,465,imsi-291104,mme-no-06,-108
2025-11-10 18:12:36.924484,ho-00000040,X2,cell-00128,cell-00121,success,none,39,imsi-457749,mme-no-29,-101
2025-11-10 18:13:16.924484,ho-00000041,inter-freq,cell-00036,cell-00018,success,none,60,imsi-569547,mme-no-31,-108
2025-11-10 18:13:56.924484,ho-00000042,intra-cell,cell-00195,cell-00102,failure,none,143,imsi-234427,mme-ce-19,-71
2025-11-10 18:14:36.924484,ho-00000043,X2,cell-00410,cell-00022,success,none,47,imsi-571878,mme-so-50,-78
2025-11-10 18:15:16.924484,ho-00000044,X2,cell-00388,cell-00130,success,none,90,imsi-535859,mme-no-13,-103
2025-11-10 18:15:56.924484,ho-00000045,X2,cell-00120,cell-00434,success,weak_signal,50,imsi-725846,mme-ce-26,-87
2025-11-10 18:16:36.924484,ho-00000046,X2,cell-00281,cell-00268,success,none,213,imsi-911027,mme-so-36,-69
2025-11-10 18:17:16.924484,ho-00000047,S1,cell-00425,cell-00461,success,resource_unavailable,220,imsi-260027,mme-ce-26,-96
2025-11-10 18:17:56.924484,ho-00000048,X2,cell-00120,cell-00496,success,weak_signal,99,imsi-635535,mme-ce-24,-104
2025-11-10 18:18:36.924484,ho-00000049,intra-cell,cell-00366,cell-00427,success,resource_unavailable,92,imsi-463909,mme-ce-26,-108
2025-11-10 18:19:16.924484,ho-00000050,X2,cell-00224,cell-00434,success,none,74,imsi-605447,mme-so-09,-84
2025-11-10 18:19:56.924484,ho-00000051,X2,cell-00208,cell-00090,success,none,75,imsi-843134,mme-no-01,-101
2025-11-10 18:20:36.924484,ho-00000052,intra-cell,cell-00219,cell-00432,success,none,74,imsi-569369,mme-so-43,-66
2025-11-10 18:21:16.924484,ho-00000053,X2,cell-00257,cell-00356,success,handoff_timeout,113,imsi-319069,mme-ce-19,-95
2025-11-10 18:21:56.924484,ho-00000054,X2,cell-00409,cell-00257,timeout,none,32,imsi-361625,mme-no-34,-101
2025-11-10 18:22:36.924484,ho-00000055,X2,cell-00465,cell-00105,timeout,none,44,imsi-272221,mme-no-38,-98
2025-11-10 18:23:16.924484,ho-00000056,inter-freq,cell-00239,cell-00430,success,handoff_timeout,31,imsi-341223,mme-no-16,-104
2025-11-10 18:23:56.924484,ho-00000057,X2,cell-00129,cell-00345,success,none,29,imsi-127743,mme-so-35,-92
2025-11-10 18:24:36.924484,ho-00000058,S1,cell-00440,cell-00100,success,none,84,imsi-380540,mme-so-30,-102
2025-11-10 18:25:16.924484,ho-00000059,X2,cell-00337,cell-00485,success,none,61,imsi-561957,mme-so-10,-103
2025-11-10 18:25:56.924484,ho-00000060,S1,cell-00425,cell-00391,success,none,39,imsi-813440,mme-ce-19,-103
2025-11-10 18:26:36.924484,ho-00000061,X2,cell-00042,cell-00109,success,none,38,imsi-876931,mme-no-39,-63
