@timestamp,event_id,mme_host,cluster_id,datacenter,procedure_type,procedure_result,procedure_latency_ms,cell_id,tracking_area_code,imsi_hash,reject_cause,s1ap_message_type,signaling_interface,message_direction
2025-11-10 23:19:46.875763,evt-00000001,mme-no-22,cluster-west-2,dc-dallas,TAU,success,31,cell-00220,tac-0075,imsi-245646,no_reject,InitialContextSetup,S11,downlink
2025-11-10 23:20:16.875763,evt-00000002,mme-so-14,cluster-east-1,dc-dallas,Service Request,success,92,cell-00456,tac-0023,imsi-563944,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:20:46.875763,evt-00000003,mme-so-42,cluster-central,dc-newyork,TAU,success,50,cell-00206,tac-0055,imsi-387762,no_reject,InitialContextSetup,S6a,uplink
2025-11-10 23:21:16.875763,evt-00000004,mme-no-37,cluster-east-2,dc-newyork,Attach,success,82,cell-00198,tac-0078,imsi-898831,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-10 23:21:46.875763,evt-00000005,mme-no-07,cluster-central,dc-chicago,TAU,success,170,cell-00361,tac-0099,imsi-425812,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:22:16.875763,evt-00000006,mme-no-29,cluster-east-2,dc-newyork,Attach,success,210,cell-00213,tac-0025,imsi-449982,auth_failure,UEContextRelease,S11,downlink
2025-11-10 23:22:46.875763,evt-00000007,mme-so-11,cluster-west-2,dc-atlanta,TAU,success,81,cell-00382,tac-0008,imsi-634930,roaming_not_allowed,InitialContextSetup,S1-MME,downlink
2025-11-10 23:23:16.875763,evt-00000008,mme-so-32,cluster-east-1,dc-seattle,Detach,timeout,21,cell-00499,tac-0073,imsi-810269,roaming_not_allowed,UEContextRelease,S1-MME,uplink
2025-11-10 23:23:46.875763,evt-00000009,mme-ce-21,cluster-east-2,dc-chicago,Service Request,success,120,cell-00127,tac-0011,imsi-379596,no_reject,UplinkNASTransport,S1-MME,downlink
2025-11-10 23:24:16.875763,evt-00000010,mme-no-01,cluster-west-1,dc-newyork,PDN Connectivity,failure,118,cell-00243,tac-0100,imsi-775625,no_reject,DownlinkNASTransport,S6a,uplink
2025-11-10 23:24:46.875763,evt-00000011,mme-so-18,cluster-west-2,dc-chicago,Detach,success,31,cell-00314,tac-0060,imsi-900695,no_reject,InitialContextSetup,S11,downlink
2025-11-10 23:25:16.875763,evt-00000012,mme-so-14,cluster-west-1,dc-atlanta,Attach,success,177,cell-00264,tac-0049,imsi-648836,no_reject,InitialUEMessage,S11,uplink
2025-11-10 23:25:46.875763,evt-00000013,mme-no-13,cluster-east-2,dc-atlanta,Bearer Modification,success,192,cell-00471,tac-0014,imsi-470170,roaming_not_allowed,DownlinkNASTransport,S6a,uplink
2025-11-10 23:26:16.875763,evt-00000014,mme-no-25,cluster-east-2,dc-dallas,Service Request,success,95,cell-00038,tac-0080,imsi-745971,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-10 23:26:46.875763,evt-00000015,mme-no-04,cluster-east-1,dc-atlanta,TAU,success,39,cell-00106,tac-0085,imsi-937544,no_reject,InitialContextSetup,S1-MME,downlink
2025-11-10 23:27:16.875763,evt-00000016,mme-no-08,cluster-west-1,dc-seattle,Attach,success,7,cell-00355,tac-0049,imsi-819045,no_reject,DownlinkNASTransport,S1-MME,uplink
2025-11-10 23:27:46.875763,evt-00000017,mme-no-37,cluster-west-1,dc-seattle,Detach,timeout,77,cell-00298,tac-0028,imsi-398559,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:28:16.875763,evt-00000018,mme-no-38,cluster-east-2,dc-seattle,TAU,success,43,cell-00256,tac-0034,imsi-898472,no_reject,UEContextRelease,S6a,downlink
2025-11-10 23:28:46.875763,evt-00000019,mme-so-35,cluster-east-2,dc-chicago,Attach,success,183,cell-00186,tac-0060,imsi-702154,no_reject,UEContextRelease,S11,downlink
2025-11-10 23:29:16.875763,evt-00000020,mme-no-40,cluster-central,dc-dallas,TAU,success,54,cell-00407,tac-0072,imsi-680130,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:29:46.875763,evt-00000021,mme-so-23,cluster-west-2,dc-chicago,Service Request,success,33,cell-00129,tac-0008,imsi-250964,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:30:16.875763,evt-00000022,mme-no-40,cluster-east-2,dc-chicago,Service Request,success,100,cell-00301,tac-0045,imsi-639203,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-10 23:30:46.875763,evt-00000023,mme-no-15,cluster-central,dc-newyork,Bearer Modification,success,189,cell-00354,tac-0046,imsi-515936,no_reject,InitialUEMessage,S1-MME,downlink
2025-11-10 23:31:16.875763,evt-00000024,mme-no-33,cluster-east-2,dc-chicago,Service Request,success,64,cell-00146,tac-0087,imsi-373052,no_reject,InitialUEMessage,S10,uplink
2025-11-10 23:31:46.875763,evt-00000025,mme-so-02,cluster-east-1,dc-newyork,TAU,success,50,cell-00036,tac-0053,imsi-321642,no_reject,UEContextRelease,S6a,downlink
2025-11-10 23:32:16.875763,evt-00000026,mme-no-27,cluster-east-2,dc-newyork,TAU,success,42,cell-00214,tac-0046,imsi-751084,no_reject,InitialContextSetup,S1-MME,downlink
2025-11-10 23:32:46.875763,evt-00000027,mme-ce-44,cluster-east-2,dc-dallas,TAU,success,145,cell-00498,tac-0087,imsi-407820,no_reject,DownlinkNASTransport,S1-MME,uplink
2025-11-10 23:33:16.875763,evt-00000028,mme-so-28,cluster-east-2,dc-dallas,Service Request,timeout,117,cell-00014,tac-0084,imsi-312010,congestion,UplinkNASTransport,S1-MME,downlink
2025-11-10 23:33:46.875763,evt-00000029,mme-so-05,cluster-west-2,dc-dallas,TAU,success,155,cell-00340,tac-0085,imsi-241199,no_reject,DownlinkNASTransport,S1-MME,uplink
2025-11-10 23:34:16.875763,evt-00000030,mme-no-16,cluster-central,dc-seattle,TAU,success,13,cell-00388,tac-0038,imsi-669181,no_reject,InitialContextSetup,S10,uplink
2025-11-10 23:34:46.875763,evt-00000031,mme-so-09,cluster-east-2,dc-seattle,TAU,success,68,cell-00399,tac-0099,imsi-585835,no_reject,UEContextRelease,S6a,uplink
2025-11-10 23:35:16.875763,evt-00000032,mme-no-49,cluster-east-1,dc-atlanta,Attach,success,161,cell-00357,tac-0028,imsi-176666,no_reject,UplinkNASTransport,S6a,uplink
2025-11-10 23:35:46.875763,evt-00000033,mme-no-33,cluster-west-1,dc-chicago,Attach,success,55,cell-00219,tac-0096,imsi-425092,no_reject,InitialContextSetup,S1-MME,downlink
2025-11-10 23:36:16.875763,evt-00000034,mme-so-02,cluster-east-1,dc-seattle,Attach,success,5,cell-00284,tac-0063,imsi-413857,no_reject,UplinkNASTransport,S6a,downlink
2025-11-10 23:36:46.875763,evt-00000035,mme-so-02,cluster-east-1,dc-dallas,Bearer Modification,success,71,cell-00139,tac-0094,imsi-510039,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-10 23:37:16.875763,evt-00000036,mme-so-35,cluster-west-1,dc-dallas,Detach,success,796,cell-00346,tac-0087,imsi-171195,network_failure,InitialContextSetup,S1-MME,downlink
2025-11-10 23:37:46.875763,evt-00000037,mme-ce-26,cluster-east-2,dc-seattle,TAU,success,64,cell-00209,tac-0045,imsi-167892,no_reject,DownlinkNASTransport,S6a,uplink
2025-11-10 23:38:16.875763,evt-00000038,mme-so-30,cluster-central,dc-chicago,PDN Connectivity,success,503,cell-00399,tac-0064,imsi-621562,no_reject,InitialContextSetup,S10,downlink
2025-11-10 23:38:46.875763,evt-00000039,mme-no-08,cluster-central,dc-seattle,Service Request,success,23,cell-00324,tac-0001,imsi-728346,no_reject,InitialContextSetup,S6a,uplink
2025-11-10 23:39:16.875763,evt-00000040,mme-no-08,cluster-east-1,dc-seattle,Attach,success,19,cell-00014,tac-0074,imsi-241340,no_reject,DownlinkNASTransport,S10,downlink
2025-11-10 23:39:46.875763,evt-00000041,mme-so-09,cluster-central,dc-chicago,Service Request,success,163,cell-00097,tac-0027,imsi-227921,no_reject,UplinkNASTransport,S11,downlink
2025-11-10 23:40:16.875763,evt-00000042,mme-so-50,cluster-central,dc-dallas,Detach,success,87,cell-00158,tac-0021,imsi-684255,no_reject,InitialUEMessage,S6a,uplink
2025-11-10 23:40:46.875763,evt-00000043,mme-no-29,cluster-west-2,dc-dallas,TAU,success,180,cell-00055,tac-0067,imsi-827883,no_reject,DownlinkNASTransport,S1-MME,uplink
2025-11-10 23:41:16.875763,evt-00000044,mme-so-18,cluster-east-1,dc-chicago,Attach,success,63,cell-00495,tac-0091,imsi-870382,no_reject,UEContextRelease,S6a,uplink
2025-11-10 23:41:46.875763,evt-00000045,mme-no-33,cluster-west-1,dc-atlanta,TAU,success,58,cell-00464,tac-0095,imsi-355712,no_reject,DownlinkNASTransport,S11,downlink
2025-11-10 23:42:16.875763,evt-00000046,mme-so-35,cluster-central,dc-seattle,TAU,success,87,cell-00062,tac-0094,imsi-434857,no_reject,UEContextRelease,S11,uplink
2025-11-10 23:42:46.875763,evt-00000047,mme-so-30,cluster-west-2,dc-chicago,TAU,timeout,62,cell-00302,tac-0020,imsi-539702,no_reject,InitialUEMessage,S1-MME,downlink
2025-11-10 23:43:16.875763,evt-00000048,mme-so-35,cluster-west-1,dc-chicago,TAU,success,57,cell-00007,tac-0050,imsi-972126,no_reject,UEContextRelease,S10,downlink
2025-11-10 23:43:46.875763,evt-00000049,mme-so-10,cluster-west-1,dc-newyork,Service Request,timeout,133,cell-00277,tac-0035,imsi-637804,roaming_not_allowed,InitialUEMessage,S1-MME,uplink
2025-11-10 23:44:16.875763,evt-00000050,mme-so-28,cluster-east-2,dc-dallas,Attach,success,110,cell-00073,tac-0008,imsi-588234,network_failure,UplinkNASTransport,S1-MME,downlink
2025-11-10 23:44:46.875763,evt-00000051,mme-ce-19,cluster-west-1,dc-dallas,TAU,success,127,cell-00158,tac-0079,imsi-475897,no_reject,InitialUEMessage,S1-MME,downlink
