@timestamp,event_id,event_type,attack_type,source_network,source_ip,source_global_title,target_imsi_hash,blocked,severity,interface,attack_description
2025-11-10 06:42:16.938152,sec-0000001,Rate_Limit_Exceeded,IMSI_Catching,roaming-partner-01,92.38.5.30,+7227791374669,imsi-786141,True,medium,Diameter,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 06:45:16.938152,sec-0000002,Rate_Limit_Exceeded,Fraud_Attempt,domestic-mvno,151.138.66.210,+1604402859211,imsi-961104,True,low,S1-MME,Rate limit exceeded for location update requests from single source network
2025-11-10 06:48:16.938152,sec-0000003,SS7_Attack,Fraud_Attempt,international-roam,79.159.28.183,+4108639980023,imsi-333431,True,high,SS7,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 06:51:16.938152,sec-0000004,Diameter_Attack,DoS_Attack,domestic-mvno,135.175.20.86,+8908214776249,imsi-684397,True,medium,Diameter,Rate limit exceeded for location update requests from single source network
2025-11-10 06:54:16.938152,sec-0000005,SS7_Attack,DoS_Attack,roaming-partner-01,141.151.98.219,+2355409652480,imsi-788978,True,high,S1-MME,Malformed Diameter message received with invalid AVP structure from roaming partner
2025-11-10 06:57:16.938152,sec-0000006,Malformed_Message,IMSI_Catching,roaming-partner-01,42.149.99.248,+8856986174391,imsi-741330,True,high,SS7,Rate limit exceeded for location update requests from single source network
2025-11-10 07:00:16.938152,sec-0000007,SS7_Attack,IMSI_Catching,international-roam,79.139.246.56,+3435110980178,imsi-192437,False,high,Diameter,Suspicious IMSI probing detected from foreign network attempting to track subscriber location
2025-11-10 07:03:16.938152,sec-0000008,Rogue_Network,IMSI_Catching,roaming-partner-02,126.237.14.73,+2122911299871,imsi-436580,True,low,Diameter,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:06:16.938152,sec-0000009,Rogue_Network,Location_Tracking,domestic-mvno,58.103.45.122,+7403395593629,imsi-641672,True,medium,SS7,Potential SMS interception attack detected based on message pattern analysis
2025-11-10 07:09:16.938152,sec-0000010,Rogue_Network,Scanning,roaming-partner-02,160.175.35.24,+7045550394773,imsi-609817,True,medium,S1-MME,Rate limit exceeded for location update requests from single source network
2025-11-10 07:12:16.938152,sec-0000011,Rogue_Network,DoS_Attack,international-roam,15.36.92.176,+8763043283875,imsi-760938,True,low,S1-MME,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:15:16.938152,sec-0000012,Malformed_Message,Location_Tracking,international-roam,193.190.122.172,+2665017359993,imsi-223845,True,medium,SS7,Potential SMS interception attack detected based on message pattern analysis
2025-11-10 07:18:16.938152,sec-0000013,SS7_Attack,Fraud_Attempt,domestic-mvno,169.202.230.240,+6326986594603,imsi-939567,True,medium,S1-MME,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 07:21:16.938152,sec-0000014,SS7_Attack,Fraud_Attempt,roaming-partner-02,25.231.9.29,+595109475599,imsi-382699,True,high,SS7,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:24:16.938152,sec-0000015,Rogue_Network,Fraud_Attempt,roaming-partner-02,27.177.54.110,+1593655390063,imsi-128690,True,medium,SS7,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 07:27:16.938152,sec-0000016,Diameter_Attack,IMSI_Catching,roaming-partner-02,150.154.243.220,+9067487059077,imsi-401969,False,low,S1-MME,Suspicious IMSI probing detected from foreign network attempting to track subscriber location
2025-11-10 07:30:16.938152,sec-0000017,SS7_Attack,SMS_Interception,domestic-mvno,112.90.141.97,+3883815754983,imsi-893146,True,critical,S6a,Malformed Diameter message received with invalid AVP structure from roaming partner
2025-11-10 07:33:16.938152,sec-0000018,Rate_Limit_Exceeded,Location_Tracking,roaming-partner-01,118.154.128.206,+5694483727722,imsi-816214,True,high,Diameter,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:36:16.938152,sec-0000019,Diameter_Attack,DoS_Attack,roaming-partner-01,187.71.57.211,+843491471501,imsi-707449,True,high,Diameter,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:39:16.938152,sec-0000020,Rogue_Network,Fraud_Attempt,unknown-network,130.114.107.114,+2967648854691,imsi-825762,True,medium,S6a,Suspicious IMSI probing detected from foreign network attempting to track subscriber location
2025-11-10 07:42:16.938152,sec-0000021,SS7_Attack,DoS_Attack,roaming-partner-01,165.109.161.104,+811285464711,imsi-370784,True,high,Diameter,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 07:45:16.938152,sec-0000022,Rogue_Network,Fraud_Attempt,international-roam,178.83.144.250,+5596787690581,imsi-640109,True,low,Diameter,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 07:48:16.938152,sec-0000023,Diameter_Attack,DoS_Attack,domestic-mvno,77.132.48.42,+4337440085383,imsi-909592,True,high,Diameter,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 07:51:16.938152,sec-0000024,Rogue_Network,Location_Tracking,domestic-mvno,12.62.118.166,+2363537814921,imsi-132271,True,high,SS7,Rate limit exceeded for location update requests from single source network
2025-11-10 07:54:16.938152,sec-0000025,Diameter_Attack,IMSI_Catching,domestic-mvno,137.64.173.225,+1688577891171,imsi-257186,True,high,Diameter,Malformed Diameter message received with invalid AVP structure from roaming partner
2025-11-10 07:57:16.938152,sec-0000026,SS7_Attack,Location_Tracking,international-roam,44.192.7.141,+3716716288410,imsi-708683,True,medium,S6a,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 08:00:16.938152,sec-0000027,SS7_Attack,Location_Tracking,domestic-mvno,147.70.15.65,+7413436683160,imsi-943325,True,medium,Diameter,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 08:03:16.938152,sec-0000028,Diameter_Attack,Scanning,roaming-partner-02,129.202.72.50,+9745128383952,imsi-187534,True,medium,S6a,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 08:06:16.938152,sec-0000029,Diameter_Attack,SMS_Interception,international-roam,75.99.3.194,+8533141206957,imsi-775948,False,high,S1-MME,Rate limit exceeded for location update requests from single source network
2025-11-10 08:09:16.938152,sec-0000030,Rate_Limit_Exceeded,Location_Tracking,domestic-mvno,80.201.29.187,+9724633774613,imsi-475807,True,high,Diameter,Rate limit exceeded for location update requests from single source network
2025-11-10 08:12:16.938152,sec-0000031,SS7_Attack,IMSI_Catching,roaming-partner-02,40.19.31.77,+5307551608832,imsi-404935,False,high,SS7,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 08:15:16.938152,sec-0000032,Diameter_Attack,IMSI_Catching,domestic-mvno,192.164.180.187,+8196911634319,imsi-125975,True,critical,SS7,Malformed Diameter message received with invalid AVP structure from roaming partner
2025-11-10 08:18:16.938152,sec-0000033,Rogue_Network,IMSI_Catching,domestic-mvno,185.100.34.5,+3423180202728,imsi-391226,True,medium,SS7,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 08:21:16.938152,sec-0000034,Rogue_Network,Scanning,roaming-partner-02,15.109.200.218,+3456967224233,imsi-353282,True,high,S1-MME,Potential SMS interception attack detected based on message pattern analysis
2025-11-10 08:24:16.938152,sec-0000035,Malformed_Message,DoS_Attack,domestic-mvno,142.129.157.111,+7758391090354,imsi-387123,True,medium,S1-MME,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 08:27:16.938152,sec-0000036,Rogue_Network,Location_Tracking,roaming-partner-01,95.105.236.58,+6327975821436,imsi-348427,True,medium,Diameter,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 08:30:16.938152,sec-0000037,SS7_Attack,IMSI_Catching,roaming-partner-02,187.16.101.238,+3819231689216,imsi-757391,True,medium,Diameter,SS7 MAP message with suspicious routing detected attempting subscriber interception
2025-11-10 08:33:16.938152,sec-0000038,SS7_Attack,SMS_Interception,roaming-partner-02,154.103.111.253,+1257368038554,imsi-112641,False,low,Diameter,Potential SMS interception attack detected based on message pattern analysis
2025-11-10 08:36:16.938152,sec-0000039,Rate_Limit_Exceeded,Fraud_Attempt,roaming-partner-02,114.223.17.162,+3054583800934,imsi-575134,True,medium,S1-MME,Multiple authentication requests from unknown global title indicating potential fraud
2025-11-10 08:39:16.938152,sec-0000040,Diameter_Attack,Scanning,roaming-partner-02,91.84.93.113,+509015629926,imsi-294231,True,high,SS7,Rate limit exceeded for location update requests from single source network
