transaction_id,@timestamp,customer_id,product_id,channel,transaction_amount,payment_method,store_location,campaign_id
TXN00000001,2025-10-17 08:15:20.082623,CUST000145,PROD000091,e-commerce,103.8,credit_card,Westside Mall,CAMP0069
TXN00000002,2025-10-17 08:30:20.082623,CUST000108,PROD000118,e-commerce,43.79,buy_now_pay_later,Airport,CAMP0034
TXN00000003,2025-10-17 08:45:20.082623,CUST000070,PROD000042,e-commerce,38.13,buy_now_pay_later,Riverside,CAMP0025
TXN00000004,2025-10-17 09:00:20.082623,CUST000085,PROD000037,in-store,34.63,credit_card,East Market,CAMP0062
TXN00000005,2025-10-17 09:15:20.082623,CUST000086,PROD000115,e-commerce,75.1,credit_card,Uptown,CAMP0037
TXN00000006,2025-10-17 09:30:20.082623,CUST000008,PROD000149,e-commerce,34.07,credit_card,Downtown,CAMP0036
TXN00000007,2025-10-17 09:45:20.082623,CUST000069,PROD000026,e-commerce,204.67,digital_wallet,Riverside,CAMP0065
TXN00000008,2025-10-17 10:00:20.082623,CUST000161,PROD000053,in-store,28.46,cash,South Center,CAMP0021
TXN00000009,2025-10-17 10:15:20.082623,CUST000128,PROD000037,e-commerce,16.45,digital_wallet,Riverside,CAMP0018
TXN00000010,2025-10-17 10:30:20.082623,CUST000036,PROD000017,e-commerce,34.56,buy_now_pay_later,Metro Station,NONE
TXN00000011,2025-10-17 10:45:20.082623,CUST000198,PROD000011,in-store,61.44,buy_now_pay_later,Westside Mall,CAMP0073
TXN00000012,2025-10-17 11:00:20.082623,CUST000009,PROD000028,in-store,15.6,cash,South Center,NONE
TXN00000013,2025-10-17 11:15:20.082623,CUST000192,PROD000093,e-commerce,27.84,credit_card,Suburban Center,CAMP0015
TXN00000014,2025-10-17 11:30:20.082623,CUST000055,PROD000105,in-store,16.36,buy_now_pay_later,North Plaza,CAMP0052
TXN00000015,2025-10-17 11:45:20.082623,CUST000069,PROD000045,in-store,23.25,debit_card,Downtown,CAMP0030
TXN00000016,2025-10-17 12:00:20.082623,CUST000026,PROD000047,in-store,43.67,buy_now_pay_later,Metro Station,NONE
TXN00000017,2025-10-17 12:15:20.082623,CUST000136,PROD000076,in-store,36.91,buy_now_pay_later,Suburban Center,CAMP0047
TXN00000018,2025-10-17 12:30:20.082623,CUST000138,PROD000101,in-store,33.63,digital_wallet,Downtown,CAMP0008
TXN00000019,2025-10-17 12:45:20.082623,CUST000181,PROD000103,e-commerce,59.01,credit_card,East Market,NONE
TXN00000020,2025-10-17 13:00:20.082623,CUST000173,PROD000063,in-store,254.57,digital_wallet,Westside Mall,NONE
TXN00000021,2025-10-17 13:15:20.082623,CUST000092,PROD000055,e-commerce,47.73,cash,Westside Mall,CAMP0020
TXN00000022,2025-10-17 13:30:20.082623,CUST000119,PROD000037,in-store,17.65,debit_card,Westside Mall,CAMP0020
TXN00000023,2025-10-17 13:45:20.082623,CUST000145,PROD000053,e-commerce,20.22,digital_wallet,South Center,CAMP0022
TXN00000024,2025-10-17 14:00:20.082623,CUST000012,PROD000032,e-commerce,8.35,credit_card,Uptown,CAMP0029
TXN00000025,2025-10-17 14:15:20.082623,CUST000031,PROD000013,in-store,59.97,credit_card,East Market,CAMP0014
TXN00000026,2025-10-17 14:30:20.082623,CUST000171,PROD000017,e-commerce,115.33,debit_card,Downtown,CAMP0062
TXN00000027,2025-10-17 14:45:20.082623,CUST000070,PROD000079,in-store,34.52,buy_now_pay_later,East Market,CAMP0037
TXN00000028,2025-10-17 15:00:20.082623,CUST000168,PROD000043,e-commerce,46.11,debit_card,Airport,NONE
TXN00000029,2025-10-17 15:15:20.082623,CUST000081,PROD000090,in-store,96.49,debit_card,Metro Station,CAMP0062
TXN00000030,2025-10-17 15:30:20.082623,CUST000124,PROD000032,e-commerce,16.37,digital_wallet,Riverside,CAMP0045
TXN00000031,2025-10-17 15:45:20.082623,CUST000080,PROD000043,e-commerce,44.28,credit_card,Metro Station,CAMP0064
TXN00000032,2025-10-17 16:00:20.082623,CUST000005,PROD000144,e-commerce,11.89,debit_card,Airport,CAMP0041
TXN00000033,2025-10-17 16:15:20.082623,CUST000049,PROD000128,e-commerce,41.54,cash,Uptown,CAMP0080
TXN00000034,2025-10-17 16:30:20.082623,CUST000182,PROD000041,in-store,76.19,debit_card,Airport,CAMP0027
TXN00000035,2025-10-17 16:45:20.082623,CUST000088,PROD000021,e-commerce,62.44,buy_now_pay_later,South Center,NONE
TXN00000036,2025-10-17 17:00:20.082623,CUST000104,PROD000007,in-store,34.93,debit_card,Riverside,CAMP0057
TXN00000037,2025-10-17 17:15:20.082623,CUST000133,PROD000037,e-commerce,17.82,digital_wallet,South Center,CAMP0036
TXN00000038,2025-10-17 17:30:20.082623,CUST000113,PROD000024,e-commerce,14.84,buy_now_pay_later,Downtown,NONE
TXN00000039,2025-10-17 17:45:20.082623,CUST000182,PROD000133,e-commerce,63.28,buy_now_pay_later,North Plaza,CAMP0046
