denial_code,denial_reason,common_resolution,appeal_success_rate,category
D001,Coordination of benefits issue,No action needed - original claim paid,0.6917874212488615,Medical Necessity
D002,Service not covered under member plan,Submit clinical documentation supporting medical necessity,0.7573804822867634,Authorization Required
D003,Out-of-network provider without authorization,Contact provider for corrected claim,0.4585869544850457,Coding Error
D004,Claim submitted beyond timely filing limit,Contact provider for corrected claim,0.617695935400342,Coding Error
D005,Plan exclusion applies,Review plan documents with member,0.6093526536333498,Medical Necessity
D006,Plan exclusion applies,Contact provider for corrected claim,0.28651247292945775,Medical Necessity
D007,Coordination of benefits issue,Review plan documents with member,0.7781353233246544,Duplicate Claim
D008,Incorrect procedure code submitted,Submit clinical documentation supporting medical necessity,0.38518847367636194,Timely Filing
D009,Prior authorization required but not obtained,Provide itemized bill and medical records,0.3839111064870782,Duplicate Claim
D010,Claim submitted beyond timely filing limit,Contact provider for corrected claim,0.24284962384410144,Coding Error
D011,Service not medically necessary per clinical guidelines,Appeal with policy exception request,0.3706902979556199,Timely Filing
D012,Incorrect procedure code submitted,Update COB information with primary carrier,0.6996847435841808,Timely Filing
D013,Service not covered under member plan,No action needed - original claim paid,0.1838001700471488,Authorization Required
D014,Plan exclusion applies,Update COB information with primary carrier,0.5664890193493182,Medical Necessity
D015,Service not medically necessary per clinical guidelines,Submit gap exception request,0.7286494622529988,Authorization Required
D016,Prior authorization required but not obtained,Contact provider for corrected claim,0.2892451233737783,Medical Necessity
D017,Coordination of benefits issue,Submit gap exception request,0.5323254370137162,Non-Covered Service
D018,Plan exclusion applies,No action needed - original claim paid,0.5259232491065396,Timely Filing
D019,Incorrect procedure code submitted,Update COB information with primary carrier,0.364150422596775,Timely Filing
D020,Service not covered under member plan,Submit clinical documentation supporting medical necessity,0.47825654482357516,Duplicate Claim
D021,Missing required documentation,Appeal with policy exception request,0.37434696530460126,Timely Filing
D022,Plan exclusion applies,Appeal with policy exception request,0.800391423059921,Medical Necessity
D023,Prior authorization required but not obtained,Obtain retroactive prior authorization,0.42000665308036383,Timely Filing
D024,Service not covered under member plan,Obtain retroactive prior authorization,0.47348058956906347,Timely Filing
D025,Plan exclusion applies,Contact provider for corrected claim,0.38063202874095714,Medical Necessity
D026,Service not covered under member plan,Submit gap exception request,0.3854573925047446,Coding Error
D027,Missing required documentation,Provide itemized bill and medical records,0.8210753946145317,Non-Covered Service
D028,Claim submitted beyond timely filing limit,Resubmit with correct CPT/ICD-10 codes,0.31445187323777607,Non-Covered Service
D029,Coordination of benefits issue,Contact provider for corrected claim,0.4560508886046989,Coding Error
D030,Claim submitted beyond timely filing limit,Provide itemized bill and medical records,0.3710618612660742,Authorization Required
D031,Missing required documentation,Resubmit with correct CPT/ICD-10 codes,0.551595273516725,Medical Necessity
D032,Service not medically necessary per clinical guidelines,Submit clinical documentation supporting medical necessity,0.15685137883160885,Authorization Required
D033,Claim submitted beyond timely filing limit,Submit gap exception request,0.2561970348493281,Coding Error
D034,Incorrect procedure code submitted,Submit gap exception request,0.49030337750266434,Duplicate Claim
D035,Service not medically necessary per clinical guidelines,Obtain retroactive prior authorization,0.17450334718155439,Duplicate Claim
D036,Service not covered under member plan,No action needed - original claim paid,0.3249102319546765,Timely Filing
D037,Duplicate claim already processed,Submit clinical documentation supporting medical necessity,0.5230200092574551,Duplicate Claim
D038,Incorrect procedure code submitted,Provide itemized bill and medical records,0.3067186690553399,Duplicate Claim
D039,Out-of-network provider without authorization,No action needed - original claim paid,0.1979592578174546,Authorization Required
D040,Plan exclusion applies,Contact provider for corrected claim,0.6880247241455388,Coding Error
D041,Coordination of benefits issue,Contact provider for corrected claim,0.4801796073763272,Timely Filing
D042,Missing required documentation,Appeal with policy exception request,0.7654349836253905,Timely Filing
D043,Duplicate claim already processed,Review plan documents with member,0.8116738587574631,Coding Error
D044,Out-of-network provider without authorization,Update COB information with primary carrier,0.7732538573534704,Non-Covered Service
D045,Out-of-network provider without authorization,Appeal with policy exception request,0.3779811239846246,Duplicate Claim
D046,Incorrect procedure code submitted,Contact provider for corrected claim,0.419072517022209,Authorization Required
D047,Service not medically necessary per clinical guidelines,Provide itemized bill and medical records,0.6245744670425373,Timely Filing
D048,Claim submitted beyond timely filing limit,Provide itemized bill and medical records,0.6910077618717488,Coding Error
D049,Service not medically necessary per clinical guidelines,No action needed - original claim paid,0.3550739474829944,Medical Necessity
D050,Claim submitted beyond timely filing limit,Submit clinical documentation supporting medical necessity,0.5399449370046379,Coding Error
D051,Plan exclusion applies,Provide itemized bill and medical records,0.8344383587069666,Medical Necessity
D052,Service not covered under member plan,Resubmit with correct CPT/ICD-10 codes,0.3368453482446293,Coding Error
D053,Duplicate claim already processed,Review plan documents with member,0.400106904426646,Timely Filing
D054,Plan exclusion applies,Contact provider for corrected claim,0.7841305686351437,Non-Covered Service
D055,Incorrect procedure code submitted,Submit clinical documentation supporting medical necessity,0.6355249680723754,Timely Filing
D056,Duplicate claim already processed,Obtain retroactive prior authorization,0.3794619547116771,Coding Error
