recommendation_id,user_id,content_id,explanation_text,reasoning_factors,similarity_score,preference_match_themes,created_at
REC-00000000,USER-0004172,CONTENT-000679,Based on your preference for Whimsical tone and Simple narrative complexity,"Trending content,Narrative complexity,New release",0.9420546123198815,"Good vs evil,Post-apocalyptic,Identity crisis",2025-11-10 02:16:48.783598
REC-00000001,USER-0002791,CONTENT-000473,Popular among viewers who share your interest in Thriller and Coming of age,"Genre match,Trending content,Highly rated",0.9134927863412372,"Identity crisis,Historical drama",2025-11-10 02:21:48.783598
REC-00000002,USER-0000023,CONTENT-000409,Recommended because you enjoyed similar Betrayal themes in Comedy content,"Genre match,Popular with similar users,New release,Theme similarity",0.7710128874697,"Class struggle,Corporate intrigue",2025-11-10 02:26:48.783598
REC-00000003,USER-0004149,CONTENT-001015,Similar to content you've watched with Class struggle themes,"Highly rated,Genre match",0.7745941501753532,"Time travel,Post-apocalyptic,Love triangle",2025-11-10 02:31:48.783598
REC-00000004,USER-0003123,CONTENT-000307,Matches your preference for Intense storytelling with Moderate plots,"Trending content,Tone preference",0.8446659301908604,"Survival,Love triangle,Class struggle",2025-11-10 02:36:48.783598
REC-00000005,USER-0001670,CONTENT-000727,Popular among viewers who share your interest in Romance and Betrayal,"Completion rate,Narrative complexity",0.6715378031183837,"Moral ambiguity,Time travel",2025-11-10 02:41:48.783598
REC-00000006,USER-0001904,CONTENT-000128,Similar to content you've watched with Historical drama themes,"Popular with similar users,Highly rated,Theme similarity",0.7219967694794911,"Generational conflict,Corporate intrigue",2025-11-10 02:46:48.783598
REC-00000007,USER-0003277,CONTENT-000411,Matches your preference for Intense storytelling with Complex plots,"Tone preference,Director preference,Highly rated,Genre match",0.7647798286432049,"Identity crisis,Social justice",2025-11-10 02:51:48.783598
REC-00000008,USER-0001726,CONTENT-001636,Based on your preference for Gritty tone and Moderate narrative complexity,"Director preference,Narrative complexity,New release",0.7711522007560643,"Time travel,Corporate intrigue,Mental health",2025-11-10 02:56:48.783598
REC-00000009,USER-0003889,CONTENT-001563,Based on your preference for Serious tone and Complex narrative complexity,"Popular with similar users,Highly rated",0.8066872548264544,"Historical drama,Betrayal",2025-11-10 03:01:48.783598
REC-00000010,USER-0000608,CONTENT-001995,Recommended because you enjoyed similar Corporate intrigue themes in Drama content,"Popular with similar users,Narrative complexity",0.754216895212615,"Parallel universes,Historical drama",2025-11-10 03:06:48.783598
REC-00000011,USER-0001669,CONTENT-000511,Based on your preference for Uplifting tone and Simple narrative complexity,"Similar viewing history,Completion rate,New release",0.9592087530830103,"Betrayal,Redemption arc",2025-11-10 03:11:48.783598
REC-00000012,USER-0003311,CONTENT-001884,Based on your preference for Whimsical tone and Very Complex narrative complexity,"Narrative complexity,Cast preference,Completion rate,Director preference",0.7130456433350189,"Redemption arc,Political power",2025-11-10 03:16:48.783598
REC-00000013,USER-0002923,CONTENT-001395,Similar to content you've watched with Moral ambiguity themes,"Highly rated,Tone preference",0.8765058270498343,"Mental health,Family dynamics,Generational conflict",2025-11-10 03:21:48.783598
REC-00000014,USER-0004503,CONTENT-001358,Based on your preference for Light tone and Complex narrative complexity,"Trending content,Popular with similar users,Similar viewing history,Theme similarity",0.9336668153248036,"Identity crisis,Redemption arc,Post-apocalyptic",2025-11-10 03:26:48.783598
REC-00000015,USER-0004010,CONTENT-001389,Similar to content you've watched with Revenge quest themes,"Popular with similar users,Tone preference,Highly rated,Cast preference",0.8602779615516366,"Redemption arc,Identity crisis",2025-11-10 03:31:48.783598
REC-00000016,USER-0002554,CONTENT-001605,Popular among viewers who share your interest in Drama and Friendship bonds,"New release,Tone preference",0.9157789522755576,"Family dynamics,Friendship bonds,Coming of age",2025-11-10 03:36:48.783598
REC-00000017,USER-0004148,CONTENT-001784,Similar to content you've watched with Parallel universes themes,"Popular with similar users,Narrative complexity,Completion rate",0.6671792418416205,"Survival,Betrayal",2025-11-10 03:41:48.783598
REC-00000018,USER-0004369,CONTENT-001734,Recommended because you enjoyed similar Corporate intrigue themes in Comedy content,"Tone preference,Theme similarity,Completion rate",0.671701798811663,"Friendship bonds,Betrayal",2025-11-10 03:46:48.783598
REC-00000019,USER-0000966,CONTENT-000906,Similar to content you've watched with Mental health themes,"Theme similarity,Tone preference,Genre match,Narrative complexity",0.8387408275848426,"Coming of age,Post-apocalyptic",2025-11-10 03:51:48.783598
REC-00000020,USER-0003669,CONTENT-001438,Similar to content you've watched with Coming of age themes,"New release,Trending content,Completion rate,Theme similarity",0.9488281333017489,"Mental health,Good vs evil",2025-11-10 03:56:48.783598
REC-00000021,USER-0002697,CONTENT-001061,Popular among viewers who share your interest in SciFi and Time travel,"Director preference,Narrative complexity",0.8315037284449217,"Betrayal,Mental health",2025-11-10 04:01:48.783598
REC-00000022,USER-0004909,CONTENT-001207,Recommended because you enjoyed similar Survival themes in Family content,"Narrative complexity,Similar viewing history,Highly rated,Genre match",0.8215406582459098,"Coming of age,Mental health",2025-11-10 04:06:48.783598
REC-00000023,USER-0001939,CONTENT-000564,Similar to content you've watched with Post-apocalyptic themes,"Highly rated,Popular with similar users",0.7000971707100488,"Class struggle,Time travel",2025-11-10 04:11:48.783598
REC-00000024,USER-0001817,CONTENT-000068,Based on your preference for Serious tone and Very Complex narrative complexity,"Narrative complexity,Theme similarity,Similar viewing history",0.7508554234760889,"Social justice,Parallel universes,Time travel",2025-11-10 04:16:48.783598
REC-00000025,USER-0000233,CONTENT-000874,Recommended because you enjoyed similar Love triangle themes in Animation content,"Similar viewing history,New release,Theme similarity",0.8030086864749719,"Good vs evil,Generational conflict,Post-apocalyptic",2025-11-10 04:21:48.783598
REC-00000026,USER-0004669,CONTENT-001173,Popular among viewers who share your interest in Thriller and Coming of age,"Theme similarity,New release",0.7086066705239458,"Parallel universes,Time travel,Post-apocalyptic",2025-11-10 04:26:48.783598
REC-00000027,USER-0001934,CONTENT-001917,Based on your preference for Gritty tone and Very Complex narrative complexity,"Similar viewing history,New release,Genre match",0.7261156652105109,"Identity crisis,Addiction recovery,Revenge quest",2025-11-10 04:31:48.783598
REC-00000028,USER-0001375,CONTENT-001925,Matches your preference for Intense storytelling with Complex plots,"Tone preference,Highly rated,Narrative complexity,New release",0.6622095202983627,"Love triangle,Revenge quest,Moral ambiguity",2025-11-10 04:36:48.783598
REC-00000029,USER-0001953,CONTENT-000146,Matches your preference for Uplifting storytelling with Simple plots,"Similar viewing history,Cast preference,Theme similarity",0.904898218300325,"Redemption arc,Political power,Historical drama",2025-11-10 04:41:48.783598
REC-00000030,USER-0000758,CONTENT-000300,Based on your preference for Intense tone and Very Complex narrative complexity,"Narrative complexity,Similar viewing history,Trending content",0.8989558626800873,"Corporate intrigue,Identity crisis,Redemption arc",2025-11-10 04:46:48.783598
REC-00000031,USER-0001638,CONTENT-000045,Similar to content you've watched with Addiction recovery themes,"Completion rate,New release,Trending content",0.9145227041378657,"Addiction recovery,Good vs evil",2025-11-10 04:51:48.783598
