user_id,subscriber_id,preference_vector,liked_themes,disliked_themes,preferred_genres,avoided_genres,preferred_tone,complexity_preference,session_count,profile_maturity,last_updated,cold_start_phase
USER-0000000,SUB-0000000,"0.4481,0.1834,0.8023,0.8278,0.2846,0.7025,0.5874,0.0764,0.9537,0.5006,0.4560,0.7603,0.0839,0.1386,0.0185,0.8658,0.5073,0.4476,0.9322,0.9858","Identity crisis,Addiction recovery,Family dynamics",Identity crisis,"Thriller,Comedy,Romance,Documentary",Documentary,Dark,Moderate,2,Established,2025-09-22 11:46:48.711304,False
USER-0000001,SUB-0000001,"0.3111,0.5651,0.1880,0.3170,0.5005,0.2421,0.9405,0.0564,0.7380,0.5199,0.8680,0.4024,0.6705,0.6031,0.3127,0.6353,0.9632,0.2973,0.5775,0.8203","Survival,Friendship bonds,Betrayal,Identity crisis","Love triangle,Mental health,Good vs evil","Animation,Comedy",,Intense,Moderate,15,Developing,2025-09-22 12:01:48.711304,False
USER-0000002,SUB-0000002,"0.3079,0.2858,0.2807,0.0995,0.0147,0.2554,0.7972,0.4512,0.6268,0.5800,0.0757,0.6638,0.5230,0.2353,0.6091,0.9610,0.1862,0.4116,0.2424,0.0385","Generational conflict,Coming of age,Addiction recovery,Artificial intelligence,Family dynamics",Survival,"Adventure,Horror,Drama",Thriller,Intense,Simple,5,Cold Start,2025-09-22 12:16:48.711304,False
USER-0000003,SUB-0000003,"0.7988,0.0981,0.1579,0.0338,0.0280,0.5321,0.0344,0.2614,0.2182,0.6172,0.3241,0.5450,0.7066,0.9099,0.3039,0.1691,0.1453,0.4936,0.8649,0.8110","Artificial intelligence,Survival,Love triangle",Historical drama,"Family,Action,Thriller,Mystery","Comedy,SciFi",Uplifting,Simple,35,Mature,2025-09-22 12:31:48.711304,False
USER-0000004,SUB-0000004,"0.9296,0.5371,0.7856,0.0218,0.3600,0.2513,0.3155,0.0908,0.5053,0.2846,0.6471,0.3217,0.1033,0.5542,0.9803,0.2094,0.4183,0.9900,0.1465,0.8718","Post-apocalyptic,Good vs evil,Addiction recovery,Betrayal,Generational conflict,Parallel universes",Corporate intrigue,"SciFi,Mystery","Horror,Animation",Whimsical,Complex,75,Established,2025-09-22 12:46:48.711304,False
USER-0000005,SUB-0000005,"0.3100,0.6314,0.3303,0.5807,0.0714,0.3183,0.3275,0.5221,0.5378,0.6424,0.7987,0.0976,0.7881,0.6700,0.2364,0.4644,0.4478,0.1715,0.0737,0.5709","Friendship bonds,Time travel,Love triangle","Survival,Addiction recovery,Class struggle","Drama,Thriller",,Light,Very Complex,15,Established,2025-09-22 13:01:48.711304,True
USER-0000006,SUB-0000006,"0.7480,0.0399,0.7759,0.0366,0.5007,0.1532,0.9734,0.9041,0.4979,0.6405,0.2226,0.4761,0.0170,0.5260,0.0273,0.5522,0.2183,0.8861,0.7647,0.4005","Generational conflict,Addiction recovery,Redemption arc,Post-apocalyptic","Family dynamics,Friendship bonds","Romance,Animation,Family,Thriller","Horror,Animation",Light,Complex,5,Developing,2025-09-22 13:16:48.711304,False
USER-0000007,SUB-0000007,"0.4306,0.8134,0.8813,0.5856,0.6085,0.0950,0.2677,0.4970,0.5521,0.3672,0.4922,0.8719,0.0558,0.7829,0.8916,0.0464,0.3470,0.0602,0.5939,0.0904","Artificial intelligence,Betrayal,Generational conflict,Addiction recovery","Moral ambiguity,Mental health,Identity crisis","Thriller,Drama","Drama,Family",Serious,Simple,35,Established,2025-09-22 13:31:48.711304,False
USER-0000008,SUB-0000008,"0.6409,0.3732,0.8067,0.6075,0.9038,0.0586,0.1316,0.1979,0.6794,0.9668,0.1196,0.2873,0.5838,0.1221,0.5396,0.5168,0.9690,0.8251,0.3194,0.7263","Good vs evil,Friendship bonds,Mental health,Political power,Betrayal",Redemption arc,"Drama,Thriller",Action,Intense,Very Complex,15,Cold Start,2025-09-22 13:46:48.711304,True
USER-0000009,SUB-0000009,"0.2983,0.7151,0.1144,0.8038,0.0295,0.0390,0.7192,0.3159,0.4547,0.0308,0.5650,0.7614,0.6590,0.6723,0.9047,0.1266,0.5305,0.8412,0.3397,0.7935","Generational conflict,Identity crisis,Revenge quest,Class struggle,Artificial intelligence","Love triangle,Generational conflict,Revenge quest","Horror,Action,Animation,Documentary",Fantasy,Uplifting,Very Complex,15,Mature,2025-09-22 14:01:48.711304,False
