event_id,user_id,content_id,event_type,watch_duration_seconds,completion_percentage,skipped,dismissed,rating_given,interaction_context,@timestamp
EVT-0000000000,USER-0000611,CONTENT-001273,play,897,0.1340464877671411,False,False,0,Watchlist,2025-11-12 14:11:55.715540
EVT-0000000001,USER-0004504,CONTENT-001868,complete,2015,0.824739793004882,False,False,0,Recommendation,2025-11-12 14:12:02.715540
EVT-0000000002,USER-0003951,CONTENT-001317,complete,2953,0.7617341873472202,False,False,0,Watchlist,2025-11-12 14:12:09.715540
EVT-0000000003,USER-0002655,CONTENT-001325,pause,1146,0.4694319499736859,False,False,0,Search,2025-11-12 14:12:16.715540
EVT-0000000004,USER-0003728,CONTENT-001938,play,5482,0.7415321040819024,False,False,0,Recommendation,2025-11-12 14:12:23.715540
EVT-0000000005,USER-0002416,CONTENT-000192,pause,2700,0.5604648165613122,False,False,0,Search,2025-11-12 14:12:30.715540
EVT-0000000006,USER-0000341,CONTENT-000927,complete,1491,0.9431560375930982,False,False,0,Recommendation,2025-11-12 14:12:37.715540
EVT-0000000007,USER-0003845,CONTENT-000324,pause,3661,0.7417460749619704,False,False,0,Recommendation,2025-11-12 14:12:44.715540
EVT-0000000008,USER-0000166,CONTENT-000920,pause,6061,0.6189384122592685,False,False,0,Search,2025-11-12 14:12:51.715540
EVT-0000000009,USER-0002422,CONTENT-001871,stop,3272,0.23264249156145828,False,False,0,Recommendation,2025-11-12 14:12:58.715540
EVT-0000000010,USER-0004797,CONTENT-001704,rate,115,0.41743378499433786,False,False,5,Browse,2025-11-12 14:13:05.715540
EVT-0000000011,USER-0002889,CONTENT-000253,play,1720,0.1721598622207049,False,False,0,Watchlist,2025-11-12 14:13:12.715540
EVT-0000000012,USER-0003866,CONTENT-001092,skip,51,0.15446098840562353,True,False,0,Recommendation,2025-11-12 14:13:19.715540
EVT-0000000013,USER-0000076,CONTENT-000694,play,2527,0.7163244403736071,False,False,0,Watchlist,2025-11-12 14:13:26.715540
EVT-0000000014,USER-0002818,CONTENT-001561,play,4005,0.23549419291815676,False,False,0,Browse,2025-11-12 14:13:33.715540
EVT-0000000015,USER-0003692,CONTENT-000241,stop,5005,0.3487397161576173,False,False,0,Browse,2025-11-12 14:13:40.715540
EVT-0000000016,USER-0004074,CONTENT-001128,play,795,0.7286481059407399,False,False,0,Browse,2025-11-12 14:13:47.715540
EVT-0000000017,USER-0000871,CONTENT-001358,dismiss,6,0.3106936684519031,False,True,0,Browse,2025-11-12 14:13:54.715540
EVT-0000000018,USER-0004990,CONTENT-000779,stop,1580,0.45454529594822085,False,False,0,Watchlist,2025-11-12 14:14:01.715540
EVT-0000000019,USER-0003599,CONTENT-000340,play,6547,0.5726236423380417,False,False,0,Recommendation,2025-11-12 14:14:08.715540
EVT-0000000020,USER-0001249,CONTENT-001800,play,3581,0.8081114487506891,False,False,0,Recommendation,2025-11-12 14:14:15.715540
EVT-0000000021,USER-0004808,CONTENT-001548,stop,828,0.5323307721487521,False,False,0,Browse,2025-11-12 14:14:22.715540
EVT-0000000022,USER-0004107,CONTENT-000092,pause,2487,0.8637405571466503,False,False,0,Recommendation,2025-11-12 14:14:29.715540
EVT-0000000023,USER-0002716,CONTENT-001139,complete,3884,0.9026508330302934,False,False,0,Browse,2025-11-12 14:14:36.715540
EVT-0000000024,USER-0000017,CONTENT-000804,play,2025,0.6898217707510841,False,False,0,Recommendation,2025-11-12 14:14:43.715540
EVT-0000000025,USER-0000741,CONTENT-000170,complete,1474,0.976422249892945,False,False,0,Watchlist,2025-11-12 14:14:50.715540
EVT-0000000026,USER-0002006,CONTENT-001582,play,2482,0.5326556074842211,False,False,0,Recommendation,2025-11-12 14:14:57.715540
EVT-0000000027,USER-0000768,CONTENT-000557,stop,2334,0.5344339793032673,False,False,0,Continue watching,2025-11-12 14:15:04.715540
EVT-0000000028,USER-0000626,CONTENT-001933,dismiss,32,0.2916960756535608,False,True,0,Browse,2025-11-12 14:15:11.715540
EVT-0000000029,USER-0000573,CONTENT-000660,play,1934,0.788194154959334,False,False,0,Recommendation,2025-11-12 14:15:18.715540
EVT-0000000030,USER-0003563,CONTENT-000137,complete,2339,0.8473135556460848,False,False,0,Watchlist,2025-11-12 14:15:25.715540
EVT-0000000031,USER-0002875,CONTENT-000668,complete,4900,0.9651776733266099,False,False,0,Browse,2025-11-12 14:15:32.715540
EVT-0000000032,USER-0002107,CONTENT-000747,complete,5892,0.9378508175130827,False,False,0,Recommendation,2025-11-12 14:15:39.715540
EVT-0000000033,USER-0000828,CONTENT-000631,stop,918,0.412300895835057,False,False,0,Watchlist,2025-11-12 14:15:46.715540
EVT-0000000034,USER-0002936,CONTENT-001855,skip,284,0.2332089327248976,True,False,0,Browse,2025-11-12 14:15:53.715540
EVT-0000000035,USER-0004126,CONTENT-000331,stop,1022,0.47109643117378924,False,False,0,Recommendation,2025-11-12 14:16:00.715540
EVT-0000000036,USER-0003005,CONTENT-000230,stop,6285,0.26182345579057265,False,False,0,Recommendation,2025-11-12 14:16:07.715540
EVT-0000000037,USER-0004241,CONTENT-001131,pause,5008,0.6335565685370987,False,False,0,Search,2025-11-12 14:16:14.715540
EVT-0000000038,USER-0002050,CONTENT-000955,stop,3597,0.4284361908337279,False,False,0,Recommendation,2025-11-12 14:16:21.715540
EVT-0000000039,USER-0001896,CONTENT-001066,complete,1135,0.9883327673631499,False,False,0,Browse,2025-11-12 14:16:28.715540
EVT-0000000040,USER-0003579,CONTENT-001390,stop,1602,0.31386788924393727,False,False,0,Search,2025-11-12 14:16:35.715540
EVT-0000000041,USER-0000254,CONTENT-001725,pause,2468,0.2693728875550453,False,False,0,Search,2025-11-12 14:16:42.715540
EVT-0000000042,USER-0001524,CONTENT-000943,play,7119,0.46670975791578,False,False,0,Browse,2025-11-12 14:16:49.715540
EVT-0000000043,USER-0000625,CONTENT-000553,pause,2153,0.8853467139017592,False,False,0,Search,2025-11-12 14:16:56.715540
EVT-0000000044,USER-0004492,CONTENT-001088,play,2889,0.16590864001881409,False,False,0,Browse,2025-11-12 14:17:03.715540
EVT-0000000045,USER-0000002,CONTENT-001665,stop,232,0.8157627672871568,False,False,0,Search,2025-11-12 14:17:10.715540
EVT-0000000046,USER-0000478,CONTENT-000685,complete,1118,0.8483850124059439,False,False,0,Browse,2025-11-12 14:17:17.715540
EVT-0000000047,USER-0003411,CONTENT-000196,complete,766,0.9630080097965312,False,False,0,Recommendation,2025-11-12 14:17:24.715540
EVT-0000000048,USER-0003491,CONTENT-000870,pause,4988,0.7476128045322658,False,False,0,Browse,2025-11-12 14:17:31.715540
